panel,source,call,celltype,module,zone,n_donors,n,sections,lam_naive,beta_naive,lam_naive_railed,lam_full_profiled,beta_full_profiled,lam_n2n5n6_profiled,beta_n2n5n6_profiled,beta_full_fixedlam,beta_n2n5n6_fixedlam,max_smd_after,sf_n5n6,sf_n2n5n6,lam_naive_donor_lo,lam_naive_donor_hi,lam_naive_donor_med,beta_naive_donor_lo,beta_naive_donor_hi,beta_naive_donor_med,lam_full_donor_lo,lam_full_donor_hi,lam_full_donor_med,beta_full_donor_lo,beta_full_donor_hi,beta_full_donor_med,beta_n2n5n6_donor_lo,beta_n2n5n6_donor_hi,beta_n2n5n6_donor_med,sf_n2n5n6_donor_lo,sf_n2n5n6_donor_hi,sf_n2n5n6_donor_med,section,arm,design,family,lam,p_pow,beta,rss,aic,aic0,d_aic_vs_cov,d_half,d_05,railed,k_params,lam_blk_lo,lam_blk_hi,best_family,d_aic_vs_best,sd_y,lam_prox_ctrl,lam_down_ctrl,log_ratio,log_ratio_lo,log_ratio_hi,ratio,ratio_lo,ratio_hi,frac_prox_gt_down,lam_prox_lo,lam_prox_hi,lam_down_lo,lam_down_hi,grid_lo,grid_hi,prox_lam_naive,prox_beta_naive,prox_lam_ctrl,prox_beta_ctrl,prox_lam_n2,prox_beta_n2,prox_beta_ctrl_fixed,prox_beta_n2_fixed,prox_railed_ctrl,prox_sf_ctrl,prox_sf_n2ctrl,down_lam_naive,down_beta_naive,down_lam_ctrl,down_beta_ctrl,down_lam_n2,down_beta_n2,down_beta_ctrl_fixed,down_beta_n2_fixed,down_railed_ctrl,down_sf_ctrl,down_sf_n2ctrl,week,n_senders,lam_near,beta_near,rss_near,aic_near,railed_near,lam_sup,beta_sup,rss_sup,aic_sup,railed_sup,rss0,d_aic,d_aic_near_vs_cov,d_aic_sup_vs_cov,boot_win_sup,d_aic_per1k,d_aic_per1k_lo,d_aic_per1k_hi,r_regressors,beta_sup_sd,beta_near_sd,null,draw,true_family,true_superposition,regime,rep,true_d_half,fit_family,fit_mode
3b,kernel_families.csv,tierA_p95,vSMCs,oxidative_stress,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,naive,exponential,6.999999999999999,,-0.0133905133398667,17.805454616077462,-17592.803073169394,-17594.91768229062,2.1146091212249303,5.0,21.0,1.0,3.0,6.999999999999999,49.99999999999999,step,2.0400857306813123,0.0728271668458579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,oxidative_stress,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,naive,gaussian,6.999999999999999,,-0.0082287042495725,17.80544020133914,-17592.805792511677,-17594.91768229062,2.111889778941986,8.4,17.2,1.0,3.0,6.999999999999999,49.99999999999999,step,2.037366388398368,0.0728271668458579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,oxidative_stress,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,naive,powerlaw,6.999999999999999,4.0,-0.0907050876837496,17.796120822297684,-17592.564355564264,-17594.91768229062,2.35332672635559,1.4,8.0,1.0,4.0,6.999999999999999,49.99999999999999,step,2.278803335811972,0.0728271668458579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,oxidative_stress,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,naive,step,9.472463873139183,,-0.0074642804540583,17.79464377200188,-17594.843158900076,-17594.91768229062,0.074523390543618,9.6,9.6,0.0,3.0,6.999999999999999,49.99999999999999,step,0.0,0.0728271668458579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,oxidative_stress,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,naive,spline,,,,17.753128871019577,-17592.688860919046,-17594.91768229062,2.228821371572849,,,0.0,8.0,,,step,2.154297981029231,0.0728271668458579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,oxidative_stress,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,ctrl,exponential,49.99999999999999,,-0.0027404943267355,14.516568666335926,-18232.75852305961,-18236.57610936723,3.817586307621241,34.800000000000004,149.8,1.0,26.0,6.999999999999999,49.99999999999999,step,1.053264018108166,0.0728271668458579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,oxidative_stress,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,ctrl,gaussian,49.99999999999999,,-0.004313032187953,14.515461314537406,-18233.01476381821,-18236.57610936723,3.5613455490201886,59.0,122.4,1.0,26.0,6.999999999999999,49.99999999999999,step,0.7970232595071138,0.0728271668458579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,oxidative_stress,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,ctrl,powerlaw,6.999999999999999,4.0,-0.0249012468834625,14.516020622736493,-18230.88533768385,-18236.57610936723,5.690771683381172,1.4,8.0,1.0,27.0,6.999999999999999,49.99999999999999,step,2.926449393868097,0.0728271668458579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,oxidative_stress,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,ctrl,step,9.006764443646388,,-0.0041322741793807,14.512017495593083,-18233.81178707772,-18236.57610936723,2.764322289513075,9.2,9.2,0.0,26.0,7.742591489922676,45.2045029697796,step,0.0,0.0728271668458579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,oxidative_stress,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,ctrl,spline,,,,14.502715271812464,-18225.965601210704,-18236.57610936723,10.610508156525611,,,0.0,31.0,,,step,7.846185867012537,0.0728271668458579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,secondary_senescence,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,naive,exponential,13.48099749887925,,0.0040288089025125,4.296646077498808,-22368.192983013025,-22370.53397482886,2.340991815835878,9.4,40.400000000000006,0.0,3.0,6.999999999999999,49.99999999999999,step,2.8037462707507075,0.0357739617042719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,secondary_senescence,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,naive,gaussian,12.18803582947357,,0.002874744620825,4.296178919703794,-22368.558214013425,-22370.53397482886,1.9757608154359327,14.4,30.0,0.0,3.0,6.999999999999999,49.99999999999999,step,2.438515270350763,0.0357739617042719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,secondary_senescence,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,naive,powerlaw,49.99999999999999,4.0,0.0043145035739535,4.296662622112069,-22366.180048913277,-22370.53397482886,4.353925915587752,9.6,55.8,1.0,4.0,6.999999999999999,49.99999999999999,step,4.816680370502581,0.0357739617042719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,secondary_senescence,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,naive,step,21.2211739115045,,0.0026439185104135,4.2930611774861935,-22370.996729283772,-22370.53397482886,-0.4627544549148297,21.4,21.4,0.0,3.0,8.14292620081837,49.99999999999999,step,0.0,0.0357739617042719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,secondary_senescence,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,naive,spline,,,,4.287199158820202,-22365.586455700195,-22370.53397482886,4.94751912866559,,,0.0,8.0,,,step,5.41027358358042,0.0357739617042719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,secondary_senescence,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,ctrl,exponential,40.86894177489626,,-0.0018079768349772,4.048194873111429,-22522.26733361728,-22525.94013879713,3.672805179856368,28.4,122.6,0.0,26.0,6.999999999999999,49.99999999999999,step,2.7571287778264377,0.0357739617042719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,secondary_senescence,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,ctrl,gaussian,25.96247050925552,,-0.0014714020932974,4.047985222346155,-22522.44129637809,-22525.94013879713,3.498842419045104,30.6,63.6,0.0,26.0,6.999999999999999,49.99999999999999,step,2.5831660170151736,0.0357739617042719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,secondary_senescence,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,ctrl,powerlaw,49.99999999999999,1.0,-0.0025388893453862,4.048219471376313,-22520.24692320639,-22525.94013879713,5.69321559074524,42.6,345.0,1.0,27.0,6.999999999999999,49.99999999999999,step,4.777539188715309,0.0357739617042719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,secondary_senescence,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,ctrl,step,31.76308142776889,,-0.0023201300789921,4.044873403895196,-22525.024462395104,-22525.94013879713,0.9156764020299306,31.8,31.8,0.0,26.0,8.132917833045976,49.99999999999999,step,0.0,0.0357739617042719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,secondary_senescence,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,ctrl,spline,,,,4.041505224377464,-22517.8226780549,-22525.94013879713,8.117460742232652,,,0.0,31.0,,,step,7.201784340202721,0.0357739617042719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
