arm,panel,row,col,n_frozen,n_preC6
H1 human spleen,BxB,B1_tnfa_nfkb_proximal,B5,15,15
H1 human spleen,BxB,B1_tnfa_nfkb_proximal,B6,2,2
H1 human spleen,BxB,B1_tnfa_nfkb_proximal,B7,26,10
H1 human spleen,BxB,B2_il6_jak_stat3,B1,15,15
H1 human spleen,BxB,B2_il6_jak_stat3,B3,22,22
H1 human spleen,BxB,B2_il6_jak_stat3,B4,1,1
H1 human spleen,BxB,B2_il6_jak_stat3,B5,6,6
H1 human spleen,BxB,B2_il6_jak_stat3,B6,1,1
H1 human spleen,BxB,B2_il6_jak_stat3,B7,16,3
H1 human spleen,BxB,B3_interferon_response,B1,23,23
H1 human spleen,BxB,B3_interferon_response,B2,22,22
H1 human spleen,BxB,B3_interferon_response,B4,3,3
H1 human spleen,BxB,B3_interferon_response,B5,5,5
H1 human spleen,BxB,B3_interferon_response,B6,1,1
H1 human spleen,BxB,B3_interferon_response,B7,13,3
H1 human spleen,BxB,B4_downstream_arrest,B1,5,5
H1 human spleen,BxB,B4_downstream_arrest,B2,1,1
H1 human spleen,BxB,B4_downstream_arrest,B3,3,3
H1 human spleen,BxB,B4_downstream_arrest,B5,3,3
H1 human spleen,BxB,B4_downstream_arrest,B6,0,0
H1 human spleen,BxB,B4_downstream_arrest,B7,6,11
H1 human spleen,BxB,B5_emt_ecm,B1,15,15
H1 human spleen,BxB,B5_emt_ecm,B2,6,6
H1 human spleen,BxB,B5_emt_ecm,B3,5,5
H1 human spleen,BxB,B5_emt_ecm,B4,3,3
H1 human spleen,BxB,B5_emt_ecm,B6,0,0
H1 human spleen,BxB,B5_emt_ecm,B7,20,6
H1 human spleen,BxB,B6_oxidative_stress,B1,2,2
H1 human spleen,BxB,B6_oxidative_stress,B2,1,1
H1 human spleen,BxB,B6_oxidative_stress,B3,1,1
H1 human spleen,BxB,B6_oxidative_stress,B4,0,0
H1 human spleen,BxB,B6_oxidative_stress,B5,0,0
H1 human spleen,BxB,B6_oxidative_stress,B7,0,0
H1 human spleen,BxB,B7_secondary_senescence,B1,26,10
H1 human spleen,BxB,B7_secondary_senescence,B2,16,3
H1 human spleen,BxB,B7_secondary_senescence,B3,13,3
H1 human spleen,BxB,B7_secondary_senescence,B4,6,11
H1 human spleen,BxB,B7_secondary_senescence,B5,20,6
H1 human spleen,BxB,B7_secondary_senescence,B6,0,0
H1 human spleen,A0xB,A_ported_pre_disjointness,B1,4,
H1 human spleen,A0xB,A_ported_pre_disjointness,B2,0,
H1 human spleen,A0xB,A_ported_pre_disjointness,B3,1,
