panel,method,pair,cond,quantity,value,n_interactions
a,SpaTalk*,Ccl2->Ccr2,N3_type,fraction of cell-type pairs called significant,0.17187002652519895,1508
a,SpaTalk*,Ccl2->Ccr2,N0_perm,fraction of cell-type pairs called significant,0.17982758620689657,1508
a,SpaTalk*,Ccl2->Ccr2,N0_type,fraction of cell-type pairs called significant,0.17533156498673738,1508
a,SpaTalk*,Il1a->Il1r1,real,fraction of cell-type pairs called significant,0.14588859416445624,1508
a,SpaTalk*,Il1a->Il1r1,N3_lig,fraction of cell-type pairs called significant,0.16120689655172415,1508
a,SpaTalk*,Il1a->Il1r1,N4_lig,fraction of cell-type pairs called significant,0.16049071618037136,1508
a,SpaTalk*,Il1a->Il1r1,N3_type,fraction of cell-type pairs called significant,0.15440981432360742,1508
a,SpaTalk*,Il1a->Il1r1,N0_perm,fraction of cell-type pairs called significant,0.151684350132626,1508
a,SpaTalk*,Il1a->Il1r1,N0_type,fraction of cell-type pairs called significant,0.1519628647214854,1508
a,SpaTalk*,Tgfb1->Tgfbr1/2,real,fraction of cell-type pairs called significant,0.47480106100795755,1508
a,SpaTalk*,Tgfb1->Tgfbr1/2,N3_lig,fraction of cell-type pairs called significant,0.48762599469496015,1508
a,SpaTalk*,Tgfb1->Tgfbr1/2,N4_lig,fraction of cell-type pairs called significant,0.49149204244031836,1508
a,SpaTalk*,Tgfb1->Tgfbr1/2,N3_type,fraction of cell-type pairs called significant,0.46954244031830233,1508
a,SpaTalk*,Tgfb1->Tgfbr1/2,N0_perm,fraction of cell-type pairs called significant,0.48509283819628646,1508
a,SpaTalk*,Tgfb1->Tgfbr1/2,N0_type,fraction of cell-type pairs called significant,0.4696750663129973,1508
a,SpaTalk*,Tnf->Tnfrsf1a/1b,real,fraction of cell-type pairs called significant,0.17771883289124668,1508
a,SpaTalk*,Tnf->Tnfrsf1a/1b,N3_lig,fraction of cell-type pairs called significant,0.18892307692307694,1105
a,SpaTalk*,Tnf->Tnfrsf1a/1b,N4_lig,fraction of cell-type pairs called significant,0.18966515837104073,1105
a,SpaTalk*,Tnf->Tnfrsf1a/1b,N3_type,fraction of cell-type pairs called significant,0.16751989389920424,1508
a,SpaTalk*,Tnf->Tnfrsf1a/1b,N0_perm,fraction of cell-type pairs called significant,0.17584880636604772,1508
a,SpaTalk*,Tnf->Tnfrsf1a/1b,N0_type,fraction of cell-type pairs called significant,0.1716710875331565,1508
b,COMMOT,ALL,N3_lig,fraction of real-significant interactions still significant after shuffling,0.8061051004636784,1294
c,COMMOT,ALL,N3_lig,surviving fraction of the score (median null / real),0.9064233764209648,1294
b,COMMOT,ALL,N4_lig,fraction of real-significant interactions still significant after shuffling,0.819629057187017,1294
c,COMMOT,ALL,N4_lig,surviving fraction of the score (median null / real),0.9123577287936204,1294
b,COMMOT,ALL,N3_type,fraction of real-significant interactions still significant after shuffling,0.7685693106004448,1349
c,COMMOT,ALL,N3_type,surviving fraction of the score (median null / real),0.9090781965162944,1349
b,COMMOT,ALL,N0_perm,fraction of real-significant interactions still significant after shuffling,0.7936249073387693,1349
c,COMMOT,ALL,N0_perm,surviving fraction of the score (median null / real),0.9135612810400544,1349
b,COMMOT,ALL,N0_type,fraction of real-significant interactions still significant after shuffling,0.8114899925871016,1349
c,COMMOT,ALL,N0_type,surviving fraction of the score (median null / real),0.9584654250825406,1349
b,CellChat v2*,ALL,N3_lig,fraction of real-significant interactions still significant after shuffling,0.9737353846153848,1625
c,CellChat v2*,ALL,N3_lig,surviving fraction of the score (median null / real),1.0,1625
b,CellChat v2*,ALL,N4_lig,fraction of real-significant interactions still significant after shuffling,0.9753846153846154,1625
c,CellChat v2*,ALL,N4_lig,surviving fraction of the score (median null / real),1.0,1625
b,CellChat v2*,ALL,N3_type,fraction of real-significant interactions still significant after shuffling,0.913001755412522,1709
c,CellChat v2*,ALL,N3_type,surviving fraction of the score (median null / real),0.980556325495264,1709
b,CellChat v2*,ALL,N0_perm,fraction of real-significant interactions still significant after shuffling,0.9449970743124634,1709
c,CellChat v2*,ALL,N0_perm,surviving fraction of the score (median null / real),0.9977596326140832,1709
b,CellChat v2*,ALL,N0_type,fraction of real-significant interactions still significant after shuffling,0.9711117612638972,1709
c,CellChat v2*,ALL,N0_type,surviving fraction of the score (median null / real),1.0,1709
b,SpaTalk*,ALL,N3_lig,fraction of real-significant interactions still significant after shuffling,0.8139357990230285,1433
c,SpaTalk*,ALL,N3_lig,surviving fraction of the score (median null / real),0.9488910458159308,1433
b,SpaTalk*,ALL,N4_lig,fraction of real-significant interactions still significant after shuffling,0.8204187020237264,1433
c,SpaTalk*,ALL,N4_lig,surviving fraction of the score (median null / real),0.9557015976028724,1433
b,SpaTalk*,ALL,N3_type,fraction of real-significant interactions still significant after shuffling,0.7839235412474849,1491
c,SpaTalk*,ALL,N3_type,surviving fraction of the score (median null / real),0.9524435532462832,1491
b,SpaTalk*,ALL,N0_perm,fraction of real-significant interactions still significant after shuffling,0.7913145539906102,1491
c,SpaTalk*,ALL,N0_perm,surviving fraction of the score (median null / real),0.9430756406499232,1491
b,SpaTalk*,ALL,N0_type,fraction of real-significant interactions still significant after shuffling,0.7811200536552648,1491
c,SpaTalk*,ALL,N0_type,surviving fraction of the score (median null / real),0.9409225349232444,1491
b,NCEM linear*,ALL,N3_lig,fraction of real-significant interactions still significant after shuffling,0.7017857142857143,84
c,NCEM linear*,ALL,N3_lig,surviving fraction of the score (median null / real),0.9723623092354894,84
b,NCEM linear*,ALL,N4_lig,fraction of real-significant interactions still significant after shuffling,0.7011904761904761,84
c,NCEM linear*,ALL,N4_lig,surviving fraction of the score (median null / real),0.9682821149196824,84
b,NCEM linear*,ALL,N3_type,fraction of real-significant interactions still significant after shuffling,0.0798850574712643,87
c,NCEM linear*,ALL,N3_type,surviving fraction of the score (median null / real),-0.0143909268763772,87
b,NCEM linear*,ALL,N0_perm,fraction of real-significant interactions still significant after shuffling,0.0044827586206896,87
c,NCEM linear*,ALL,N0_perm,surviving fraction of the score (median null / real),-0.013948943335165,87
b,NCEM linear*,ALL,N0_type,fraction of real-significant interactions still significant after shuffling,0.008735632183908,87
c,NCEM linear*,ALL,N0_type,surviving fraction of the score (median null / real),-0.0289620388098083,87
c,our SASP kernel estimator (CS_PHASE3),ALL,N3_lig,surviving fraction of the score (median null / real),0.998870982287264,153
c,our SASP kernel estimator (CS_PHASE3),ALL,N4_lig,surviving fraction of the score (median null / real),0.9471932849110392,153
c,our SASP kernel estimator (CS_PHASE3),ALL,N3_var_lig,surviving fraction of the score (median null / real),0.9959658800875878,153
c,our SASP kernel estimator (CS_PHASE3),ALL,N4_var_lig,surviving fraction of the score (median null / real),0.9850676549759072,153
