kind,module,celltype,bin_lo,bin_hi,n,mean,sem
unstrat,downstream_arrest,Biliary/ductular,75.0,100.0,2166.0,0.4064433805392893,0.021446054696812798
strat,downstream_arrest,DC,0.0,2.0,0.0,,
strat,downstream_arrest,DC,2.0,4.0,33.0,-0.1887116586267787,0.15095117314708292
strat,downstream_arrest,DC,4.0,6.0,361.0,0.11824144966866984,0.06131406946761181
strat,downstream_arrest,DC,6.0,8.0,645.0,0.06163998872826818,0.04136396798704287
strat,downstream_arrest,DC,8.0,10.0,600.0,0.02560448691975996,0.038911980981398656
strat,downstream_arrest,DC,10.0,12.5,754.0,0.007767470199277247,0.03500685842496522
strat,downstream_arrest,DC,12.5,15.0,747.0,-0.040501756996294845,0.03727838724445279
strat,downstream_arrest,DC,15.0,17.5,715.0,-0.03157521193509957,0.03700394729343608
strat,downstream_arrest,DC,17.5,20.0,668.0,0.03578016579349562,0.041164903105358135
strat,downstream_arrest,DC,20.0,25.0,1145.0,0.03567765209151046,0.030133394029270344
strat,downstream_arrest,DC,25.0,30.0,1088.0,0.007636722609277592,0.031241430369043165
strat,downstream_arrest,DC,30.0,35.0,931.0,-0.04941174006529785,0.03111915862753806
strat,downstream_arrest,DC,35.0,40.0,802.0,-0.08221500737477179,0.03202474428701779
strat,downstream_arrest,DC,40.0,50.0,1151.0,0.009156055593986516,0.030224346998485717
strat,downstream_arrest,DC,50.0,60.0,724.0,-0.028873706720725433,0.03440938903591783
strat,downstream_arrest,DC,60.0,75.0,533.0,-0.014424295669516016,0.041114281262779606
strat,downstream_arrest,DC,75.0,100.0,316.0,0.039013593648378884,0.057896150284416
unstrat,downstream_arrest,DC,0.0,2.0,0.0,,
unstrat,downstream_arrest,DC,2.0,4.0,33.0,0.544819664285892,0.21727070472945217
unstrat,downstream_arrest,DC,4.0,6.0,361.0,1.0197894151807567,0.0909439008504961
unstrat,downstream_arrest,DC,6.0,8.0,645.0,0.911869742040814,0.062176558980902345
unstrat,downstream_arrest,DC,8.0,10.0,600.0,0.8763704821670207,0.0587231127219494
unstrat,downstream_arrest,DC,10.0,12.5,754.0,0.8511718224731083,0.051868448067428775
unstrat,downstream_arrest,DC,12.5,15.0,747.0,0.7828829248816224,0.055688865126437136
unstrat,downstream_arrest,DC,15.0,17.5,715.0,0.786266395503185,0.05458217724357243
unstrat,downstream_arrest,DC,17.5,20.0,668.0,0.8995179121110688,0.06151382263175561
unstrat,downstream_arrest,DC,20.0,25.0,1145.0,0.8787543680901312,0.04460623094085607
unstrat,downstream_arrest,DC,25.0,30.0,1088.0,0.8634073541876548,0.046489772381293246
unstrat,downstream_arrest,DC,30.0,35.0,931.0,0.8003625259344951,0.04698505297107045
unstrat,downstream_arrest,DC,35.0,40.0,802.0,0.7387914576585702,0.046674784282309575
unstrat,downstream_arrest,DC,40.0,50.0,1151.0,0.8990695368995674,0.04542311566865041
unstrat,downstream_arrest,DC,50.0,60.0,724.0,0.8505733647173707,0.05137934739342044
unstrat,downstream_arrest,DC,60.0,75.0,533.0,0.8915356463120666,0.06090165852020008
unstrat,downstream_arrest,DC,75.0,100.0,316.0,1.051748120345385,0.08756094430051506
strat,downstream_arrest,Endothelial,0.0,2.0,1.0,1.0448542222578385,0.0
strat,downstream_arrest,Endothelial,2.0,4.0,32.0,-0.3192543467494255,0.17616746717368992
strat,downstream_arrest,Endothelial,4.0,6.0,562.0,-0.1404310301717968,0.04570984350057952
strat,downstream_arrest,Endothelial,6.0,8.0,1564.0,-0.05654551049019021,0.02701317251846269
strat,downstream_arrest,Endothelial,8.0,10.0,2722.0,-0.048614201611815226,0.019573063597227935
strat,downstream_arrest,Endothelial,10.0,12.5,4805.0,-0.035871001906508965,0.014698555538184176
strat,downstream_arrest,Endothelial,12.5,15.0,5522.0,0.022515882967021058,0.013608372179039731
strat,downstream_arrest,Endothelial,15.0,17.5,5470.0,-0.004670746212150433,0.01376077910895207
strat,downstream_arrest,Endothelial,17.5,20.0,5588.0,0.004518780775746836,0.013515673651862629
strat,downstream_arrest,Endothelial,20.0,25.0,12216.0,-0.006441291908845038,0.0091000132850309
strat,downstream_arrest,Endothelial,25.0,30.0,12931.0,-0.024757431820496768,0.008745182375756997
strat,downstream_arrest,Endothelial,30.0,35.0,12429.0,0.00012158464272314628,0.008993902499198868
strat,downstream_arrest,Endothelial,35.0,40.0,11548.0,-0.006048607175572079,0.009285194823114072
strat,downstream_arrest,Endothelial,40.0,50.0,19256.0,-0.007195325995346516,0.007159764704859818
strat,downstream_arrest,Endothelial,50.0,60.0,13306.0,0.015532279722156952,0.008593119133559398
strat,downstream_arrest,Endothelial,60.0,75.0,11345.0,0.05235090123063033,0.009243175238387032
strat,downstream_arrest,Endothelial,75.0,100.0,6175.0,0.02628454641895303,0.012386978064739701
unstrat,downstream_arrest,Endothelial,0.0,2.0,1.0,0.9058417132617023,0.0
unstrat,downstream_arrest,Endothelial,2.0,4.0,32.0,-0.5299091801370988,0.17026284150828352
unstrat,downstream_arrest,Endothelial,4.0,6.0,562.0,-0.3571209107304648,0.044192050724033975
unstrat,downstream_arrest,Endothelial,6.0,8.0,1564.0,-0.2743987581904733,0.026473001407674446
unstrat,downstream_arrest,Endothelial,8.0,10.0,2722.0,-0.272295716227027,0.019395234618285618
unstrat,downstream_arrest,Endothelial,10.0,12.5,4805.0,-0.2569576709584399,0.014691166842454128
unstrat,downstream_arrest,Endothelial,12.5,15.0,5522.0,-0.19766725889932868,0.013541273452505933
unstrat,downstream_arrest,Endothelial,15.0,17.5,5470.0,-0.22555424305356336,0.013660540312351605
unstrat,downstream_arrest,Endothelial,17.5,20.0,5588.0,-0.2150270828717486,0.013397803284708257
unstrat,downstream_arrest,Endothelial,20.0,25.0,12216.0,-0.22345484483546327,0.009031242036265834
unstrat,downstream_arrest,Endothelial,25.0,30.0,12931.0,-0.24182130455558268,0.008702570207650287
unstrat,downstream_arrest,Endothelial,30.0,35.0,12429.0,-0.2164505746135745,0.008943637668808376
unstrat,downstream_arrest,Endothelial,35.0,40.0,11548.0,-0.22018851764651462,0.009227559913787889
unstrat,downstream_arrest,Endothelial,40.0,50.0,19256.0,-0.22003493801124105,0.007137299733618919
unstrat,downstream_arrest,Endothelial,50.0,60.0,13306.0,-0.19338018541032634,0.008564512846452974
unstrat,downstream_arrest,Endothelial,60.0,75.0,11345.0,-0.15288334204893153,0.009189289769025428
unstrat,downstream_arrest,Endothelial,75.0,100.0,6175.0,-0.17142008754350183,0.01226899175029891
strat,downstream_arrest,Hepatocytes,0.0,2.0,1.0,0.07771298007169215,0.0
strat,downstream_arrest,Hepatocytes,2.0,4.0,32.0,0.23807302131561145,0.2836085462737809
strat,downstream_arrest,Hepatocytes,4.0,6.0,465.0,0.006019620062073452,0.05925723060608351
strat,downstream_arrest,Hepatocytes,6.0,8.0,2438.0,-0.05815734934377182,0.0257432733096195
strat,downstream_arrest,Hepatocytes,8.0,10.0,6367.0,-0.04249288060555227,0.014105272199641276
strat,downstream_arrest,Hepatocytes,10.0,12.5,14106.0,-0.050386899576275485,0.008840883858982216
strat,downstream_arrest,Hepatocytes,12.5,15.0,17733.0,-0.02670346726076904,0.007614621604745495
strat,downstream_arrest,Hepatocytes,15.0,17.5,19119.0,-0.01871374083499802,0.007290454234625108
strat,downstream_arrest,Hepatocytes,17.5,20.0,19761.0,-0.008202381633955822,0.007155810739978475
strat,downstream_arrest,Hepatocytes,20.0,25.0,39921.0,-0.012974081580278837,0.005051960542568086
strat,downstream_arrest,Hepatocytes,25.0,30.0,40161.0,-0.013203246517799007,0.004980257691705108
strat,downstream_arrest,Hepatocytes,30.0,35.0,39409.0,-0.005729551140574324,0.005007702170194402
strat,downstream_arrest,Hepatocytes,35.0,40.0,36326.0,0.0009645382498740306,0.005251821067230669
strat,downstream_arrest,Hepatocytes,40.0,50.0,60017.0,0.010570829719143278,0.004003597398422771
strat,downstream_arrest,Hepatocytes,50.0,60.0,42563.0,0.020925834995065562,0.0047538283175079235
strat,downstream_arrest,Hepatocytes,60.0,75.0,35870.0,0.022332713099459466,0.005169624588004575
strat,downstream_arrest,Hepatocytes,75.0,100.0,19632.0,0.05189444875463046,0.006945276445326696
unstrat,downstream_arrest,Hepatocytes,0.0,2.0,1.0,0.13985761476935,0.0
unstrat,downstream_arrest,Hepatocytes,2.0,4.0,32.0,0.15246609617479898,0.2163294118377594
unstrat,downstream_arrest,Hepatocytes,4.0,6.0,465.0,-0.017150081271482275,0.04369733887147047
unstrat,downstream_arrest,Hepatocytes,6.0,8.0,2438.0,-0.05815473469601411,0.019154727716450035
unstrat,downstream_arrest,Hepatocytes,8.0,10.0,6367.0,-0.03940629034116444,0.010582440584919745
unstrat,downstream_arrest,Hepatocytes,10.0,12.5,14106.0,-0.04679296381324882,0.006628200415848895
unstrat,downstream_arrest,Hepatocytes,12.5,15.0,17733.0,-0.03077597498488874,0.005713262035144928
unstrat,downstream_arrest,Hepatocytes,15.0,17.5,19119.0,-0.025108132908132096,0.005482407935207024
unstrat,downstream_arrest,Hepatocytes,17.5,20.0,19761.0,-0.019223742581287742,0.0053646744026600935
unstrat,downstream_arrest,Hepatocytes,20.0,25.0,39921.0,-0.023857695506939218,0.0037974074970182725
unstrat,downstream_arrest,Hepatocytes,25.0,30.0,40161.0,-0.02601652479508947,0.003744784275703117
unstrat,downstream_arrest,Hepatocytes,30.0,35.0,39409.0,-0.02240245118304125,0.003767523619067552
unstrat,downstream_arrest,Hepatocytes,35.0,40.0,36326.0,-0.018886712651128408,0.003952143259773836
unstrat,downstream_arrest,Hepatocytes,40.0,50.0,60017.0,-0.01554093632479642,0.0030127699498417987
unstrat,downstream_arrest,Hepatocytes,50.0,60.0,42563.0,-0.010910530056312229,0.003572606674840872
unstrat,downstream_arrest,Hepatocytes,60.0,75.0,35870.0,-0.014733294936504151,0.0038814258345056247
unstrat,downstream_arrest,Hepatocytes,75.0,100.0,19632.0,-0.0021529956406422116,0.0052098052858656875
strat,downstream_arrest,Macrophages,0.0,2.0,0.0,,
strat,downstream_arrest,Macrophages,2.0,4.0,61.0,0.1808282842948945,0.1904129284852082
strat,downstream_arrest,Macrophages,4.0,6.0,950.0,-0.1009377412713022,0.03425547108598354
strat,downstream_arrest,Macrophages,6.0,8.0,2069.0,0.04106336390570039,0.02396742924501702
strat,downstream_arrest,Macrophages,8.0,10.0,2587.0,0.024979216391010917,0.020672519605008335
strat,downstream_arrest,Macrophages,10.0,12.5,3649.0,-0.00699214877613616,0.016631916000470464
strat,downstream_arrest,Macrophages,12.5,15.0,3903.0,0.008628308329434084,0.01590174957880608
