section,cfg,stratified,celltype,module,family,n,aic,lam,d_half,best_family,d_aic_vs_cov
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,secondary_senescence,powerlaw,108838,-826623.0786044656,49.99999999999999,71.4,spline,-17.913104663137347
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,secondary_senescence,step,108838,-826627.9691878346,12.818224546846722,13.0,spline,-22.803688032203354
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,secondary_senescence,spline,108838,-826659.4101237769,,,spline,-54.244623974431306
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,tnfa_nfkb_proximal,exponential,108838,-809658.9095482122,6.999999999999999,5.0,spline,-738.9974553378997
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,tnfa_nfkb_proximal,gaussian,108838,-809657.4018587645,6.999999999999999,8.4,spline,-737.4897658901755
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,tnfa_nfkb_proximal,powerlaw,108838,-809666.4155518264,15.682109678112967,3.0,spline,-746.5034589520656
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,tnfa_nfkb_proximal,step,108838,-809517.6484766741,9.006764443646388,9.200000000000001,spline,-597.7363837998128
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,tnfa_nfkb_proximal,spline,108838,-809680.9762514727,,,spline,-761.0641585984267
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,downstream_arrest,exponential,31135,-260913.24832592683,47.54182525407475,33.0,step,0.9679248350439593
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,downstream_arrest,gaussian,31135,-260913.4186585547,28.716686174618605,34.0,step,0.7975922071782406
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,downstream_arrest,powerlaw,31135,-260911.66131086514,6.999999999999999,1.4000000000000001,step,2.5549398967414163
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,downstream_arrest,step,31135,-260916.19859991854,8.14292620081837,8.200000000000001,step,-1.982349156663986
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,downstream_arrest,spline,31135,-260911.69261063836,,,step,2.5236401235160884
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,emt_ecm,exponential,31135,-224872.57450602122,14.178039470333344,10.0,step,-13.669185483420733
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,emt_ecm,gaussian,31135,-224873.19622071102,11.019082036984365,13.0,step,-14.290900173218688
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,emt_ecm,powerlaw,31135,-224870.46014471,49.99999999999999,9.600000000000001,step,-11.554824172199005
