section,arm,call,celltype,module,design,n,family,lam,p_pow,beta,rss,aic,aic0,d_aic_vs_cov,d_half,d_05,railed,k_params,lam_blk_lo,lam_blk_hi,best_family,d_aic_vs_best,sd_y
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,oxidative_stress,ctrl,4208,step,7.361938632551805,,-0.005034463825444606,15.797929350392742,-23447.107193345197,-23449.115286907705,2.008093562508293,7.4,7.4,0,26,6.999999999999999,47.54182525407475,step,0.0,0.07005092189524846
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,oxidative_stress,ctrl,4208,spline,,,,15.78829000751604,-23439.675551123302,-23449.115286907705,9.439735784402728,,,0,31,,,step,7.431642221894435,0.07005092189524846
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,secondary_senescence,naive,4208,exponential,24.6860647223019,,0.00879695035614601,8.175704158655467,-26264.967411304857,-26260.629665301087,-4.3377460037700075,17.2,74.0,0,3,6.999999999999999,49.99999999999999,step,5.6118225413047185,0.04412197809799458
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,secondary_senescence,naive,4208,gaussian,16.49296129703063,,0.0061133634656748495,8.174237619983233,-26265.722300200836,-26260.629665301087,-5.0926348997491,19.6,40.400000000000006,0,3,8.995694343197453,49.99999999999999,step,4.8569336453256255,0.04412197809799458
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,secondary_senescence,naive,4208,powerlaw,49.99999999999999,2.0,0.010370911094385843,8.176034069539597,-26262.797611008245,-26260.629665301087,-2.167945707158651,20.6,161.0,1,4,12.058334933736733,49.99999999999999,step,7.781622837916075,0.04412197809799458
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,secondary_senescence,naive,4208,step,21.2211739115045,,0.005134781458450247,8.16480824109004,-26270.57923384616,-26260.629665301087,-9.949568545074726,21.400000000000002,21.400000000000002,0,3,9.006764443646388,36.94920399670096,step,0.0,0.04412197809799458
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,secondary_senescence,naive,4208,spline,,,,8.167489750380794,-26259.197457539758,-26260.629665301087,1.4322077613287547,,,0,8,,,step,11.38177630640348,0.04412197809799458
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,secondary_senescence,ctrl,4208,exponential,23.47241150476913,,0.0019994902907839967,7.776112591643184,-26429.831563206146,-26433.42491047469,3.593347268542857,16.400000000000002,70.4,0,26,6.999999999999999,49.99999999999999,step,3.301713918444875,0.04412197809799458
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,secondary_senescence,ctrl,4208,gaussian,15.682109678112967,,0.001833349857465818,7.775446539197546,-26430.1920092128,-26433.42491047469,3.2329012618902198,18.6,38.400000000000006,0,26,6.999999999999999,49.99999999999999,step,2.941267911792238,0.04412197809799458
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,secondary_senescence,ctrl,4208,powerlaw,49.99999999999999,2.0,0.00221681272967046,7.776214863380827,-26427.776219789124,-26433.42491047469,5.648690685564361,20.6,161.0,1,27,6.999999999999999,49.99999999999999,step,5.357057335466379,0.04412197809799458
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,secondary_senescence,ctrl,4208,step,21.2211739115045,,0.002694971158093021,7.770013630296761,-26433.13327712459,-26433.42491047469,0.29163335009798175,21.400000000000002,21.400000000000002,0,26,6.999999999999999,42.98209161773131,step,0.0,0.04412197809799458
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,secondary_senescence,ctrl,4208,spline,,,,7.765280816134426,-26425.697204403845,-26433.42491047469,7.727706070843851,,,0,31,,,step,7.4360727207458694,0.04412197809799458
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,naive,4208,exponential,6.999999999999999,,0.014731471457890515,2.7664681245109675,-30824.736801293628,-30803.618414605804,-21.11838668782366,5.0,21.0,1,3,6.999999999999999,49.99999999999999,step,4.0326243905801675,0.02571705091455217
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,naive,4208,gaussian,8.563960425689007,,0.007688122490008441,2.7662652329646282,-30825.045425466244,-30803.618414605804,-21.427010860439623,10.200000000000001,21.0,0,3,6.999999999999999,49.99999999999999,step,3.7240002179642033,0.02571705091455217
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,naive,4208,powerlaw,6.999999999999999,2.0,0.022960108924537245,2.7665040391305484,-30822.68217288968,-30803.618414605804,-19.06375828387536,3.0,24.400000000000002,1,4,6.999999999999999,49.99999999999999,step,6.087252794528467,0.02571705091455217
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,naive,4208,step,14.178039470333344,,0.004833514308585252,2.7638182236189057,-30828.769425684208,-30803.618414605804,-25.151011078403826,14.200000000000001,14.200000000000001,0,3,8.533909880860579,21.277454851336127,step,0.0,0.02571705091455217
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,naive,4208,spline,,,,2.7618767768301065,-30821.726378039624,-30803.618414605804,-18.10796343382026,,,0,8,,,step,7.043047644583567,0.02571705091455217
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,ctrl,4208,exponential,6.999999999999999,,0.004586163945461911,2.4158893008662305,-31348.93763956147,-31350.39015969331,1.4525201318392646,5.0,21.0,1,26,6.999999999999999,49.99999999999999,step,5.549605591539148,0.02571705091455217
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,ctrl,4208,gaussian,8.563960425689007,,0.002707566345430773,2.415446596537105,-31349.708813357593,-31350.39015969331,0.6813463357175351,10.200000000000001,21.0,0,26,6.999999999999999,49.99999999999999,step,4.7784317954174185,0.02571705091455217
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,ctrl,4208,powerlaw,14.911122358641625,4.0,0.007332734015452583,2.4160140563156163,-31346.720345922786,-31350.39015969331,3.6698137705243425,3.0,16.8,0,27,6.999999999999999,49.99999999999999,step,7.766899230224226,0.02571705091455217
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,ctrl,4208,step,14.911122358641625,,0.0024059714761346315,2.412705271451562,-31354.48724515301,-31350.39015969331,-4.097085459699883,15.0,15.0,0,26,12.120146530565211,45.204502969779604,step,0.0,0.02571705091455217
7435_liver_sham_Male_10-U1,sham,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,ctrl,4208,spline,,,,2.409917835527639,-31349.35162348565,-31350.39015969331,1.0385362076594902,,,0,31,,,step,5.1356216673593735,0.02571705091455217
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,downstream_arrest,naive,24230,exponential,6.999999999999999,,-0.0060988548668426,9.705593333380387,-189534.67531868204,-189528.58127891697,-6.0940397650701925,5.0,21.0,1,3,6.999999999999999,49.99999999999999,step,2.242799055267824,0.020018189679777695
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,downstream_arrest,naive,24230,gaussian,6.999999999999999,,-0.0043679932962341845,9.705199574190067,-189535.65835788383,-189528.58127891697,-7.077078966860427,8.4,17.2,1,3,6.999999999999999,49.99999999999999,step,1.2597598534775898,0.020018189679777695
