held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,basis,design,n_sections
7260_liver_sbr_Male_26-U1,12.18803582947357,0.025901184518817427,24875,-35295.64758254457,-1.4189205058309373,0.9993291286405223,0.999963771901069,-35296.09601486524,-1.4189385332609141,0.4484323206706904,Biliary/ductular,emt_ecm,sup,naive,6
7001_liver_sham_Male_52-U1,12.818224546846722,0.026312547304270656,19766,-28049.16508942461,-1.4190612713459785,0.9993076498543604,1.000245104904396,-28046.739048282616,-1.4189385332531932,-2.426041141992755,Biliary/ductular,emt_ecm,sup,naive,6
7248_liver_sham_Male_26-U1,11.019082036984365,0.024256347475188324,7108,-10087.270178075361,-1.4191432439610807,0.9994116296071629,1.000409042303401,-10085.815094268046,-1.4189385332397364,-1.4550838073155319,Biliary/ductular,emt_ecm,sup,naive,6
7352_liver_sham_Male_2-U1,12.18803582947357,0.02313408523353774,3740,-5307.019431225066,-1.4189891527339749,0.9994648141004074,1.0001010627939773,-5306.830114306747,-1.4189385332370983,-0.18931691831858188,Biliary/ductular,emt_ecm,sup,naive,6
7435_liver_sham_Male_10-U1,11.58882939190469,0.025361530772310834,4232,-6009.917400322205,-1.4201128072595002,0.9993567927568852,1.0023469327507735,-6004.94787266095,-1.4189385332374647,-4.969527661254688,Biliary/ductular,emt_ecm,sup,naive,6
7259_liver_sbr_Male_26-U1,6.999999999999999,0.012177557902325347,31826,-45236.04504688589,-1.4213550256672498,0.9112165531142628,1.0003837266488265,-45231.54679435979,-1.4212136867454217,-4.498252526100259,Biliary/ductular,il6_jak_stat3,near,ctrl,6
7260_liver_sbr_Male_26-U1,6.999999999999999,0.008727815164470418,24875,-34237.54014169111,-1.3763835232840649,0.948077732769051,0.9179239639418945,-34236.76960021738,-1.3763525467424074,-0.7705414737283718,Biliary/ductular,il6_jak_stat3,near,ctrl,6
7001_liver_sham_Male_52-U1,49.99999999999999,-0.00407889597157728,19766,-27158.162678276054,-1.3739837437152713,0.944667798753024,0.9134927749252569,-27156.946779207938,-1.373922229040167,-1.2158990681164141,Biliary/ductular,il6_jak_stat3,near,ctrl,6
7248_liver_sham_Male_26-U1,6.999999999999999,0.005443709735248572,7108,-9935.476630588715,-1.3977879333973995,0.935653690887435,0.9583123394709073,-9936.272266364023,-1.397899868649975,0.7956357753082557,Biliary/ductular,il6_jak_stat3,near,ctrl,6
7352_liver_sham_Male_2-U1,6.999999999999999,0.00657899949650828,3740,-5202.073488834825,-1.3909287403301671,0.9370217396671695,0.94548504970638,-5202.311027945331,-1.3909922534613186,0.23753911050607712,Biliary/ductular,il6_jak_stat3,near,ctrl,6
7435_liver_sham_Male_10-U1,6.999999999999999,0.006420955205813361,4232,-5885.192391669515,-1.3906409243075413,0.937022869184103,0.9449455151148868,-5885.533324033877,-1.3907214848851315,0.3409323643618336,Biliary/ductular,il6_jak_stat3,near,ctrl,6
7259_liver_sbr_Male_26-U1,6.999999999999999,0.012015954590341507,31826,-45236.76565957376,-1.421377667931055,0.9112214787914119,1.0004254905265422,-45231.54679435979,-1.4212136867454217,-5.218865213966637,Biliary/ductular,il6_jak_stat3,sup,ctrl,6
7260_liver_sbr_Male_26-U1,6.999999999999999,0.007887896803221031,24875,-34237.494045409854,-1.3763816701672302,0.9480916949535436,0.9179199983153226,-34236.76960021738,-1.3763525467424074,-0.7244451924707391,Biliary/ductular,il6_jak_stat3,sup,ctrl,6
7001_liver_sham_Male_52-U1,49.99999999999999,-0.010172865777895525,19766,-27158.507278074903,-1.374001177682632,0.9445941096242805,0.9135281830085876,-27156.946779207938,-1.373922229040167,-1.560498866965645,Biliary/ductular,il6_jak_stat3,sup,ctrl,6
7248_liver_sham_Male_26-U1,49.99999999999999,-0.009670694647850473,7108,-9937.969129711119,-1.39813859450072,0.9356037789853343,0.9589675317123536,-9936.272266364023,-1.397899868649975,-1.6968633470951318,Biliary/ductular,il6_jak_stat3,sup,ctrl,6
7352_liver_sham_Male_2-U1,49.99999999999999,-0.00862824735749486,3740,-5203.3310762649035,-1.3912649936537176,0.936999485596001,0.9461152023592769,-5202.311027945331,-1.3909922534613186,-1.0200483195721972,Biliary/ductular,il6_jak_stat3,sup,ctrl,6
7435_liver_sham_Male_10-U1,49.99999999999999,-0.007490956667678661,4232,-5885.661838849857,-1.390751852280212,0.9370146698865567,0.9451533998194865,-5885.533324033877,-1.3907214848851315,-0.1285148159804521,Biliary/ductular,il6_jak_stat3,sup,ctrl,6
7259_liver_sbr_Male_26-U1,12.18803582947357,0.03332077921926658,31826,-45164.41998763067,-1.4191045053613607,0.998889725672221,1.000331030322904,-45159.13776000277,-1.4189385332747682,-5.282227627896646,Biliary/ductular,il6_jak_stat3,near,naive,6
7260_liver_sbr_Male_26-U1,6.999999999999999,0.02352865439576931,24875,-35284.400941407046,-1.418468379554052,0.9994464024223244,0.9990600415905247,-35296.096014865245,-1.4189385332609143,11.695073458198749,Biliary/ductular,il6_jak_stat3,near,naive,6
7001_liver_sham_Male_52-U1,6.999999999999999,0.018896235461041758,19766,-28031.332925729002,-1.418159107848275,0.9996429322854009,0.9984415910645259,-28046.739048282616,-1.4189385332531932,15.406122553613386,Biliary/ductular,il6_jak_stat3,near,naive,6
7248_liver_sham_Male_26-U1,10.477345453252495,0.02733680788796175,7108,-10086.624167930422,-1.4190523590222879,0.9992526989344966,1.0002272362051643,-10085.815094268046,-1.4189385332397364,-0.8090736623762496,Biliary/ductular,il6_jak_stat3,near,naive,6
