section,arm,week,call,celltype,module,n,n_senders,design,lam_near,beta_near,rss_near,aic_near,railed_near,lam_sup,beta_sup,rss_sup,aic_sup,railed_sup,aic0,rss0,d_aic,d_aic_near_vs_cov,d_aic_sup_vs_cov,boot_win_sup,d_aic_per1k,d_aic_per1k_lo,d_aic_per1k_hi,r_regressors,sd_y,beta_sup_sd,beta_near_sd
7435_liver_sham_Male_10-U1,sham,10,senepy_p95,Endothelial,oxidative_stress,23102,5975,ctrl,30.20149733539872,0.007035570140190973,90.52568113084023,-127978.2287099963,0.0,49.99999999999999,0.0028055662604065056,90.37218219447138,-128017.43462668212,1.0,-127973.85155373001,90.55851314919829,-39.20591668582347,-4.377156266287784,-43.58307295211125,1.0,-1.6970788973172655,-2.4721316628579726,-0.64263750897258,0.6083228165109551,0.07250734274384213,0.04824770251575978,0.097032519381514
7435_liver_sham_Male_10-U1,sham,10,senepy_p95,Endothelial,oxidative_stress,23102,5975,ctrl+N2,49.99999999999999,0.007087161047561187,90.50349451351144,-127981.8913909898,,49.99999999999999,0.0022606718067448924,90.26503299530799,-128042.84161573245,,,,-60.95022474265224,,,,,,,,0.07250734274384213,,
7435_liver_sham_Male_10-U1,sham,10,senepy_p95,Endothelial,secondary_senescence,23102,5975,naive,49.99999999999999,-0.00330266940064758,20.485175441543216,-162352.23218814746,1.0,49.99999999999999,-0.0008204062745763756,20.469204191140133,-162370.25066865314,1.0,-162346.9812426229,20.493380150667853,-18.01848050567787,-5.25094552457449,-23.26942603025236,0.975,-0.7799532726897183,-1.8730436023554615,-0.08837121580257123,0.6221369617534205,0.029783930402168018,-0.0343467035633297,-0.11088762819215714
7435_liver_sham_Male_10-U1,sham,10,senepy_p95,Endothelial,secondary_senescence,23102,5975,ctrl,49.99999999999999,-0.00399241244400909,18.398228607190592,-164788.47478556744,1.0,49.99999999999999,-0.0011194630412973874,18.37844535304283,-164813.32927795025,1.0,-164779.64319716487,18.408450409274025,-24.854492382815806,-8.831588402565103,-33.68608078538091,0.99,-1.0758589032471564,-2.101495246218383,-0.23523296215403433,0.6221369617534205,0.029783930402168018,-0.04686685904419591,-0.13404585593526738
7435_liver_sham_Male_10-U1,sham,10,senepy_p95,Endothelial,secondary_senescence,23102,5975,ctrl+N2,49.99999999999999,-0.00398083327984745,18.39636407569845,-164788.81612995677,,49.99999999999999,-0.000981718396347809,18.37190433700968,-164819.55290331808,,,,-30.736773361279802,,,,,,,,0.029783930402168018,,
7435_liver_sham_Male_10-U1,sham,10,senepy_p95,Endothelial,tnfa_nfkb_proximal,23102,5975,naive,49.99999999999999,-0.0031091543691585373,17.125487443512615,-166490.57725654106,1.0,49.99999999999999,-0.0006960627271928411,17.115355899128296,-166504.24858717126,1.0,-166484.7703506308,17.13275883544541,-13.67133063019719,-5.806905910256319,-19.47823654045351,0.895,-0.5917812583411475,-1.6617379517556194,0.17872611841909775,0.6221369617534205,0.027232584576003412,-0.03187114121605143,-0.11417037411072861
7435_liver_sham_Male_10-U1,sham,10,senepy_p95,Endothelial,tnfa_nfkb_proximal,23102,5975,ctrl,9.472463873139185,-0.0027921676306377945,13.194463468246203,-172468.8982766235,0.0,49.99999999999999,-0.00042792294907660345,13.191187468261713,-172474.63489098355,1.0,-172470.9444653142,13.195579414142797,-5.736614360037493,2.046188690699637,-3.6904256693378557,0.915,-0.2483167846955888,-0.6817692318537667,0.04766327813200215,0.48219463709810284,0.027232584576003412,-0.019593625986284363,-0.1025303941586082
7435_liver_sham_Male_10-U1,sham,10,senepy_p95,Endothelial,tnfa_nfkb_proximal,23102,5975,ctrl+N2,49.99999999999999,-0.00131220080157689,13.193968792790198,-172467.76441313914,,49.99999999999999,-0.00040695765680069033,13.191038325708526,-172472.8960889045,,,,-5.131675765339648,,,,,,,,0.027232584576003412,,
7435_liver_sham_Male_10-U1,sham,10,senepy_p95,Hepatocytes,downstream_arrest,79892,5975,naive,49.99999999999999,0.005062146711935843,16.64995141623821,-677158.485688586,1.0,49.99999999999999,0.001158949132786055,16.54400922232026,-677668.4557152286,1.0,-676863.7305506069,16.712330261749372,-509.9700266425498,-294.7551379791694,-804.7251646217192,1.0,-6.383242710691306,-10.565240253254204,-2.7482354988710176,0.6234808611015746,0.014463282133993146,0.10035769950829923,0.3499998592773245
7435_liver_sham_Male_10-U1,sham,10,senepy_p95,Hepatocytes,downstream_arrest,79892,5975,ctrl,6.999999999999999,-0.0027104691298329956,15.800485510583092,-681296.1605244882,1.0,49.99999999999999,0.0001514109159356384,15.799627041462,-681300.5013201057,1.0,-681294.9663293522,15.801512815857294,-4.3407956175506115,-1.194195135962218,-5.5349907535128295,0.665,-0.05433329516785925,-0.5281475278927138,0.057464992370872,0.44148814045178353,0.014463282133993146,0.013111232213631795,-0.18740346102183533
