held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,family,design
7352_liver_sham_Male_2-U1,17.345738419684505,0.006352044976695179,3903,-5537.401693000095,-1.4187552377658457,0.999959651524614,0.9996334120222802,-5538.117095211305,-1.4189385332337445,0.7154022112099483,Biliary/ductular,downstream_arrest,gaussian,naive
7435_liver_sham_Male_10-U1,15.682109678112967,0.006637795235369947,4215,-5980.283710107551,-1.4188098956364297,0.9999559396744133,0.9997427277807595,-5980.825917581062,-1.418938533233941,0.5422074735106435,Biliary/ductular,downstream_arrest,gaussian,naive
7259_liver_sbr_Male_26-U1,6.999999999999999,-0.0007277818331028883,31135,-44214.78478565605,-1.4200990777471028,0.9622937464827563,1.001530859039989,-44214.778662400866,-1.4200988810791992,-0.006123255181591958,Biliary/ductular,downstream_arrest,powerlaw,ctrl
7260_liver_sbr_Male_26-U1,49.99999999999999,0.003197797238720465,27611,-38726.107736106074,-1.4025608538664327,0.9800613818933693,0.9676923460206933,-38725.60575131485,-1.402542673257573,-0.5019847912262776,Biliary/ductular,downstream_arrest,powerlaw,ctrl
7001_liver_sham_Male_52-U1,49.99999999999999,0.0019164016525459397,21822,-30709.036203313677,-1.4072512236877315,0.9740702500188232,0.9768933802314398,-30708.867469332123,-1.4072434914000607,-0.16873398155439645,Biliary/ductular,downstream_arrest,powerlaw,ctrl
7248_liver_sham_Male_26-U1,6.999999999999999,-0.0011038802003330477,7950,-11174.049050437947,-1.405540761061377,0.9740541193579408,0.9735599322185784,-11173.966501388964,-1.405530377533203,-0.08254904898240056,Biliary/ductular,downstream_arrest,powerlaw,ctrl
7352_liver_sham_Male_2-U1,6.999999999999999,-0.000498945982896608,3903,-5497.12150477235,-1.4084349230777222,0.9737674363476849,0.9791983813218158,-5497.11008532688,-1.408431997265406,-0.011419445469982747,Biliary/ductular,downstream_arrest,powerlaw,ctrl
7435_liver_sham_Male_10-U1,24.6860647223019,0.0005843888792645262,4215,-5881.455586082273,-1.395363128370646,0.9749297615576513,0.9537076472322036,-5881.442356929977,-1.3953599897817264,-0.01322915229593491,Biliary/ductular,downstream_arrest,powerlaw,ctrl
7259_liver_sbr_Male_26-U1,49.99999999999999,0.014815352850823178,31135,-44186.60581068385,-1.419194019935245,0.9997805053199056,1.0005108696170977,-44178.65123314173,-1.4189385332629432,-7.954577542121115,Biliary/ductular,downstream_arrest,powerlaw,naive
7260_liver_sbr_Male_26-U1,6.999999999999999,-0.004472469528937064,27611,-39180.0514418862,-1.419001537136873,0.9999799970163126,1.0001260105454188,-39178.31184176303,-1.4189385332571451,-1.7396001231682021,Biliary/ductular,downstream_arrest,powerlaw,naive
7001_liver_sham_Male_52-U1,49.99999999999999,0.0090421580100828,21822,-30965.22971371613,-1.418991371721938,0.9999182393785204,1.0001056717638162,-30964.07667256707,-1.4189385332493387,-1.1530411490603,Biliary/ductular,downstream_arrest,powerlaw,naive
7248_liver_sham_Male_26-U1,49.99999999999999,0.006743025577564054,7950,-11280.295408427657,-1.418905082821089,0.9999545316060603,0.9999330999438996,-11280.561339229844,-1.4189385332364584,0.2659308021866309,Biliary/ductular,downstream_arrest,powerlaw,naive
7352_liver_sham_Male_2-U1,49.99999999999999,0.005736257484552148,3903,-5537.422329132887,-1.4187605250148314,0.9999670953500709,0.9996439838172989,-5538.117095211305,-1.4189385332337445,0.6947660784180698,Biliary/ductular,downstream_arrest,powerlaw,naive
