section,celltype,module,design,basis,n,beta,se_iid,se_blk,se_ratio,ci_iid_lo,ci_iid_hi,ci_blk_lo,ci_blk_hi
7259_liver_sbr_Male_26-U1,Biliary/ductular,oxidative_stress,naive,nearest,31135,-0.021956397337145002,0.002096231729448871,0.0023482366250122434,1.1202180522425484,-0.02606501152686479,-0.017847783147425213,-0.026457131829560627,-0.01744554891079471
7259_liver_sbr_Male_26-U1,Biliary/ductular,oxidative_stress,naive,superposition,31135,-0.015874039291332794,0.0014756066785202625,0.0017011140643300028,1.1528235058111007,-0.018766228381232507,-0.01298185020143308,-0.019646507213633438,-0.01274022365768095
7259_liver_sbr_Male_26-U1,Biliary/ductular,secondary_senescence,ctrl,nearest,31135,-0.0015699318831342284,0.0008937195031247672,0.0009133031405565976,1.0219125098684307,-0.003321622109258772,0.00018175834299031515,-0.003339481284351425,0.00033069438660631204
7259_liver_sbr_Male_26-U1,Biliary/ductular,secondary_senescence,ctrl,superposition,31135,0.00020111917979499344,7.775236409882663e-05,8.105059758793127e-05,1.0424197196745353,4.872454616129324e-05,0.0003535138134286936,4.542094681413617e-05,0.0003658425782301069
7259_liver_sbr_Male_26-U1,Biliary/ductular,secondary_senescence,naive,nearest,31135,-0.0019786928446775985,0.0008690677982191693,0.0009743390213796577,1.121131197561574,-0.0036820657291871703,-0.0002753199601680267,-0.0038313583495165793,4.772746216229369e-05
7259_liver_sbr_Male_26-U1,Biliary/ductular,secondary_senescence,naive,superposition,31135,-0.001030046325452542,0.0006118474958619808,0.0006457702970480831,1.0554432295883,-0.0022292674173420247,0.0001691747664369404,-0.0022329562065174107,0.0002450454908469776
7259_liver_sbr_Male_26-U1,Biliary/ductular,tnfa_nfkb_proximal,ctrl,nearest,31135,-0.002187043790506334,0.0010335660875462997,0.0010523591552334317,1.0181827441066174,-0.004212833322097082,-0.00016125425891558645,-0.004420313635395411,-0.00022240840572659558
7259_liver_sbr_Male_26-U1,Biliary/ductular,tnfa_nfkb_proximal,ctrl,superposition,31135,0.00019156902921125144,9.000661386086377e-05,0.00010363970657060343,1.1514676769288787,1.5156066043958444e-05,0.00036798199237854444,-2.2197485131638557e-05,0.0003836819722880482
7259_liver_sbr_Male_26-U1,Biliary/ductular,tnfa_nfkb_proximal,naive,nearest,31135,0.0029194971202736826,0.0008502123042255588,0.0011277581086508739,1.3264429402467022,0.0012530810039915873,0.004585913236555778,0.000786531360204991,0.004973438086086945
7259_liver_sbr_Male_26-U1,Biliary/ductular,tnfa_nfkb_proximal,naive,superposition,31135,0.0008040766050075184,0.00018192262461053812,0.00025947874931899113,1.4263137961783807,0.00044750826077086367,0.001160644949244173,0.0003166104053268535,0.0012745750844078093
7259_liver_sbr_Male_26-U1,DC,downstream_arrest,ctrl,nearest,2623,0.009708891346184622,0.0029931446653864023,0.0034690204278311335,1.1589885607427857,0.003842327802027273,0.01557545489034197,0.003024766560196758,0.01641765227786664
7259_liver_sbr_Male_26-U1,DC,downstream_arrest,ctrl,superposition,2623,0.0009592682576998643,0.0003174128433429022,0.00033704361702851805,1.0618461858029125,0.00033713908474777604,0.0015813974306519525,0.0003137662196566291,0.0016231889554288643
7259_liver_sbr_Male_26-U1,DC,downstream_arrest,naive,nearest,2623,0.004870410775980182,0.0025734418785120796,0.0032702196945913063,1.2707571606327055,-0.00017353530590349334,0.009914356857863859,-0.0017440622553751592,0.0112864141822041
7259_liver_sbr_Male_26-U1,DC,downstream_arrest,naive,superposition,2623,0.003780129558903685,0.002257658743394905,0.0027087021973855917,1.1997837163434364,-0.0006448815781503292,0.008205140695957699,-0.0007847532221998253,0.009517590437532834
7259_liver_sbr_Male_26-U1,DC,emt_ecm,ctrl,nearest,2623,0.0030236751115453354,0.0036302537945451176,0.0037973848745393762,1.0460384010190673,-0.004091622325763095,0.010138972548853766,-0.004260044564304509,0.010185100318262464
7259_liver_sbr_Male_26-U1,DC,emt_ecm,ctrl,superposition,2623,-0.00029552841179590606,0.00036690843923112607,0.00033609269530563676,0.9160124417141641,-0.0010146689526889133,0.00042361212909710103,-0.000996502252196277,0.00031586465712136493
7259_liver_sbr_Male_26-U1,DC,emt_ecm,naive,nearest,2623,0.003917482497759235,0.0036222740492903214,0.00395904124961698,1.0929712097273916,-0.0031821746388497954,0.011017139634368265,-0.0033734217438102605,0.011644591838805103
7259_liver_sbr_Male_26-U1,DC,emt_ecm,naive,superposition,2623,-0.0002524754125149679,0.00030436605113203885,0.00031608902733247567,1.0385160439439127,-0.000849032872733764,0.0003440820477038283,-0.0008504588352691761,0.00030387484159600104
7259_liver_sbr_Male_26-U1,DC,il6_jak_stat3,ctrl,nearest,2623,0.0015371425880233026,0.004918447951569013,0.005920526177464915,1.2037387069586114,-0.008103015397051964,0.011177300573098568,-0.009317113112950859,0.011787394788825215
7259_liver_sbr_Male_26-U1,DC,il6_jak_stat3,ctrl,superposition,2623,-0.001049367021691259,0.0004704902976144303,0.00042726148116670887,0.908119643132051,-0.0019715280050155424,-0.00012720603836697576,-0.0018345391862851978,-0.0002535783800800184
7259_liver_sbr_Male_26-U1,DC,il6_jak_stat3,naive,nearest,2623,0.009192734451848218,0.0034889676847646538,0.004106944629403196,1.177123149445343,0.002354357789709496,0.01603111111398694,0.0007698662973139819,0.016505683906252153
7259_liver_sbr_Male_26-U1,DC,il6_jak_stat3,naive,superposition,2623,0.005548384774613184,0.0032074257553987443,0.0036032271406694133,1.1234015735530138,-0.0007381697059683544,0.011834939255194722,-0.0017496217059009777,0.01172106028296226
7259_liver_sbr_Male_26-U1,DC,interferon_response,ctrl,nearest,2623,-0.0009672713676107833,0.00410215500960393,0.004336435649096094,1.0571116008399655,-0.009007495186434485,0.007072952451212919,-0.009944332775808652,0.0070812401545990574
7259_liver_sbr_Male_26-U1,DC,interferon_response,ctrl,superposition,2623,-0.0007978960611443461,0.0007180261182725348,0.0008012926906519577,1.115965938091152,-0.002205227252958514,0.0006094351306698219,-0.0024555033686575476,0.0006630790134976088
7259_liver_sbr_Male_26-U1,DC,interferon_response,naive,nearest,2623,0.007225603428995759,0.0035949457596775917,0.004108233029678265,1.142780254366538,0.00017950974002767933,0.014271697117963838,-0.0010460574206575108,0.01523222217656068
7259_liver_sbr_Male_26-U1,DC,interferon_response,naive,superposition,2623,0.002265358273415463,0.0015404692793471453,0.001964319910377872,1.2751438387725302,-0.0007539615141049418,0.005284678060935868,-0.0015209300720134375,0.0061640627130405265
7259_liver_sbr_Male_26-U1,DC,oxidative_stress,ctrl,nearest,2623,0.009138773264956894,0.007409655256894068,0.007784980379328676,1.0506535202275975,-0.0053841510385554785,0.023661697568469267,-0.00441228827499036,0.02615123737313532
7259_liver_sbr_Male_26-U1,DC,oxidative_stress,ctrl,superposition,2623,0.004436229290444956,0.004810373961572868,0.005478530289965724,1.1388990406422344,-0.004992103674237865,0.013864562255127777,-0.005106035349300957,0.01653490025176298
7259_liver_sbr_Male_26-U1,DC,oxidative_stress,naive,nearest,2623,-0.014258851623238727,0.005802950620180379,0.006030233553543312,1.0391667874223387,-0.02563263483879227,-0.0028850684076851853,-0.024422351028344343,-0.001313594687292564
7259_liver_sbr_Male_26-U1,DC,oxidative_stress,naive,superposition,2623,-0.004574137852353559,0.001360915508968404,0.0013847776457557902,1.017533885557285,-0.007241532249931631,-0.0019067434547754875,-0.007294479202574171,-0.0015088536147007054
7259_liver_sbr_Male_26-U1,DC,secondary_senescence,ctrl,nearest,2623,0.002930810103021523,0.003313553038189859,0.0030777768113827574,0.9288448912422109,-0.0035637538518306006,0.009425374057873647,-0.0029833987625255253,0.0088303386140061
