section,arm,caller,cell_type,bg_pct,call_pct,enrichment,n_called
7248_liver_sham_Male_26-U1,sham,tierA_score,Central venous LSECs,1.259,2.394,1.902,234
7248_liver_sham_Male_26-U1,sham,tierA_score,B-cells,0.671,2.323,3.463,227
7248_liver_sham_Male_26-U1,sham,tierA_score,Proliferating,0.529,2.875,5.435,281
7248_liver_sham_Male_26-U1,sham,senepy_score,Hepatocytes,55.099,17.16,0.311,1402
7248_liver_sham_Male_26-U1,sham,senepy_score,LSECs,16.57,4.149,0.25,339
7248_liver_sham_Male_26-U1,sham,senepy_score,Hepatic stellate cells,8.069,0.0,0.0,0
7248_liver_sham_Male_26-U1,sham,senepy_score,Kupffer cells,7.353,78.568,10.685,6419
7248_liver_sham_Male_26-U1,sham,senepy_score,Biliary/ductular,4.305,0.0,0.0,0
7248_liver_sham_Male_26-U1,sham,senepy_score,vSMCs,3.492,0.0,0.0,0
7248_liver_sham_Male_26-U1,sham,senepy_score,T/NK cells,2.654,0.0,0.0,0
7248_liver_sham_Male_26-U1,sham,senepy_score,Central venous LSECs,1.259,0.073,0.058,6
7248_liver_sham_Male_26-U1,sham,senepy_score,B-cells,0.671,0.049,0.073,4
7248_liver_sham_Male_26-U1,sham,senepy_score,Proliferating,0.529,0.0,0.0,0
7248_liver_sham_Male_26-U1,sham,deepscence_score,Hepatocytes,55.099,89.543,1.625,8751
7248_liver_sham_Male_26-U1,sham,deepscence_score,LSECs,16.57,1.791,0.108,175
7248_liver_sham_Male_26-U1,sham,deepscence_score,Hepatic stellate cells,8.069,0.624,0.077,61
7248_liver_sham_Male_26-U1,sham,deepscence_score,Kupffer cells,7.353,0.593,0.081,58
7248_liver_sham_Male_26-U1,sham,deepscence_score,Biliary/ductular,4.305,6.487,1.507,634
7248_liver_sham_Male_26-U1,sham,deepscence_score,vSMCs,3.492,0.46,0.132,45
7248_liver_sham_Male_26-U1,sham,deepscence_score,T/NK cells,2.654,0.246,0.093,24
7248_liver_sham_Male_26-U1,sham,deepscence_score,Central venous LSECs,1.259,0.123,0.098,12
7248_liver_sham_Male_26-U1,sham,deepscence_score,B-cells,0.671,0.102,0.153,10
7248_liver_sham_Male_26-U1,sham,deepscence_score,Proliferating,0.529,0.031,0.058,3
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Hepatocytes,55.099,68.062,1.235,5300
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,LSECs,16.57,11.738,0.708,914
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Hepatic stellate cells,8.069,4.315,0.535,336
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Kupffer cells,7.353,5.856,0.796,456
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Biliary/ductular,4.305,2.71,0.629,211
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,vSMCs,3.492,1.464,0.419,114
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,T/NK cells,2.654,2.157,0.813,168
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Central venous LSECs,1.259,0.372,0.296,29
