section,arm,caller,stratum_kind,stratum,bg_pct,call_pct,enrichment
7435_liver_sham_Male_10-U1,sham,deepscence_score,zonation_hepatocyte,pericentral,33.33,32.58,0.977
7435_liver_sham_Male_10-U1,sham,cdkn1a_counts,depth_quintile,Q1_low,20.06,7.92,0.395
7435_liver_sham_Male_10-U1,sham,cdkn1a_counts,depth_quintile,Q2,19.99,13.55,0.678
7435_liver_sham_Male_10-U1,sham,cdkn1a_counts,depth_quintile,Q3,19.97,17.7,0.886
7435_liver_sham_Male_10-U1,sham,cdkn1a_counts,depth_quintile,Q4,20.0,23.02,1.151
7435_liver_sham_Male_10-U1,sham,cdkn1a_counts,depth_quintile,Q5_high,19.98,37.8,1.892
7435_liver_sham_Male_10-U1,sham,cdkn1a_counts,zonation_hepatocyte,periportal,33.33,28.91,0.867
7435_liver_sham_Male_10-U1,sham,cdkn1a_counts,zonation_hepatocyte,midzonal,33.33,37.71,1.131
7435_liver_sham_Male_10-U1,sham,cdkn1a_counts,zonation_hepatocyte,pericentral,33.33,33.38,1.001
7448_liver_sbr_Male_10-U1,SBR,tierA_score,depth_quintile,Q1_low,20.01,37.05,1.851
7448_liver_sbr_Male_10-U1,SBR,tierA_score,depth_quintile,Q2,20.04,27.79,1.387
7448_liver_sbr_Male_10-U1,SBR,tierA_score,depth_quintile,Q3,19.98,19.23,0.962
7448_liver_sbr_Male_10-U1,SBR,tierA_score,depth_quintile,Q4,19.98,11.33,0.567
7448_liver_sbr_Male_10-U1,SBR,tierA_score,depth_quintile,Q5_high,19.99,4.61,0.231
7448_liver_sbr_Male_10-U1,SBR,tierA_score,zonation_hepatocyte,periportal,33.33,30.16,0.905
7448_liver_sbr_Male_10-U1,SBR,tierA_score,zonation_hepatocyte,midzonal,33.33,29.98,0.899
7448_liver_sbr_Male_10-U1,SBR,tierA_score,zonation_hepatocyte,pericentral,33.33,39.85,1.196
7448_liver_sbr_Male_10-U1,SBR,senepy_score,depth_quintile,Q1_low,20.01,0.41,0.021
7448_liver_sbr_Male_10-U1,SBR,senepy_score,depth_quintile,Q2,20.04,2.13,0.106
7448_liver_sbr_Male_10-U1,SBR,senepy_score,depth_quintile,Q3,19.98,4.67,0.234
7448_liver_sbr_Male_10-U1,SBR,senepy_score,depth_quintile,Q4,19.98,15.64,0.783
