section,arm,caller,within_type_depth_quintile,bg_pct,enrichment
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,Q5,19.98,0.667
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Q1,20.09,0.276
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Q2,19.99,0.547
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Q3,19.98,0.746
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Q4,19.96,1.172
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Q5,19.98,2.263
7260_liver_sbr_Male_26-U1,SBR,tierA_score,Q1,20.05,1.67
7260_liver_sbr_Male_26-U1,SBR,tierA_score,Q2,20.02,1.192
7260_liver_sbr_Male_26-U1,SBR,tierA_score,Q3,20.0,0.984
7260_liver_sbr_Male_26-U1,SBR,tierA_score,Q4,19.95,0.745
7260_liver_sbr_Male_26-U1,SBR,tierA_score,Q5,19.98,0.405
7260_liver_sbr_Male_26-U1,SBR,senepy_score,Q1,20.05,0.082
7260_liver_sbr_Male_26-U1,SBR,senepy_score,Q2,20.02,0.368
7260_liver_sbr_Male_26-U1,SBR,senepy_score,Q3,20.0,0.754
7260_liver_sbr_Male_26-U1,SBR,senepy_score,Q4,19.95,1.239
7260_liver_sbr_Male_26-U1,SBR,senepy_score,Q5,19.98,2.562
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,Q1,20.05,1.085
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,Q2,20.02,1.075
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,Q3,20.0,1.054
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,Q4,19.95,1.018
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,Q5,19.98,0.768
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Q1,20.05,0.316
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Q2,20.02,0.518
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Q3,20.0,0.775
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Q4,19.95,1.11
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Q5,19.98,2.285
7352_liver_sham_Male_2-U1,sham,tierA_score,Q1,20.07,1.583
7352_liver_sham_Male_2-U1,sham,tierA_score,Q2,19.97,1.233
7352_liver_sham_Male_2-U1,sham,tierA_score,Q3,19.99,1.008
7352_liver_sham_Male_2-U1,sham,tierA_score,Q4,20.01,0.717
7352_liver_sham_Male_2-U1,sham,tierA_score,Q5,19.97,0.457
7352_liver_sham_Male_2-U1,sham,senepy_score,Q1,20.07,0.119
7352_liver_sham_Male_2-U1,sham,senepy_score,Q2,19.97,0.344
