section,arm,week,band,call,n_cells,area_um2,median_depth,median_nn_um,n_senders,sender_prevalence,sender_density_per_um2,median_d_um,iqr_d_um,p90_d_um,poisson_median_pred_um,obs_over_poisson
7001_liver_sham_Male_52-U1,sham,52,in_band,tierA_p90,165961,49610625.0,842.0,10.441478507794104,13784,0.08305565765450919,0.0002778437078750772,27.184080791317477,22.40673039793725,52.22310921318784,28.17977434792542,0.9646663758086038
7001_liver_sham_Male_52-U1,sham,52,in_band,tierA_p95,165961,49610625.0,842.0,10.441478507794104,6895,0.041545905363308246,0.0001389823248548068,38.77030827322214,32.338673451110736,74.81806905739964,39.843548315836465,0.9730636429740936
7001_liver_sham_Male_52-U1,sham,52,in_band,tierA_p99,165961,49610625.0,842.0,10.441478507794104,1382,0.0083272576087153,2.7856935888229587e-05,89.37913451101637,74.21669926372272,171.58065193423735,88.9961300188835,1.0043036083934391
7001_liver_sham_Male_52-U1,sham,52,in_band,cdkn1a_pos,165961,49610625.0,842.0,10.441478507794104,9669,0.05826067570091768,0.00019489776635549342,33.745708079654975,28.190523367086115,66.55246744623575,33.64607148025941,1.0029613145015763
7001_liver_sham_Male_52-U1,sham,52,in_band,senepy_p90,165961,49610625.0,842.0,10.441478507794104,10832,0.06526834617771646,0.00021834032528314246,34.39346752352292,28.825944907224397,69.62319170261149,31.78855726005344,1.0819449037010214
7001_liver_sham_Male_52-U1,sham,52,in_band,senepy_p95,165961,49610625.0,842.0,10.441478507794104,5418,0.032646224112893994,0.00010921047658641673,49.57933097368059,43.93245954508828,103.34598489357101,44.94751054809225,1.1030495431027811
7001_liver_sham_Male_52-U1,sham,52,in_band,senepy_p99,165961,49610625.0,842.0,10.441478507794104,1086,0.006543706051421719,2.1890472051097927e-05,117.19649043437518,110.345343633786,256.35434791704574,100.39457157016984,1.1673588382461675
7248_liver_sham_Male_26-U1,sham,26,in_band,tierA_p90,224921,52858750.0,974.0,10.11196543125841,19443,0.08644368467150688,0.00036782935653983495,23.92096818529019,19.09226011464977,46.36685987945937,24.491455778279736,0.9767066687193219
7248_liver_sham_Male_26-U1,sham,26,in_band,tierA_p95,224921,52858750.0,974.0,10.11196543125841,9725,0.04323740335495574,0.00018398089247286401,33.84103773247756,28.491683804254542,66.78459980432181,34.62991563699061,0.97721975667563
7248_liver_sham_Male_26-U1,sham,26,in_band,tierA_p99,224921,52858750.0,974.0,10.11196543125841,1948,0.00866081868745026,3.685293352566983e-05,78.21983142833705,71.23601152680467,161.5934549917899,77.37519602390462,1.0109161003504465
7248_liver_sham_Male_26-U1,sham,26,in_band,cdkn1a_pos,224921,52858750.0,974.0,10.11196543125841,7696,0.034216458223109446,0.00014559557310757444,40.312654296816284,32.3848731934255,77.47115864188815,38.92814498043273,1.0355657665444753
7248_liver_sham_Male_26-U1,sham,26,in_band,senepy_p90,224921,52858750.0,974.0,10.11196543125841,16341,0.07265217565278476,0.00030914465438550853,30.16579120130495,25.212406564650113,63.118950941118435,26.715107343597982,1.1291660113255688
7248_liver_sham_Male_26-U1,sham,26,in_band,senepy_p95,224921,52858750.0,974.0,10.11196543125841,8173,0.0363372028401083,0.0001546196230520018,42.441725418430124,36.42165895053964,87.54169977442902,37.77508837897692,1.1235374221400987
7248_liver_sham_Male_26-U1,sham,26,in_band,senepy_p99,224921,52858750.0,974.0,10.11196543125841,1636,0.00727366497570258,3.095041029157897e-05,93.2738879355314,79.05858267738904,183.1099884235738,84.43151631452143,1.104728329029064
7352_liver_sham_Male_2-U1,sham,2,in_band,tierA_p90,139378,30130000.0,649.0,9.804628187284118,12190,0.08746000086096802,0.00040458015267175575,23.16522880518378,17.640487293174104,42.92286089739017,23.352614341947323,0.9919758218921575
7352_liver_sham_Male_2-U1,sham,2,in_band,tierA_p95,139378,30130000.0,649.0,9.804628187284118,6097,0.043744349897401315,0.0002023564553601062,33.001875795394675,26.532968282462164,62.55265977806579,33.02016678086908,0.9994460662298954
7352_liver_sham_Male_2-U1,sham,2,in_band,tierA_p99,139378,30130000.0,649.0,9.804628187284118,1224,0.008781873753390061,4.062396282774643e-05,75.9119403435355,62.67409946495308,144.3767885714551,73.6964640772077,1.0300621786142519
7352_liver_sham_Male_2-U1,sham,2,in_band,cdkn1a_pos,139378,30130000.0,649.0,9.804628187284118,7253,0.052038341775603035,0.00024072353136408894,30.44977779890678,24.26678928149306,59.2174807523655,30.274607493734447,1.0057860471092346
7352_liver_sham_Male_2-U1,sham,2,in_band,senepy_p90,139378,30130000.0,649.0,9.804628187284118,10329,0.07410782189441663,0.00034281447062728176,27.953994396287484,26.02689905405995,64.75377844175226,25.369284645173224,1.1018834305840794
7352_liver_sham_Male_2-U1,sham,2,in_band,senepy_p95,139378,30130000.0,649.0,9.804628187284118,5166,0.03706467304739629,0.00017145701958181216,39.66434181077807,38.33294983360777,93.56226068916821,35.87237732592353,1.1057070862742693
7352_liver_sham_Male_2-U1,sham,2,in_band,senepy_p99,139378,30130000.0,649.0,9.804628187284118,1035,0.007425849129704831,3.435114503816794e-05,88.91601276261537,88.14042179826946,213.94158203732331,80.14329336326605,1.1094629261064322
7435_liver_sham_Male_10-U1,sham,10,in_band,tierA_p90,172218,41241250.0,770.0,10.611853078719262,13915,0.08079875506625324,0.0003374049040705604,25.79036164661126,19.589187540037997,47.63344315654324,25.571847090534355,1.0085451221143031
7435_liver_sham_Male_10-U1,sham,10,in_band,tierA_p95,172218,41241250.0,770.0,10.611853078719262,6960,0.040413894018046896,0.00016876307095444487,36.525353999318654,28.752832592325383,67.59859093155173,36.15755740624035,1.0101720530772034
7435_liver_sham_Male_10-U1,sham,10,in_band,tierA_p99,172218,41241250.0,770.0,10.611853078719262,1397,0.008111811773449929,3.3873852029218317e-05,83.21969670027705,68.15383883747606,159.2733953937463,80.70594017407396,1.0311471066538744
7435_liver_sham_Male_10-U1,sham,10,in_band,cdkn1a_pos,172218,41241250.0,770.0,10.611853078719262,2995,0.017390748934490007,7.26214651592762e-05,56.301495079952836,44.929609629197515,106.63991659688662,55.1195027272563,1.0214441766382636
7435_liver_sham_Male_10-U1,sham,10,in_band,senepy_p90,172218,41241250.0,770.0,10.611853078719262,11948,0.0693771847309805,0.00028970993847179705,30.020866898436957,24.136020965880217,59.65624019772511,27.596632947695714,1.0878452800867384
7435_liver_sham_Male_10-U1,sham,10,in_band,senepy_p95,172218,41241250.0,770.0,10.611853078719262,5975,0.03469439895945836,0.00014487921680356438,42.31715914902064,36.212586652830204,85.94123675920571,39.024266551494584,1.0843806402659972
7435_liver_sham_Male_10-U1,sham,10,in_band,senepy_p99,172218,41241250.0,770.0,10.611853078719262,1198,0.006956299573796003,2.9048586063710484e-05,94.85297965777373,83.80900790333537,196.3585488645586,87.15158605699632,1.0883677962640952
7239_liver_sbr_Male_52-U1,sbr,52,over_ceiling,tierA_p90,83392,16683750.0,826.0,8.501764233534523,7472,0.08960092095165004,0.00044786094253390277,21.548784648540572,17.920991099667006,42.35227914874559,22.195564724099295,0.9708599405512549
7239_liver_sbr_Male_52-U1,sbr,52,over_ceiling,tierA_p95,83392,16683750.0,826.0,8.501764233534523,3738,0.044824443591711435,0.0002240503483928973,30.6859154894278,26.48186767946116,60.37286785114369,31.380870190670347,0.9778541927926154
7239_liver_sbr_Male_52-U1,sbr,52,over_ceiling,tierA_p99,83392,16683750.0,826.0,8.501764233534523,753,0.00902964313123561,4.51337379186334e-05,68.17648359785815,57.27010608063642,132.2612222620353,69.91770151724039,0.975096179056274
7239_liver_sbr_Male_52-U1,sbr,52,over_ceiling,cdkn1a_pos,83392,16683750.0,826.0,8.501764233534523,16798,0.20143419033000767,0.0010068479808196598,16.277446321274564,9.0388823475602,27.57781039293568,14.803208033876494,1.0995891082543958
7239_liver_sbr_Male_52-U1,sbr,52,over_ceiling,senepy_p90,83392,16683750.0,826.0,8.501764233534523,4554,0.054609554873369145,0.0002729602157788267,32.82030208744573,27.74321974104526,65.63319843403151,28.43073699177025,1.1543950512765855
7239_liver_sbr_Male_52-U1,sbr,52,over_ceiling,senepy_p95,83392,16683750.0,826.0,8.501764233534523,2278,0.02731676899462778,0.0001365400464523863,47.53612580894821,41.87769012556167,97.62017478999176,40.19830777807345,1.182540470892092
7239_liver_sbr_Male_52-U1,sbr,52,over_ceiling,senepy_p99,83392,16683750.0,826.0,8.501764233534523,458,0.005492133537989255,2.7451861841612347e-05,105.92293248687622,89.63641496670077,209.40102474885205,89.6503298732938,1.181511910068609
7448_liver_sbr_Male_10-U1,sbr,10,over_ceiling,tierA_p90,187536,32953125.0,756.0,7.805134287924633,15796,0.08422916133435714,0.0004793475580844002,19.647176907639007,16.941750520664854,40.00667625365693,21.45421035637812,0.9157725491303436
7448_liver_sbr_Male_10-U1,sbr,10,over_ceiling,tierA_p95,187536,32953125.0,756.0,7.805134287924633,7901,0.04213057759576828,0.00023976481744902799,28.126069016687477,24.947006030710384,56.9053196481359,30.335074520158507,0.9271798227493036
7448_liver_sbr_Male_10-U1,sbr,10,over_ceiling,tierA_p99,187536,32953125.0,756.0,7.805134287924633,1585,0.008451710604897193,4.809862494073021e-05,64.91699533701855,56.11848426868525,129.66969259481195,67.72850101241154,0.9584885885060741
7448_liver_sbr_Male_10-U1,sbr,10,over_ceiling,cdkn1a_pos,187536,32953125.0,756.0,7.805134287924633,16319,0.08701795921849671,0.0004952185870080607,21.487605947973215,15.126821221759773,39.80561867287148,21.107622860765318,1.018002173419263
7448_liver_sbr_Male_10-U1,sbr,10,over_ceiling,senepy_p90,187536,32953125.0,756.0,7.805134287924633,8731,0.04655639450558826,0.0002649521100047416,30.772109197825852,25.948644511377324,62.97210752756609,28.85719425392033,1.0663583204609497
7448_liver_sbr_Male_10-U1,sbr,10,over_ceiling,senepy_p95,187536,32953125.0,756.0,7.805134287924633,4367,0.023286195717088985,0.00013252157420578473,45.96558116913809,41.55752928238369,97.08160797645877,40.80322602740214,1.1265183085834702
7448_liver_sbr_Male_10-U1,sbr,10,over_ceiling,senepy_p99,187536,32953125.0,756.0,7.805134287924633,877,0.00467643545772545,2.6613560929350404e-05,119.10291728182857,115.8244841073819,257.72333801945183,91.05133133977843,1.3080854011609053
7361_liver_sbr_Male_2-U1,sbr,2,over_ceiling,tierA_p90,193983,31231250.0,789.0,8.773145145970076,15729,0.08108442492383353,0.0005036301781068641,20.49840793658888,15.936900477481434,38.455336630911425,20.930611724682116,0.979350637536142
7361_liver_sbr_Male_2-U1,sbr,2,over_ceiling,tierA_p95,193983,31231250.0,789.0,8.773145145970076,7867,0.04055510018919184,0.00025189513708224933,29.144629059162533,23.755627592850566,55.864338549469224,29.59565134915375,0.984760521582367
7361_liver_sbr_Male_2-U1,sbr,2,over_ceiling,tierA_p99,193983,31231250.0,789.0,8.773145145970076,1578,0.008134733456024498,5.052631578947368e-05,67.46667186792955,56.12729428973261,129.44559887848555,66.08136085933181,1.0209637179165645
