call,variant,label,scope,source,n,q25,median,q75,mean,frac_le_0,frac_gt_05,reject_rate_p05
cdkn1a_pos,N4_swap,"N4-swap rotation, snapped to nearest real cell positions",whole section,perm_nulls_c1_n7.csv (C1 re-run),203,0.984179209923554,1.010824200321855,1.0605388800585898,1.0391293652408125,0.0,0.9901477832512315,0.9507389162561576
cdkn1a_pos,N3_tile,N3-tile torus shift inside solid-tissue tiles,solid tiles,perm_nulls_c1_n7.csv (C1 re-run),178,0.8717660434789583,0.9903272532411076,1.0319304688275481,0.9045605790691333,0.011235955056179775,0.9269662921348315,0.8651685393258427
cdkn1a_pos,N4_tile,N4-tile rotation inside solid-tissue tiles,solid tiles,perm_nulls_c1_n7.csv (C1 re-run),178,0.8368450673350132,0.9623884544948909,1.0275860618679047,0.8890308188671007,0.011235955056179775,0.898876404494382,0.848314606741573
senepy_p95,N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_n7.csv (ORIGINAL),155,0.9824226486332642,0.9964347637559228,1.008201686555657,0.9932928625305735,0.0,1.0,0.9548387096774194
senepy_p95,N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_n7.csv (ORIGINAL),155,0.9634996467053993,1.0123446865572745,1.0710544745089556,1.0344440197763098,0.0,1.0,0.9741935483870968
senepy_p95,N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1_n7.csv (C1 re-run),155,0.9855539545315704,0.9964303553694548,1.0083903659617741,0.9986025991552827,0.0,1.0,0.967741935483871
senepy_p95,N3_occ,"N3-occ whole-section shift, <=5% of senders out of tissue",whole section,perm_nulls_c1_n7.csv (C1 re-run),155,0.0341027277382457,0.4059279432722917,0.7993914832134623,0.4612271359933647,0.13548387096774195,0.4064516129032258,0.7419354838709677
senepy_p95,N3_occ15,"N3-occ15 whole-section shift, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),155,0.8730977848039756,0.9934699906012564,1.0779788046503929,0.9613093643295036,0.0,0.967741935483871,0.9419354838709677
senepy_p95,N3_swap,N3-swap senders relocated to random real cell positions,whole section,perm_nulls_c1_n7.csv (C1 re-run),155,0.8464621823768081,0.92629801313905,0.9856172642756724,0.9433375104540604,0.0064516129032258064,0.9548387096774194,0.9225806451612903
senepy_p95,N3_snap,"N3-snap whole-section shift, snapped to nearest real cell (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),155,0.9720416556960364,0.9993666388215746,1.0275716941195134,0.9991492692492868,0.0,1.0,0.9870967741935484
senepy_p95,N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1_n7.csv (C1 re-run),155,0.960988232704201,1.008724676757441,1.0764066526135077,1.0328768402730222,0.0,1.0,0.9741935483870968
senepy_p95,N4_occ,"N4-occ whole-section rotation, <=5% of senders out of tissue",whole section,perm_nulls_c1_n7.csv (C1 re-run),155,0.03365946017514938,0.4085074882037446,0.7202831968089588,0.42099477323422885,0.16774193548387098,0.41935483870967744,0.2064516129032258
senepy_p95,N4_occ15,"N4-occ15 whole-section rotation, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),155,0.797826277542458,0.9507583341342448,1.0397553390943797,0.8908454813310115,0.0,0.8774193548387097,0.7290322580645161
senepy_p95,N4_swap,"N4-swap rotation, snapped to nearest real cell positions",whole section,perm_nulls_c1_n7.csv (C1 re-run),155,0.9869336956383223,1.0160416664186265,1.0699366011811908,1.0376605742228329,0.0,1.0,0.9741935483870968
senepy_p95,N3_tile,N3-tile torus shift inside solid-tissue tiles,solid tiles,perm_nulls_c1_n7.csv (C1 re-run),142,0.8896898394750636,1.005769738533827,1.0774511789885823,0.9671930690538136,0.014084507042253521,0.9647887323943662,0.8943661971830986
senepy_p95,N4_tile,N4-tile rotation inside solid-tissue tiles,solid tiles,perm_nulls_c1_n7.csv (C1 re-run),142,0.8401716477536695,0.9760305129224129,1.0619517259319622,0.9367410089434793,0.007042253521126761,0.9859154929577465,0.9014084507042254
senepy_p99,N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_n7.csv (ORIGINAL),107,0.9903731995923306,1.0135950171443615,1.0276457239355037,1.0107678925350425,0.0,1.0,0.8037383177570093
senepy_p99,N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_n7.csv (ORIGINAL),107,0.9548840935894505,1.0083298395838394,1.073224938844982,1.033070351602643,0.0,1.0,0.8598130841121495
senepy_p99,N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1_n7.csv (C1 re-run),107,0.9934900146364302,1.0061787516978544,1.0258372619716094,1.0082673689150201,0.0,1.0,0.7850467289719626
senepy_p99,N3_occ,"N3-occ whole-section shift, <=5% of senders out of tissue",whole section,perm_nulls_c1_n7.csv (C1 re-run),107,0.06710606101962614,0.4454720988318439,0.7325892608926885,0.4412487333775198,0.18691588785046728,0.4392523364485981,0.4485981308411215
senepy_p99,N3_occ15,"N3-occ15 whole-section shift, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),107,0.8783802842022542,0.9870638607694469,1.0831507186069897,0.9466413212295418,0.0,0.9065420560747663,0.8691588785046729
