section,arm,ds_variant,A,B,circular,n,n_strata,n_A,n_B,n_both,jaccard,chance,ratio_marginal,exp_both_stratified,sd_both_stratified,ratio_stratified,z
7248_liver_sham_Male_26-U1,sham,prolif,tierA_score,deepscence_prolif,False,195443,100,9813,9813,677,0.03573,0.026,1.374,492.8,21.09,1.374,8.73
7248_liver_sham_Male_26-U1,sham,prolif,senepy_score,deepscence_prolif,False,163401,60,8193,8194,186,0.01148,0.02536,0.453,410.88,19.257,0.453,-11.68
7248_liver_sham_Male_26-U1,sham,prolif,cdkn1a_counts,deepscence_prolif,False,195443,100,4187,9813,209,0.01515,0.01524,0.994,210.18,13.931,0.994,-0.08
7248_liver_sham_Male_26-U1,sham,lmnb1,tierA_score,deepscence_lmnb1,False,195443,100,9813,9813,677,0.03573,0.026,1.374,492.8,21.09,1.374,8.73
7248_liver_sham_Male_26-U1,sham,lmnb1,senepy_score,deepscence_lmnb1,False,163401,60,8193,8194,186,0.01148,0.02536,0.453,410.88,19.257,0.453,-11.68
7248_liver_sham_Male_26-U1,sham,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,195443,100,4187,9813,209,0.01515,0.01524,0.994,210.18,13.931,0.994,-0.08
7248_liver_sham_Male_26-U1,sham,consensus,tierA_score,deepscence_consensus,True,195443,100,9813,9815,428,0.02229,0.02567,0.869,492.9,21.092,0.868,-3.08
7248_liver_sham_Male_26-U1,sham,consensus,senepy_score,deepscence_consensus,True,163401,60,8193,8195,1561,0.10528,0.02771,3.799,410.94,19.258,3.799,59.72
7248_liver_sham_Male_26-U1,sham,consensus,cdkn1a_counts,deepscence_consensus,True,195443,100,4187,9815,274,0.01996,0.01532,1.303,210.19,13.932,1.304,4.58
7248_liver_sham_Male_26-U1,sham,abs,tierA_score,deepscence_abs,False,195443,100,9813,9816,687,0.03627,0.02602,1.394,492.96,21.093,1.394,9.2
7248_liver_sham_Male_26-U1,sham,abs,senepy_score,deepscence_abs,False,163401,60,8193,8195,498,0.03134,0.02586,1.212,410.94,19.258,1.212,4.52
7248_liver_sham_Male_26-U1,sham,abs,cdkn1a_counts,deepscence_abs,False,195443,100,4187,9816,226,0.0164,0.01526,1.075,210.2,13.932,1.075,1.13
7250_liver_sham_Male_26-U1,sham,published,tierA_score,deepscence_published,False,218273,120,10961,10961,573,0.02684,0.02578,1.041,550.52,22.291,1.041,1.01
7250_liver_sham_Male_26-U1,sham,published,senepy_score,deepscence_published,False,183070,60,9181,9181,990,0.05699,0.0265,2.15,460.5,20.386,2.15,25.97
7250_liver_sham_Male_26-U1,sham,published,cdkn1a_counts,deepscence_published,True,218273,120,1514,10961,217,0.0177,0.0062,2.854,76.18,8.462,2.849,16.64
7250_liver_sham_Male_26-U1,sham,prolif,tierA_score,deepscence_prolif,False,218273,120,10961,10947,529,0.02474,0.02571,0.962,549.8,22.277,0.962,-0.93
7250_liver_sham_Male_26-U1,sham,prolif,senepy_score,deepscence_prolif,False,183070,60,9181,9172,273,0.0151,0.02544,0.594,460.03,20.376,0.593,-9.18
7250_liver_sham_Male_26-U1,sham,prolif,cdkn1a_counts,deepscence_prolif,False,218273,120,1514,10947,36,0.0029,0.00611,0.474,76.14,8.46,0.473,-4.74
7250_liver_sham_Male_26-U1,sham,lmnb1,tierA_score,deepscence_lmnb1,False,218273,120,10961,10947,529,0.02474,0.02571,0.962,549.8,22.277,0.962,-0.93
7250_liver_sham_Male_26-U1,sham,lmnb1,senepy_score,deepscence_lmnb1,False,183070,60,9181,9172,273,0.0151,0.02544,0.594,460.03,20.376,0.593,-9.18
7250_liver_sham_Male_26-U1,sham,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,218273,120,1514,10947,36,0.0029,0.00611,0.474,76.14,8.46,0.473,-4.74
7250_liver_sham_Male_26-U1,sham,consensus,tierA_score,deepscence_consensus,True,218273,120,10961,10961,573,0.02684,0.02578,1.041,550.52,22.291,1.041,1.01
7250_liver_sham_Male_26-U1,sham,consensus,senepy_score,deepscence_consensus,True,183070,60,9181,9181,990,0.05699,0.0265,2.15,460.5,20.386,2.15,25.97
7250_liver_sham_Male_26-U1,sham,consensus,cdkn1a_counts,deepscence_consensus,True,218273,120,1514,10961,217,0.0177,0.0062,2.854,76.18,8.462,2.849,16.64
7250_liver_sham_Male_26-U1,sham,abs,tierA_score,deepscence_abs,False,218273,120,10961,10957,539,0.02521,0.02574,0.98,550.32,22.287,0.979,-0.51
7250_liver_sham_Male_26-U1,sham,abs,senepy_score,deepscence_abs,False,183070,60,9181,9178,418,0.0233,0.02566,0.908,460.35,20.383,0.908,-2.08
7250_liver_sham_Male_26-U1,sham,abs,cdkn1a_counts,deepscence_abs,False,218273,120,1514,10957,103,0.00833,0.00614,1.355,76.15,8.461,1.353,3.17
7259_liver_sbr_Male_26-U1,SBR,published,tierA_score,deepscence_published,False,114721,90,5765,5768,354,0.03167,0.02593,1.221,289.92,16.177,1.221,3.96
7259_liver_sbr_Male_26-U1,SBR,published,senepy_score,deepscence_published,False,63357,50,3185,3185,61,0.00967,0.02538,0.381,160.12,12.022,0.381,-8.24
7259_liver_sbr_Male_26-U1,SBR,published,cdkn1a_counts,deepscence_published,True,114721,90,2218,5768,168,0.02149,0.01426,1.506,111.64,10.166,1.505,5.54
7259_liver_sbr_Male_26-U1,SBR,prolif,tierA_score,deepscence_prolif,False,114721,90,5765,5768,354,0.03167,0.02593,1.221,289.92,16.177,1.221,3.96
7259_liver_sbr_Male_26-U1,SBR,prolif,senepy_score,deepscence_prolif,False,63357,50,3185,3185,61,0.00967,0.02538,0.381,160.12,12.022,0.381,-8.24
7259_liver_sbr_Male_26-U1,SBR,prolif,cdkn1a_counts,deepscence_prolif,False,114721,90,2218,5768,168,0.02149,0.01426,1.506,111.64,10.166,1.505,5.54
7259_liver_sbr_Male_26-U1,SBR,lmnb1,tierA_score,deepscence_lmnb1,False,114721,90,5765,5768,354,0.03167,0.02593,1.221,289.92,16.177,1.221,3.96
7259_liver_sbr_Male_26-U1,SBR,lmnb1,senepy_score,deepscence_lmnb1,False,63357,50,3185,3185,61,0.00967,0.02538,0.381,160.12,12.022,0.381,-8.24
7259_liver_sbr_Male_26-U1,SBR,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,114721,90,2218,5768,168,0.02149,0.01426,1.506,111.64,10.166,1.505,5.54
7259_liver_sbr_Male_26-U1,SBR,consensus,tierA_score,deepscence_consensus,True,114721,90,5765,5767,288,0.02561,0.02577,0.994,289.87,16.176,0.994,-0.12
7259_liver_sbr_Male_26-U1,SBR,consensus,senepy_score,deepscence_consensus,True,63357,50,3185,3185,521,0.08908,0.02737,3.254,160.12,12.022,3.254,30.02
7259_liver_sbr_Male_26-U1,SBR,consensus,cdkn1a_counts,deepscence_consensus,True,114721,90,2218,5767,84,0.01063,0.01411,0.753,111.63,10.165,0.753,-2.72
7259_liver_sbr_Male_26-U1,SBR,abs,tierA_score,deepscence_abs,False,114721,90,5765,5765,411,0.03696,0.02605,1.419,289.77,16.173,1.418,7.5
7259_liver_sbr_Male_26-U1,SBR,abs,senepy_score,deepscence_abs,False,63357,50,3185,3182,170,0.02743,0.02581,1.063,159.97,12.017,1.063,0.83
7259_liver_sbr_Male_26-U1,SBR,abs,cdkn1a_counts,deepscence_abs,False,114721,90,2218,5765,154,0.01967,0.01424,1.382,111.59,10.164,1.38,4.17
7260_liver_sbr_Male_26-U1,SBR,published,tierA_score,deepscence_published,False,180669,120,9081,9081,565,0.03211,0.02594,1.238,456.49,20.298,1.238,5.35
7260_liver_sbr_Male_26-U1,SBR,published,senepy_score,deepscence_published,False,106373,70,5345,5349,136,0.01288,0.02546,0.506,268.82,15.577,0.506,-8.53
7260_liver_sbr_Male_26-U1,SBR,published,cdkn1a_counts,deepscence_published,True,180669,120,4191,9081,211,0.01615,0.01613,1.002,210.68,13.934,1.002,0.02
7260_liver_sbr_Male_26-U1,SBR,prolif,tierA_score,deepscence_prolif,False,180669,120,9081,9081,565,0.03211,0.02594,1.238,456.49,20.298,1.238,5.35
7260_liver_sbr_Male_26-U1,SBR,prolif,senepy_score,deepscence_prolif,False,106373,70,5345,5349,136,0.01288,0.02546,0.506,268.82,15.577,0.506,-8.53
7260_liver_sbr_Male_26-U1,SBR,prolif,cdkn1a_counts,deepscence_prolif,False,180669,120,4191,9081,211,0.01615,0.01613,1.002,210.68,13.934,1.002,0.02
7260_liver_sbr_Male_26-U1,SBR,lmnb1,tierA_score,deepscence_lmnb1,False,180669,120,9081,9081,565,0.03211,0.02594,1.238,456.49,20.298,1.238,5.35
7260_liver_sbr_Male_26-U1,SBR,lmnb1,senepy_score,deepscence_lmnb1,False,106373,70,5345,5349,136,0.01288,0.02546,0.506,268.82,15.577,0.506,-8.53
7260_liver_sbr_Male_26-U1,SBR,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,180669,120,4191,9081,211,0.01615,0.01613,1.002,210.68,13.934,1.002,0.02
7260_liver_sbr_Male_26-U1,SBR,consensus,tierA_score,deepscence_consensus,True,180669,120,9081,9082,405,0.02281,0.02571,0.887,456.54,20.299,0.887,-2.54
7260_liver_sbr_Male_26-U1,SBR,consensus,senepy_score,deepscence_consensus,True,106373,70,5345,5348,951,0.09762,0.02758,3.539,268.77,15.575,3.538,43.8
7260_liver_sbr_Male_26-U1,SBR,consensus,cdkn1a_counts,deepscence_consensus,True,180669,120,4191,9082,189,0.01445,0.0161,0.897,210.66,13.934,0.897,-1.55
7260_liver_sbr_Male_26-U1,SBR,abs,tierA_score,deepscence_abs,False,180669,120,9081,9082,569,0.03234,0.02595,1.246,456.54,20.299,1.246,5.54
7260_liver_sbr_Male_26-U1,SBR,abs,senepy_score,deepscence_abs,False,106373,70,5345,5349,307,0.02956,0.02588,1.142,268.82,15.577,1.142,2.45
7260_liver_sbr_Male_26-U1,SBR,abs,cdkn1a_counts,deepscence_abs,False,180669,120,4191,9082,184,0.01406,0.0161,0.873,210.67,13.934,0.873,-1.91
7352_liver_sham_Male_2-U1,sham,published,tierA_score,deepscence_published,False,122380,98,6157,6160,416,0.03496,0.02604,1.342,310.28,16.734,1.341,6.32
7352_liver_sham_Male_2-U1,sham,published,senepy_score,deepscence_published,False,103290,50,5187,5188,141,0.01378,0.02546,0.541,260.58,15.335,0.541,-7.8
7352_liver_sham_Male_2-U1,sham,published,cdkn1a_counts,deepscence_published,True,122380,98,2450,6160,119,0.01401,0.01452,0.965,123.53,10.683,0.963,-0.42
7352_liver_sham_Male_2-U1,sham,prolif,tierA_score,deepscence_prolif,False,122380,98,6157,6160,416,0.03496,0.02604,1.342,310.28,16.734,1.341,6.32
7352_liver_sham_Male_2-U1,sham,prolif,senepy_score,deepscence_prolif,False,103290,50,5187,5188,141,0.01378,0.02546,0.541,260.58,15.335,0.541,-7.8
7352_liver_sham_Male_2-U1,sham,prolif,cdkn1a_counts,deepscence_prolif,False,122380,98,2450,6160,119,0.01401,0.01452,0.965,123.53,10.683,0.963,-0.42
7352_liver_sham_Male_2-U1,sham,lmnb1,tierA_score,deepscence_lmnb1,False,122380,98,6157,6160,416,0.03496,0.02604,1.342,310.28,16.734,1.341,6.32
7352_liver_sham_Male_2-U1,sham,lmnb1,senepy_score,deepscence_lmnb1,False,103290,50,5187,5188,141,0.01378,0.02546,0.541,260.58,15.335,0.541,-7.8
7352_liver_sham_Male_2-U1,sham,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,122380,98,2450,6160,119,0.01401,0.01452,0.965,123.53,10.683,0.963,-0.42
7352_liver_sham_Male_2-U1,sham,consensus,tierA_score,deepscence_consensus,True,122380,98,6157,6161,254,0.02105,0.02569,0.819,310.33,16.735,0.818,-3.37
7352_liver_sham_Male_2-U1,sham,consensus,senepy_score,deepscence_consensus,True,103290,50,5187,5189,699,0.07223,0.02693,2.682,260.63,15.337,2.682,28.58
7352_liver_sham_Male_2-U1,sham,consensus,cdkn1a_counts,deepscence_consensus,True,122380,98,2450,6161,114,0.01342,0.01452,0.924,123.57,10.685,0.923,-0.9
7352_liver_sham_Male_2-U1,sham,abs,tierA_score,deepscence_abs,False,122380,98,6157,6160,412,0.03461,0.02603,1.329,310.28,16.734,1.328,6.08
7352_liver_sham_Male_2-U1,sham,abs,senepy_score,deepscence_abs,False,103290,50,5187,5189,239,0.02358,0.02571,0.917,260.63,15.337,0.917,-1.41
7352_liver_sham_Male_2-U1,sham,abs,cdkn1a_counts,deepscence_abs,False,122380,98,2450,6160,122,0.01437,0.01453,0.989,123.57,10.685,0.987,-0.15
7361_liver_sbr_Male_2-U1,SBR,published,tierA_score,deepscence_published,False,161579,100,8102,8104,527,0.03361,0.02592,1.297,407.36,19.174,1.294,6.24
7361_liver_sbr_Male_2-U1,SBR,published,senepy_score,deepscence_published,False,136384,60,6824,6829,188,0.01396,0.02538,0.55,342.68,17.586,0.549,-8.8
7361_liver_sbr_Male_2-U1,SBR,published,cdkn1a_counts,deepscence_published,True,161579,100,3575,8104,274,0.02402,0.01572,1.528,179.66,12.878,1.525,7.33
7361_liver_sbr_Male_2-U1,SBR,prolif,tierA_score,deepscence_prolif,False,161579,100,8102,8104,527,0.03361,0.02592,1.297,407.36,19.174,1.294,6.24
7361_liver_sbr_Male_2-U1,SBR,prolif,senepy_score,deepscence_prolif,False,136384,60,6824,6829,188,0.01396,0.02538,0.55,342.68,17.586,0.549,-8.8
7361_liver_sbr_Male_2-U1,SBR,prolif,cdkn1a_counts,deepscence_prolif,False,161579,100,3575,8104,274,0.02402,0.01572,1.528,179.66,12.878,1.525,7.33
7361_liver_sbr_Male_2-U1,SBR,lmnb1,tierA_score,deepscence_lmnb1,False,161579,100,8102,8104,527,0.03361,0.02592,1.297,407.36,19.174,1.294,6.24
7361_liver_sbr_Male_2-U1,SBR,lmnb1,senepy_score,deepscence_lmnb1,False,136384,60,6824,6829,188,0.01396,0.02538,0.55,342.68,17.586,0.549,-8.8
7361_liver_sbr_Male_2-U1,SBR,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,161579,100,3575,8104,274,0.02402,0.01572,1.528,179.66,12.878,1.525,7.33
7361_liver_sbr_Male_2-U1,SBR,consensus,tierA_score,deepscence_consensus,True,161579,100,8102,8102,350,0.02208,0.02562,0.862,407.26,19.172,0.859,-2.99
7361_liver_sbr_Male_2-U1,SBR,consensus,senepy_score,deepscence_consensus,True,136384,60,6824,6827,631,0.04846,0.02624,1.847,342.58,17.584,1.842,16.4
7361_liver_sbr_Male_2-U1,SBR,consensus,cdkn1a_counts,deepscence_consensus,True,161579,100,3575,8102,22,0.00189,0.01538,0.123,179.63,12.877,0.122,-12.24
7361_liver_sbr_Male_2-U1,SBR,abs,tierA_score,deepscence_abs,False,161579,100,8102,8104,569,0.03639,0.02599,1.4,407.36,19.174,1.397,8.43
7361_liver_sbr_Male_2-U1,SBR,abs,senepy_score,deepscence_abs,False,136384,60,6824,6829,239,0.01782,0.02547,0.699,342.68,17.586,0.697,-5.9
7361_liver_sbr_Male_2-U1,SBR,abs,cdkn1a_counts,deepscence_abs,False,161579,100,3575,8104,208,0.01813,0.01563,1.16,179.66,12.878,1.158,2.2
7435_liver_sham_Male_10-U1,sham,published,tierA_score,deepscence_published,False,139768,100,7025,7024,384,0.0281,0.02584,1.088,353.81,17.869,1.085,1.69
7435_liver_sham_Male_10-U1,sham,published,senepy_score,deepscence_published,False,119459,60,5985,5986,160,0.01355,0.02539,0.534,300.58,16.471,0.532,-8.53
7435_liver_sham_Male_10-U1,sham,published,cdkn1a_counts,deepscence_published,True,139768,100,2747,7024,135,0.01401,0.01433,0.978,138.06,11.298,0.978,-0.27
7435_liver_sham_Male_10-U1,sham,prolif,tierA_score,deepscence_prolif,False,139768,100,7025,7024,384,0.0281,0.02584,1.088,353.81,17.869,1.085,1.69
7435_liver_sham_Male_10-U1,sham,prolif,senepy_score,deepscence_prolif,False,119459,60,5985,5986,160,0.01355,0.02539,0.534,300.58,16.471,0.532,-8.53
7435_liver_sham_Male_10-U1,sham,prolif,cdkn1a_counts,deepscence_prolif,False,139768,100,2747,7024,135,0.01401,0.01433,0.978,138.06,11.298,0.978,-0.27
7435_liver_sham_Male_10-U1,sham,lmnb1,tierA_score,deepscence_lmnb1,False,139768,100,7025,7024,384,0.0281,0.02584,1.088,353.81,17.869,1.085,1.69
7435_liver_sham_Male_10-U1,sham,lmnb1,senepy_score,deepscence_lmnb1,False,119459,60,5985,5986,160,0.01355,0.02539,0.534,300.58,16.471,0.532,-8.53
7435_liver_sham_Male_10-U1,sham,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,139768,100,2747,7024,135,0.01401,0.01433,0.978,138.06,11.298,0.978,-0.27
7435_liver_sham_Male_10-U1,sham,consensus,tierA_score,deepscence_consensus,True,139768,100,7025,7025,312,0.02271,0.0257,0.884,353.86,17.87,0.882,-2.34
7435_liver_sham_Male_10-U1,sham,consensus,senepy_score,deepscence_consensus,True,119459,60,5985,5987,715,0.06352,0.02665,2.384,300.63,16.472,2.378,25.16
7435_liver_sham_Male_10-U1,sham,consensus,cdkn1a_counts,deepscence_consensus,True,139768,100,2747,7025,180,0.01877,0.01439,1.304,138.07,11.298,1.304,3.71
7435_liver_sham_Male_10-U1,sham,abs,tierA_score,deepscence_abs,False,139768,100,7025,7024,387,0.02833,0.02584,1.096,353.81,17.869,1.094,1.86
7435_liver_sham_Male_10-U1,sham,abs,senepy_score,deepscence_abs,False,119459,60,5985,5987,247,0.02107,0.02558,0.823,300.63,16.472,0.822,-3.26
7435_liver_sham_Male_10-U1,sham,abs,cdkn1a_counts,deepscence_abs,False,139768,100,2747,7024,173,0.01802,0.01438,1.253,138.06,11.298,1.253,3.09
7448_liver_sbr_Male_10-U1,SBR,published,tierA_score,deepscence_published,False,162303,110,8133,8136,539,0.03427,0.02592,1.322,408.7,19.207,1.319,6.78
7448_liver_sbr_Male_10-U1,SBR,published,senepy_score,deepscence_published,False,87313,60,4366,4371,73,0.00843,0.02523,0.334,219.57,14.078,0.332,-10.41
7448_liver_sbr_Male_10-U1,SBR,published,cdkn1a_counts,deepscence_published,True,162303,110,3739,8136,201,0.01722,0.01606,1.072,187.68,13.148,1.071,1.01
7448_liver_sbr_Male_10-U1,SBR,prolif,tierA_score,deepscence_prolif,False,162303,110,8133,8136,539,0.03427,0.02592,1.322,408.7,19.207,1.319,6.78
7448_liver_sbr_Male_10-U1,SBR,prolif,senepy_score,deepscence_prolif,False,87313,60,4366,4371,73,0.00843,0.02523,0.334,219.57,14.078,0.332,-10.41
7448_liver_sbr_Male_10-U1,SBR,prolif,cdkn1a_counts,deepscence_prolif,False,162303,110,3739,8136,201,0.01722,0.01606,1.072,187.68,13.148,1.071,1.01
7448_liver_sbr_Male_10-U1,SBR,lmnb1,tierA_score,deepscence_lmnb1,False,162303,110,8133,8136,539,0.03427,0.02592,1.322,408.7,19.207,1.319,6.78
7448_liver_sbr_Male_10-U1,SBR,lmnb1,senepy_score,deepscence_lmnb1,False,87313,60,4366,4371,73,0.00843,0.02523,0.334,219.57,14.078,0.332,-10.41
7448_liver_sbr_Male_10-U1,SBR,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,162303,110,3739,8136,201,0.01722,0.01606,1.072,187.68,13.148,1.071,1.01
7448_liver_sbr_Male_10-U1,SBR,consensus,tierA_score,deepscence_consensus,True,162303,110,8133,8136,358,0.0225,0.02562,0.878,408.7,19.207,0.876,-2.64
7448_liver_sbr_Male_10-U1,SBR,consensus,senepy_score,deepscence_consensus,True,87313,60,4366,4371,775,0.09734,0.02745,3.546,219.57,14.078,3.53,39.45
7448_liver_sbr_Male_10-U1,SBR,consensus,cdkn1a_counts,deepscence_consensus,True,162303,110,3739,8136,137,0.01167,0.01597,0.731,187.69,13.148,0.73,-3.86
7448_liver_sbr_Male_10-U1,SBR,abs,tierA_score,deepscence_abs,False,162303,110,8133,8134,550,0.03499,0.02593,1.349,408.6,19.205,1.346,7.36
7448_liver_sbr_Male_10-U1,SBR,abs,senepy_score,deepscence_abs,False,87313,60,4366,4371,221,0.02595,0.02567,1.011,219.57,14.078,1.007,0.1
7448_liver_sbr_Male_10-U1,SBR,abs,cdkn1a_counts,deepscence_abs,False,162303,110,3739,8134,174,0.01487,0.01602,0.929,187.66,13.148,0.927,-1.04
7450_liver_sbr_Male_10-U1,SBR,published,tierA_score,deepscence_published,False,81428,90,4084,4084,261,0.03301,0.02591,1.274,205.77,13.629,1.268,4.05
7450_liver_sbr_Male_10-U1,SBR,published,senepy_score,deepscence_published,False,59284,50,2983,2983,75,0.01273,0.02548,0.5,150.14,11.641,0.5,-6.45
7450_liver_sbr_Male_10-U1,SBR,published,cdkn1a_counts,deepscence_published,True,81428,90,1813,4084,123,0.0213,0.01575,1.353,91.41,9.175,1.346,3.44
7450_liver_sbr_Male_10-U1,SBR,prolif,tierA_score,deepscence_prolif,False,81428,90,4084,4084,261,0.03301,0.02591,1.274,205.77,13.629,1.268,4.05
7450_liver_sbr_Male_10-U1,SBR,prolif,senepy_score,deepscence_prolif,False,59284,50,2983,2983,75,0.01273,0.02548,0.5,150.14,11.641,0.5,-6.45
7450_liver_sbr_Male_10-U1,SBR,prolif,cdkn1a_counts,deepscence_prolif,False,81428,90,1813,4084,123,0.0213,0.01575,1.353,91.41,9.175,1.346,3.44
7450_liver_sbr_Male_10-U1,SBR,lmnb1,tierA_score,deepscence_lmnb1,False,81428,90,4084,4084,261,0.03301,0.02591,1.274,205.77,13.629,1.268,4.05
7450_liver_sbr_Male_10-U1,SBR,lmnb1,senepy_score,deepscence_lmnb1,False,59284,50,2983,2983,75,0.01273,0.02548,0.5,150.14,11.641,0.5,-6.45
7450_liver_sbr_Male_10-U1,SBR,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,81428,90,1813,4084,123,0.0213,0.01575,1.353,91.41,9.175,1.346,3.44
7450_liver_sbr_Male_10-U1,SBR,consensus,tierA_score,deepscence_consensus,True,81428,90,4084,4085,167,0.02087,0.0256,0.815,205.82,13.631,0.811,-2.85
