section,arm,band,call,celltype,module,n,lam,beta_naive,sd_y,sf_tech,sf_cum_tech,sf_seg,sf_cum_seg,sf_dens,sf_cum_dens,sf_comp,sf_cum_comp,sf_anat,sf_cum_anat
7260_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,interferon_response,27623,6.999999999999999,-0.0006501180855139042,0.02626591385827709,1.640137784637417,1.640137784637417,1.0591361923888511,1.861349481343473,4.005711053213429,3.6125765646761785,1.4605332887243407,3.304941153120702,2.8789556950866784,3.6754681133532983
7260_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,oxidative_stress,27623,32.28839359053406,-0.013068107800524526,0.054426852910392655,0.5075243616746199,0.5075243616746199,1.0244958457397877,0.5170897069892044,0.44593670158965054,0.3718075928490176,0.6632193251131607,0.34941668267858444,0.7171093466496367,0.2912062470537278
7260_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,secondary_senescence,27623,49.99999999999999,0.004650496899143205,0.046461953637717615,0.8472499484897391,0.8472499484897391,1.0117895489402817,0.8286620037043335,-0.31275662819607714,-0.03728546668887331,0.027632723927640074,-0.008865355483451074,0.16170252631073587,-0.3605418164804454
7260_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,27623,12.988582432216452,0.00247769583563035,0.03212786472842139,0.7891731474242217,0.7891731474242217,1.011553436176846,0.7730081669647142,-0.46164474284694795,-0.042226542536091725,0.10325752624140414,0.003811338571568062,-0.11863609231829542,-0.3044329118892716
7260_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,downstream_arrest,5495,6.999999999999999,0.005743947084930496,0.026967486220691117,1.1515227971246889,1.1515227971246889,0.9980373342162872,1.150204695576649,1.2749867814042484,1.4117645596136144,1.2249663143091984,1.5380976719452877,1.176337968891598,1.5664146028976962
7260_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,emt_ecm,5495,49.99999999999999,0.029341487757353707,0.04981778523261733,0.7109042934019165,0.7109042934019165,0.9730305350716061,0.6821970360021976,0.26287447654782914,0.2067207858619717,0.2750443697627679,0.1359828060273595,0.6601831739677384,0.09512623308819566
7260_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,il6_jak_stat3,5495,24.171674864716444,0.009352396540748398,0.043134599412310286,0.3966542766076524,0.3966542766076524,0.9550512112458264,0.33592328313187986,-0.19940175427944515,-0.23484292102130627,-0.25936133711166204,-0.2333769502540991,0.5850219414527866,-0.26692189828605367
7260_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,interferon_response,5495,17.26040983180256,0.004132359108685444,0.04093178738505927,0.011801210693511335,0.011801210693511335,0.9058632860445749,-0.11586331229023179,-0.9991230494898903,-1.020082718651403,-0.8708538156862174,-0.9395888988273339,0.234199865911987,-1.0146560723801443
7260_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,oxidative_stress,5495,49.99999999999999,-0.035020331655789855,0.06602997331867708,0.39702770354684125,0.39702770354684125,0.9999778006726415,0.39890849316735577,0.552984414867093,0.3695241621703208,0.6094779622033479,0.33724568552898115,0.6543015253632238,0.3060408775722176
7260_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,secondary_senescence,5495,49.99999999999999,0.017873500024390705,0.05149285480338933,0.6233095598990501,0.6233095598990501,0.9743250617915779,0.59319000778422,-0.1209029009185676,-0.15263268963391297,-0.0007728087020947889,-0.14694527260057563,0.7807895571025851,-0.16808968629158347
