section,arm,week,call,n,n_senders,prevalence,median_nn_um,d_p50,d_p75,d_p90,d_p95,d_p99,d_max,frac_gt_80,frac_gt_150,frac_gt_300
7239_liver_sbr_Male_52-U1,sbr,52,senepy_p99,74925,459,0.005504125095932464,8.501764233534523,105.71179834667562,155.68206638959984,210.50681546729462,252.86041020145072,327.3204793156971,718.2813722173883,0.6586986986986987,0.2724457791124458,0.01901901901901902
7250_liver_sham_Male_26-U1,sham,26,tierA_p90,196497,21776,0.09191870158924463,9.672114515843884,21.87139325653067,31.183638174968404,40.69853403337526,47.04577280351297,60.434426871460595,251.39696512994666,0.0007582812969154745,3.053481732545535e-05,0.0
7250_liver_sham_Male_26-U1,sham,26,tierA_p95,207383,10890,0.04596779299719297,9.672114515843884,30.979744219361287,44.39385854566305,58.33658164293679,67.44878522450205,86.58899779283074,251.39696512994666,0.017658149414368583,6.750794423843807e-05,0.0
7250_liver_sham_Male_26-U1,sham,26,tierA_p99,216091,2182,0.009210443004579894,9.672114515843884,70.84750191454617,102.96085849448977,135.18176288512953,154.7830778524944,191.9177723504475,596.442013321227,0.418712486868958,0.06000712662720798,0.0004257465604768361
7250_liver_sham_Male_26-U1,sham,26,cdkn1a_pos,216777,1496,0.006314767522846711,9.672114515843884,84.78199308374157,122.15650310792657,160.27326001140267,185.95024853459205,247.20454032668832,543.9187147992702,0.5375893199001739,0.13065039187736707,0.0020758659820921963
7250_liver_sham_Male_26-U1,sham,26,senepy_p95,209118,9155,0.0386441822671535,9.672114515843884,36.086954481144275,53.20261489184702,72.9628176903239,86.78838878171712,116.92701815378454,481.14859124793986,0.0705152115073786,0.001338956952533976,0.00041125106399257834
7250_liver_sham_Male_26-U1,sham,26,senepy_p99,216440,1833,0.007737278656001351,9.672114515843884,81.03122841886825,121.95217888777651,168.66553027009428,202.30247148895077,285.99879487284323,519.9600376291451,0.5082840510072075,0.14620218074293106,0.007627980040657919
7435_liver_sham_Male_10-U1,sham,10,tierA_p90,125853,13915,0.08079875506625324,10.611853078719262,25.700056886610014,36.6069281939159,47.55994648068438,54.56323875437383,68.8405553690069,479.8981775087077,0.002955829420037663,0.00023042756231476404,5.562044607597753e-05
7435_liver_sham_Male_10-U1,sham,10,tierA_p95,132808,6960,0.040413894018046896,10.611853078719262,36.41904636600986,52.02091464322457,67.51706668230024,77.36423909407732,97.92428650016458,630.1605698855598,0.04145834588277814,0.0007303776880910788,8.282633576290585e-05
7435_liver_sham_Male_10-U1,sham,10,tierA_p99,138371,1397,0.008111811773449929,10.611853078719262,83.02211798296607,120.45869923838487,158.93649893376792,183.63958241581804,236.15400645664727,637.2225459000128,0.524531874453462,0.1257705733137724,0.0009467301674483816
7435_liver_sham_Male_10-U1,sham,10,cdkn1a_pos,136943,2825,0.016403627959911276,10.611853078719262,58.20106980964419,83.65954599389156,110.05983707850552,127.79589624728104,167.5649585512012,732.2870928303703,0.2795688717203508,0.020147068488349167,0.0002993946386452758
7435_liver_sham_Male_10-U1,sham,10,senepy_p95,133792,5976,0.03470020555342647,10.611853078719262,42.40019122360752,62.91017284259819,85.46680981802741,101.61540412919554,144.01175620409015,645.917306914003,0.12552320019134178,0.00833383161922985,0.00034381726859602965
7435_liver_sham_Male_10-U1,sham,10,senepy_p99,138569,1199,0.0069621061677641125,10.611853078719262,95.17683049278637,142.97754328300496,197.40923721542845,238.60654389283573,357.6688565849471,709.2784130160242,0.6019383844871508,0.2230729816914317,0.02024983943017558
