section,arm,gene,role,cell_type,n,pct_pos,mean_counts,pct_pos_senders,pct_pos_nonsenders,enrich,on_panel
7260_liver_sbr_Male_26-U1,SBR,Il6,ligand,LSECs,21797,0.087,0.0011,0.229,0.081,2.816,True
7260_liver_sbr_Male_26-U1,SBR,Il6,ligand,Proliferating,3560,0.056,0.0006,0.062,0.052,1.199,True
7260_liver_sbr_Male_26-U1,SBR,Il6,ligand,T/NK cells,5654,0.071,0.0007,0.0,0.073,0.0,True
7260_liver_sbr_Male_26-U1,SBR,Il6,ligand,vSMCs,5263,0.152,0.0015,0.935,0.136,6.884,True
7260_liver_sbr_Male_26-U1,SBR,Il6ra,receptor,B-cells,1920,7.292,0.0854,22.642,6.856,3.302,True
7260_liver_sbr_Male_26-U1,SBR,Il6ra,receptor,Biliary/ductular,29122,3.588,0.0378,5.492,3.523,1.559,True
7260_liver_sbr_Male_26-U1,SBR,Il6ra,receptor,Central venous LSECs,1833,3.055,0.0333,8.333,2.913,2.861,True
7260_liver_sbr_Male_26-U1,SBR,Il6ra,receptor,DC,5798,14.591,0.1702,12.016,14.711,0.817,True
7260_liver_sbr_Male_26-U1,SBR,Il6ra,receptor,Hepatic stellate cells,30553,5.083,0.0556,7.588,5.021,1.511,True
7260_liver_sbr_Male_26-U1,SBR,Il6ra,receptor,Hepatocytes,56062,25.752,0.372,36.464,24.5,1.488,True
7260_liver_sbr_Male_26-U1,SBR,Il6ra,receptor,Inflammatory macs,14588,18.378,0.2159,22.741,18.177,1.251,True
7260_liver_sbr_Male_26-U1,SBR,Il6ra,receptor,Kupffer cells,4519,21.177,0.2642,28.205,20.86,1.352,True
7260_liver_sbr_Male_26-U1,SBR,Il6ra,receptor,LSECs,21797,3.712,0.0415,6.407,3.599,1.78,True
7260_liver_sbr_Male_26-U1,SBR,Il6ra,receptor,Proliferating,3560,21.124,0.2708,26.807,16.383,1.636,True
7260_liver_sbr_Male_26-U1,SBR,Il6ra,receptor,T/NK cells,5654,5.925,0.0663,5.143,5.95,0.864,True
7260_liver_sbr_Male_26-U1,SBR,Il6ra,receptor,vSMCs,5263,5.453,0.0595,5.607,5.45,1.029,True
7260_liver_sbr_Male_26-U1,SBR,Il6st,receptor,B-cells,1920,34.74,0.5682,52.83,34.226,1.544,True
7260_liver_sbr_Male_26-U1,SBR,Il6st,receptor,Biliary/ductular,29122,38.758,0.545,45.492,38.527,1.181,True
7260_liver_sbr_Male_26-U1,SBR,Il6st,receptor,Central venous LSECs,1833,80.415,2.6077,87.5,80.224,1.091,True
7260_liver_sbr_Male_26-U1,SBR,Il6st,receptor,DC,5798,35.978,0.5488,38.372,35.866,1.07,True
7260_liver_sbr_Male_26-U1,SBR,Il6st,receptor,Hepatic stellate cells,30553,52.005,0.925,59.892,51.809,1.156,True
7260_liver_sbr_Male_26-U1,SBR,Il6st,receptor,Hepatocytes,56062,52.149,1.0372,67.695,50.333,1.345,True
7260_liver_sbr_Male_26-U1,SBR,Il6st,receptor,Inflammatory macs,14588,30.573,0.4358,39.252,30.174,1.301,True
7260_liver_sbr_Male_26-U1,SBR,Il6st,receptor,Kupffer cells,4519,31.423,0.4855,44.615,30.828,1.447,True
7260_liver_sbr_Male_26-U1,SBR,Il6st,receptor,LSECs,21797,74.763,1.9448,80.206,74.535,1.076,True
7260_liver_sbr_Male_26-U1,SBR,Il6st,receptor,Proliferating,3560,62.528,1.4343,70.784,55.641,1.272,True
7260_liver_sbr_Male_26-U1,SBR,Il6st,receptor,T/NK cells,5654,30.333,0.4664,40.571,30.005,1.352,True
7260_liver_sbr_Male_26-U1,SBR,Il6st,receptor,vSMCs,5263,47.938,0.9096,66.355,47.556,1.395,True
7260_liver_sbr_Male_26-U1,SBR,Mmp3,ligand,B-cells,1920,0.26,0.0026,0.0,0.268,0.0,True
7260_liver_sbr_Male_26-U1,SBR,Mmp3,ligand,Biliary/ductular,29122,0.113,0.0012,0.104,0.114,0.912,True
7260_liver_sbr_Male_26-U1,SBR,Mmp3,ligand,Central venous LSECs,1833,0.164,0.0044,0.0,0.168,0.0,True
7260_liver_sbr_Male_26-U1,SBR,Mmp3,ligand,DC,5798,1.035,0.0124,0.775,1.047,0.74,True
7260_liver_sbr_Male_26-U1,SBR,Mmp3,ligand,Hepatic stellate cells,30553,0.223,0.0028,0.813,0.208,3.91,True
7260_liver_sbr_Male_26-U1,SBR,Mmp3,ligand,Hepatocytes,56062,0.071,0.0007,0.119,0.066,1.815,True
7260_liver_sbr_Male_26-U1,SBR,Mmp3,ligand,Inflammatory macs,14588,0.288,0.0034,0.156,0.294,0.53,True
7260_liver_sbr_Male_26-U1,SBR,Mmp3,ligand,Kupffer cells,4519,0.022,0.0002,0.0,0.023,0.0,True
7260_liver_sbr_Male_26-U1,SBR,Mmp3,ligand,LSECs,21797,0.032,0.0003,0.114,0.029,3.99,True
7260_liver_sbr_Male_26-U1,SBR,Mmp3,ligand,Proliferating,3560,0.112,0.0011,0.124,0.103,1.199,True
7260_liver_sbr_Male_26-U1,SBR,Mmp3,ligand,T/NK cells,5654,0.584,0.0064,0.0,0.602,0.0,True
7260_liver_sbr_Male_26-U1,SBR,Mmp3,ligand,vSMCs,5263,2.793,0.0403,2.804,2.793,1.004,True
7260_liver_sbr_Male_26-U1,SBR,Sdc1,receptor,B-cells,1920,15.208,0.2083,26.415,14.89,1.774,True
7260_liver_sbr_Male_26-U1,SBR,Sdc1,receptor,Biliary/ductular,29122,21.194,0.269,25.907,21.032,1.232,True
7260_liver_sbr_Male_26-U1,SBR,Sdc1,receptor,Central venous LSECs,1833,5.183,0.0655,10.417,5.042,2.066,True
7260_liver_sbr_Male_26-U1,SBR,Sdc1,receptor,DC,5798,12.849,0.1673,20.155,12.509,1.611,True
7260_liver_sbr_Male_26-U1,SBR,Sdc1,receptor,Hepatic stellate cells,30553,16.948,0.2283,26.423,16.713,1.581,True
7260_liver_sbr_Male_26-U1,SBR,Sdc1,receptor,Hepatocytes,56062,65.238,1.8325,83.447,63.111,1.322,True
7260_liver_sbr_Male_26-U1,SBR,Sdc1,receptor,Inflammatory macs,14588,15.609,0.2133,21.34,15.345,1.391,True
7260_liver_sbr_Male_26-U1,SBR,Sdc1,receptor,Kupffer cells,4519,19.296,0.2912,22.564,19.149,1.178,True
7260_liver_sbr_Male_26-U1,SBR,Sdc1,receptor,LSECs,21797,18.714,0.2723,25.286,18.439,1.371,True
7260_liver_sbr_Male_26-U1,SBR,Sdc1,receptor,Proliferating,3560,64.972,1.7537,74.305,57.187,1.299,True
7260_liver_sbr_Male_26-U1,SBR,Sdc1,receptor,T/NK cells,5654,15.264,0.2053,28.0,14.857,1.885,True
7260_liver_sbr_Male_26-U1,SBR,Sdc1,receptor,vSMCs,5263,19.913,0.2863,26.168,19.783,1.323,True
7260_liver_sbr_Male_26-U1,SBR,Tgfb1,ligand,B-cells,1920,25.99,0.3318,43.396,25.495,1.702,True
7260_liver_sbr_Male_26-U1,SBR,Tgfb1,ligand,Biliary/ductular,29122,7.098,0.0782,11.917,6.933,1.719,True
7260_liver_sbr_Male_26-U1,SBR,Tgfb1,ligand,Central venous LSECs,1833,22.64,0.2782,18.75,22.745,0.824,True
7260_liver_sbr_Male_26-U1,SBR,Tgfb1,ligand,DC,5798,29.044,0.3788,33.333,28.845,1.156,True
7260_liver_sbr_Male_26-U1,SBR,Tgfb1,ligand,Hepatic stellate cells,30553,13.763,0.1608,19.241,13.627,1.412,True
7260_liver_sbr_Male_26-U1,SBR,Tgfb1,ligand,Hepatocytes,56062,6.627,0.0764,9.922,6.242,1.59,True
7260_liver_sbr_Male_26-U1,SBR,Tgfb1,ligand,Inflammatory macs,14588,31.485,0.4264,38.318,31.17,1.229,True
7260_liver_sbr_Male_26-U1,SBR,Tgfb1,ligand,Kupffer cells,4519,28.723,0.395,35.897,28.4,1.264,True
7260_liver_sbr_Male_26-U1,SBR,Tgfb1,ligand,LSECs,21797,25.022,0.3184,29.405,24.839,1.184,True
7260_liver_sbr_Male_26-U1,SBR,Tgfb1,ligand,Proliferating,3560,13.596,0.1677,14.824,12.571,1.179,True
7260_liver_sbr_Male_26-U1,SBR,Tgfb1,ligand,T/NK cells,5654,24.16,0.3031,29.143,24.001,1.214,True
7260_liver_sbr_Male_26-U1,SBR,Tgfb1,ligand,vSMCs,5263,14.763,0.1845,14.953,14.76,1.013,True
7260_liver_sbr_Male_26-U1,SBR,Tgfbr1,receptor,B-cells,1920,11.719,0.1443,13.208,11.676,1.131,True
7260_liver_sbr_Male_26-U1,SBR,Tgfbr1,receptor,Biliary/ductular,29122,11.52,0.1285,17.409,11.319,1.538,True
7260_liver_sbr_Male_26-U1,SBR,Tgfbr1,receptor,Central venous LSECs,1833,7.42,0.0857,12.5,7.283,1.716,True
7260_liver_sbr_Male_26-U1,SBR,Tgfbr1,receptor,DC,5798,25.785,0.3477,36.047,25.307,1.424,True
7260_liver_sbr_Male_26-U1,SBR,Tgfbr1,receptor,Hepatic stellate cells,30553,16.224,0.1924,21.409,16.096,1.33,True
7260_liver_sbr_Male_26-U1,SBR,Tgfbr1,receptor,Hepatocytes,56062,15.363,0.1863,24.77,14.264,1.737,True
7260_liver_sbr_Male_26-U1,SBR,Tgfbr1,receptor,Inflammatory macs,14588,45.702,0.7228,49.065,45.547,1.077,True
7260_liver_sbr_Male_26-U1,SBR,Tgfbr1,receptor,Kupffer cells,4519,18.433,0.2286,23.077,18.224,1.266,True
7260_liver_sbr_Male_26-U1,SBR,Tgfbr1,receptor,LSECs,21797,6.455,0.0715,10.641,6.28,1.694,True
7260_liver_sbr_Male_26-U1,SBR,Tgfbr1,receptor,Proliferating,3560,25.0,0.3239,31.501,19.578,1.609,True
7260_liver_sbr_Male_26-U1,SBR,Tgfbr1,receptor,T/NK cells,5654,14.503,0.1779,25.714,14.145,1.818,True
7260_liver_sbr_Male_26-U1,SBR,Tgfbr1,receptor,vSMCs,5263,10.564,0.1241,14.019,10.493,1.336,True
7260_liver_sbr_Male_26-U1,SBR,Tgfbr2,receptor,B-cells,1920,31.042,0.4156,39.623,30.798,1.287,True
