held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,basis,design,n_sections
7352_liver_sham_Male_2-U1,12.818224546846722,0.029043304497839952,3935,-5488.664340370848,-1.394832106828678,0.9391074545899604,0.952834355625255,-5490.927953703108,-1.3954073579931658,2.26361333226032,Biliary/ductular,il6_jak_stat3,sup,ctrl,6
7435_liver_sham_Male_10-U1,12.18803582947357,0.026490217311031544,3839,-5333.621491710672,-1.3893257337094742,0.939564364688418,0.9424904155281207,-5341.675602747751,-1.3914237048053533,8.054111037079565,Biliary/ductular,il6_jak_stat3,sup,ctrl,6
7259_liver_sbr_Male_26-U1,11.019082036984365,0.06814444017129916,32233,-45803.399419019355,-1.4210095063760542,0.9953563352737401,1.0041123108203618,-45736.645742634806,-1.4189385332620237,-66.75367638454918,Biliary/ductular,il6_jak_stat3,near,naive,6
7260_liver_sbr_Male_26-U1,8.563960425689007,0.03335730758220082,27995,-39662.415927560076,-1.416767848814434,0.9988872900308662,0.9956627040206018,-39723.1842384825,-1.4189385332553135,60.76831092242355,Biliary/ductular,il6_jak_stat3,near,naive,6
7001_liver_sham_Male_52-U1,7.742591489922676,0.04036405000856262,22161,-31400.55456003746,-1.4169285934767142,0.9983707434669058,0.9959852471777231,-31445.096835305525,-1.4189385332478464,44.54227526806426,Biliary/ductular,il6_jak_stat3,near,naive,6
7248_liver_sham_Male_26-U1,9.472463873139185,0.04999318930169585,8094,-11488.731611102121,-1.4194133445888462,0.9975006810234445,1.0009442374806972,-11484.888488007535,-1.4189385332354256,-3.84312309458619,Biliary/ductular,il6_jak_stat3,near,naive,6
7352_liver_sham_Male_2-U1,9.006764443646388,0.0477800860067069,3935,-5581.985744826282,-1.4185478385835533,0.9977170633811914,0.9992178339635277,-5583.523128270964,-1.4189385332327735,1.5373834446818364,Biliary/ductular,il6_jak_stat3,near,naive,6
7435_liver_sham_Male_10-U1,9.472463873139185,0.04506297995220756,3839,-5434.1166084828155,-1.4155031540721061,0.9979693278378267,0.9931409768627805,-5447.305029080398,-1.4189385332327162,13.18842059758208,Biliary/ductular,il6_jak_stat3,near,naive,6
7259_liver_sbr_Male_26-U1,12.818224546846722,0.08988407947110975,32233,-45840.434404043895,-1.4221584836671701,0.991920852257631,1.0063558023234682,-45736.645742634806,-1.4189385332620237,-103.7886614090894,Biliary/ductular,il6_jak_stat3,sup,naive,6
7260_liver_sbr_Male_26-U1,17.345738419684505,0.048632511221538964,27995,-39622.669123672895,-1.415348066571634,0.9976348788522866,0.9928330454695361,-39723.1842384825,-1.4189385332553135,100.51511480960471,Biliary/ductular,il6_jak_stat3,sup,naive,6
7001_liver_sham_Male_52-U1,12.818224546846722,0.05502541276996062,22161,-31365.308990107816,-1.4153381611889273,0.9969722039494952,0.9928163053286646,-31445.096835305525,-1.4189385332478464,79.78784519770852,Biliary/ductular,il6_jak_stat3,sup,naive,6
7248_liver_sham_Male_26-U1,13.48099749887925,0.0672721620999967,8094,-11490.953898850228,-1.4196879044786543,0.9954744562063914,1.0014819035021327,-11484.888488007535,-1.4189385332354256,-6.065410842693382,Biliary/ductular,il6_jak_stat3,sup,naive,6
