held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,family,design
7352_liver_sham_Male_2-U1,49.99999999999999,0.002901970271731455,3895,-5489.389781509994,-1.4093426910166864,0.9733123856700074,0.9809635155348114,-5489.651750963246,-1.4094099488994212,0.26196945325227716,Biliary/ductular,downstream_arrest,powerlaw,ctrl
7435_liver_sham_Male_10-U1,6.999999999999999,0.0034470870902429487,4208,-5869.753909193483,-1.3949034955307706,0.9745836993047706,0.9528190453332078,-5869.751493283198,-1.394902921407604,-0.0024159102849807823,Biliary/ductular,downstream_arrest,powerlaw,ctrl
7259_liver_sbr_Male_26-U1,49.99999999999999,0.018368703592757062,31155,-44217.612212157226,-1.4192781965064107,0.9996625907283218,1.0006790859855161,-44207.030003808155,-1.4189385332629805,-10.582208349071152,Biliary/ductular,downstream_arrest,powerlaw,naive
7260_liver_sbr_Male_26-U1,49.99999999999999,0.0033485414092174377,27623,-39193.210553231496,-1.4188614760609455,0.9999887872704305,0.9998458802205877,-39195.339104162675,-1.4189385332571651,2.1285509311783244,Biliary/ductular,downstream_arrest,powerlaw,naive
7001_liver_sham_Male_52-U1,47.54182525407475,0.009896697520176941,21796,-30926.786797661258,-1.418920297194956,0.9999020553781941,0.9999635284168965,-30927.18427070194,-1.418938533249309,0.3974730406807794,Biliary/ductular,downstream_arrest,powerlaw,naive
7248_liver_sham_Male_26-U1,49.99999999999999,0.009687978753388629,7958,-11291.76388421579,-1.418919814553379,0.9999061430676738,0.9999625631429752,-11291.912847495787,-1.4189385332364648,0.14896327999667847,Biliary/ductular,downstream_arrest,powerlaw,naive
7352_liver_sham_Male_2-U1,49.99999999999999,0.008366465189649357,3895,-5525.754667205121,-1.418678990296565,0.9999300022602304,0.9994809330188158,-5526.765586945417,-1.41893853323374,1.0109197402962309,Biliary/ductular,downstream_arrest,powerlaw,naive
7435_liver_sham_Male_10-U1,49.99999999999999,0.008493945589990249,4208,-5969.986053665261,-1.4187229214983985,0.9999278528883143,0.9995687929151883,-5970.893347848409,-1.4189385332339375,0.9072941831473145,Biliary/ductular,downstream_arrest,powerlaw,naive
7259_liver_sbr_Male_26-U1,19.185852382096297,0.0042176128679257885,31155,-44246.011854912285,-1.4201897562160901,0.9616650914894916,1.0016797863868718,-44245.96218669119,-1.4201881619865573,-0.0496682210941799,Biliary/ductular,downstream_arrest,step,ctrl
7260_liver_sbr_Male_26-U1,38.85968176362148,0.007381913721517879,27623,-38735.24152533607,-1.4022822113939857,0.979854266456535,0.967148736529888,-38733.00841565844,-1.4022013689917259,-2.2331096776251798,Biliary/ductular,downstream_arrest,step,ctrl
