section,call,null,draw,celltype,module,n,lam_near,lam_sup,aic_near,aic_sup,d_aic,d_aic_near_vs_cov,d_aic_sup_vs_cov
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Macrophages,emt_ecm,18045,13.48099749887925,49.99999999999999,-118679.85283914123,-118679.7658558511,0.0869832901225891,3.4494381309195887,3.536421421042178
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Macrophages,il6_jak_stat3,18045,6.999999999999999,6.999999999999999,-117416.97764832785,-117416.96964090479,0.008007423064555041,-0.16183881816687062,-0.15383139510231558
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Macrophages,interferon_response,18045,6.999999999999999,6.999999999999999,-121436.40358062636,-121436.41171327373,-0.008132647373713553,2.711803990925546,2.7036713435518323
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Macrophages,oxidative_stress,18045,49.99999999999999,19.185852382096297,-99842.9840958415,-99843.4175786105,-0.4334827690036036,3.463026800134685,3.0295440311310813
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Macrophages,secondary_senescence,18045,14.178039470333344,12.18803582947357,-113190.02595419317,-113190.05449881578,-0.02854462260438595,2.2752035257872194,2.2466589031828335
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Macrophages,tnfa_nfkb_proximal,18045,9.006764443646388,49.99999999999999,-128106.09837864802,-128106.47492960352,-0.3765509554941673,3.930820333509473,3.554269378015306
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Mesenchymal,downstream_arrest,28945,49.99999999999999,49.99999999999999,-232835.0426198453,-232835.3292035764,-0.28658373109647073,3.7340093231759965,3.447425592079526
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Mesenchymal,emt_ecm,28945,45.204502969779604,6.999999999999999,-185231.8610608409,-185231.53449142308,0.32656941781169735,2.9729435773624573,3.2995129951741546
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Mesenchymal,il6_jak_stat3,28945,49.99999999999999,16.49296129703063,-196402.07965098126,-196401.05749220029,1.0221587809792254,1.1283975400729105,2.150556321052136
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Mesenchymal,interferon_response,28945,9.006764443646388,18.24260882600192,-205116.8467450246,-205116.84942297862,-0.002677954005775973,2.5140465856529772,2.5113686316472013
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Mesenchymal,oxidative_stress,28945,6.999999999999999,6.999999999999999,-166894.14016750635,-166893.77724004208,0.3629274642735254,2.348367183934897,2.7112946482084226
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Mesenchymal,secondary_senescence,28945,9.962242533302096,10.477345453252495,-179495.56515817047,-179497.87546658807,-2.3103084175963886,0.6356199150905013,-1.6746885025058873
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Mesenchymal,tnfa_nfkb_proximal,28945,28.716686174618605,14.911122358641625,-208349.7642697863,-208353.16102830844,-3.396758522139862,-3.9021730527456384,-7.298931574885501
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Proliferating,downstream_arrest,3542,49.99999999999999,27.304873519796445,-25261.831776201296,-25264.074148496373,-2.2423722950770753,3.7493626123796275,1.5069903173025523
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Proliferating,emt_ecm,3542,6.999999999999999,49.99999999999999,-26753.331244757792,-26752.68829806341,0.642946694380953,2.6807859634936904,3.3237326578746433
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Proliferating,il6_jak_stat3,3542,6.999999999999999,22.318425721029357,-27111.935466987612,-27112.21608094728,-0.28061395966869895,3.8905747010285268,3.609960741359828
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Proliferating,interferon_response,3542,49.99999999999999,6.999999999999999,-28076.137627901735,-28076.20557392078,-0.06794601904402953,3.728790409022622,3.6608443899785925
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Proliferating,oxidative_stress,3542,49.99999999999999,49.99999999999999,-21726.240642634602,-21726.260343835987,-0.01970120138503262,3.964597655864054,3.9448964544790215
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Proliferating,secondary_senescence,3542,49.99999999999999,23.47241150476913,-24394.00393636498,-24394.220253565614,-0.21631720063305693,3.8688242014432035,3.6525070008101466
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,Proliferating,tnfa_nfkb_proximal,3542,11.58882939190469,20.177866835741543,-25940.14400972286,-25943.58271887743,-3.4387091545722797,3.417464429654501,-0.021244724917778512
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,T/NK cells,downstream_arrest,5353,6.999999999999999,6.999999999999999,-40720.278300798964,-40720.4366021027,-0.15830130373797147,-1.335880709819321,-1.4941820135572925
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,T/NK cells,emt_ecm,5353,14.178039470333344,15.682109678112967,-34040.3899201125,-34043.47785145612,-3.0879313436162192,1.6038599658058956,-1.4840713778103236
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,T/NK cells,il6_jak_stat3,5353,6.999999999999999,6.999999999999999,-35314.91741303471,-35314.551061653525,0.3663513811843586,3.121437420042639,3.4877888012269977
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,T/NK cells,interferon_response,5353,49.99999999999999,15.682109678112967,-36119.69737175297,-36119.50362287735,0.19374887561571086,2.732491928996751,2.926240804612462
7260_liver_sbr_Male_26-U1,tierA_p95,N1,1,T/NK cells,oxidative_stress,5353,15.682109678112967,6.999999999999999,-30320.602391735956,-30317.489612695415,3.1127790405407723,-0.6601727924935403,2.452606248047232
