held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,basis,design,n_sections
7248_liver_sham_Male_26-U1,35.13265199376635,-0.015648431238326328,7958,-11129.681165477603,-1.3985525465541095,0.9349861957046343,0.9597260615426974,-11130.83904486124,-1.39869804534572,1.157879383637919,Biliary/ductular,il6_jak_stat3,sup,ctrl,6
7352_liver_sham_Male_2-U1,36.94920399670096,-0.015992475763580125,3895,-5423.382232950833,-1.3923959519771074,0.9364504905779647,0.9482285529188157,-5423.87196562861,-1.3925216856556124,0.48973267777728324,Biliary/ductular,il6_jak_stat3,sup,ctrl,6
7435_liver_sham_Male_10-U1,28.716686174618605,-0.015445796295597993,4208,-5847.710902778493,-1.389665138492988,0.9366737006070854,0.943113907837531,-5848.403529212398,-1.3898297360295624,0.6926264339053887,Biliary/ductular,il6_jak_stat3,sup,ctrl,6
7259_liver_sbr_Male_26-U1,19.185852382096297,0.027422857505124063,31155,-44210.84384637129,-1.4190609483669165,0.9992479868862533,1.000244407978878,-44207.03000380816,-1.4189385332629807,-3.813842563125945,Biliary/ductular,il6_jak_stat3,near,naive,6
7260_liver_sbr_Male_26-U1,15.682109678112967,0.02357084579874102,27623,-39192.19057167582,-1.418824550978381,0.999444415228332,0.9997720211320902,-39195.33910416266,-1.4189385332571647,3.1485324868408497,Biliary/ductular,il6_jak_stat3,near,naive,6
7001_liver_sham_Male_52-U1,18.24260882600192,0.01636634826744548,21796,-30916.008834257293,-1.4184258044713385,0.9997321426443887,0.9989747501685466,-30927.18427070193,-1.4189385332493087,11.175436444638763,Biliary/ductular,il6_jak_stat3,near,naive,6
7248_liver_sham_Male_26-U1,16.49296129703063,0.02123643427964265,7958,-11289.381126473147,-1.4186203978981085,0.9995490138590862,0.9993639077922905,-11291.912847495789,-1.418938533236465,2.5317210226421594,Biliary/ductular,il6_jak_stat3,near,naive,6
7352_liver_sham_Male_2-U1,16.49296129703063,0.021566310178761986,3895,-5525.799060793932,-1.4186903878803419,0.9995348942652732,0.9995038304726725,-5526.765586945418,-1.4189385332337403,0.9665261514865051,Biliary/ductular,il6_jak_stat3,near,naive,6
7435_liver_sham_Male_10-U1,16.49296129703063,0.02063885439127852,4208,-5968.088536201503,-1.4182719905421823,0.9995740376894156,0.9986673618288172,-5970.893347848409,-1.4189385332339375,2.804811646905364,Biliary/ductular,il6_jak_stat3,near,naive,6
7259_liver_sbr_Male_26-U1,16.49296129703063,0.03197052615578594,31155,-44217.33556721317,-1.4192693168741188,0.9989778854573219,1.0006604446429912,-44207.03000380816,-1.4189385332629807,-10.305563405010616,Biliary/ductular,il6_jak_stat3,sup,naive,6
7260_liver_sbr_Male_26-U1,14.911122358641625,0.027570641716346773,27623,-39195.440345719006,-1.418942198375231,0.9992398597153488,1.000007068196102,-39195.33910416266,-1.4189385332571647,-0.10124155634548515,Biliary/ductular,il6_jak_stat3,sup,naive,6
7001_liver_sham_Male_52-U1,21.2211739115045,0.01829566052671037,21796,-30915.689578614543,-1.41841115702948,0.9996652688058912,0.998945515024105,-30927.18427070193,-1.4189385332493087,11.494692087388103,Biliary/ductular,il6_jak_stat3,sup,naive,6
7248_liver_sham_Male_26-U1,11.58882939190469,0.021591606900491018,7958,-11286.3124700033,-1.4182347914052904,0.9995338025114545,0.9985930314807215,-11291.912847495789,-1.418938533236465,5.6003774924884056,Biliary/ductular,il6_jak_stat3,sup,naive,6
7352_liver_sham_Male_2-U1,13.48099749887925,0.023008811593116525,3895,-5524.440974417529,-1.4183417135860152,0.9994705945890724,0.9988068305272557,-5526.765586945418,-1.4189385332337403,2.3246125278892578,Biliary/ductular,il6_jak_stat3,sup,naive,6
7435_liver_sham_Male_10-U1,13.48099749887925,0.022192525459803287,4208,-5966.858070181639,-1.4179795794157888,0.9995074918137159,0.9980828689383502,-5970.893347848409,-1.4189385332339375,4.035277666769616,Biliary/ductular,il6_jak_stat3,sup,naive,6
7259_liver_sbr_Male_26-U1,14.911122358641625,-0.010139468354617237,31155,-44284.202932061875,-1.4214155972415945,0.9260780160693277,1.0018192044829184,-44284.73162564913,-1.4214325670245267,0.528693587257294,Biliary/ductular,interferon_response,near,ctrl,6
7260_liver_sbr_Male_26-U1,6.999999999999999,-0.009420829825834986,27623,-38106.2829669505,-1.3795128323118597,0.9560484351604305,0.9236201894431283,-38107.42642652385,-1.3795542275105475,1.1434595733517199,Biliary/ductular,interferon_response,near,ctrl,6
7001_liver_sham_Male_52-U1,6.999999999999999,-0.010421196461189448,21796,-30260.450324290716,-1.3883487944710367,0.9479578514510847,0.9406232052691872,-30260.46193570039,-1.388349327202257,0.011611409674515016,Biliary/ductular,interferon_response,near,ctrl,6
7248_liver_sham_Male_26-U1,6.999999999999999,-0.00889331005517024,7958,-11276.749552693987,-1.4170331179560176,0.9412323453240213,0.9946688719607899,-11277.410874155177,-1.4171162194213593,0.6613214611898002,Biliary/ductular,interferon_response,near,ctrl,6
7352_liver_sham_Male_2-U1,6.999999999999999,-0.010158908916469894,3895,-5345.6621911275115,-1.3724421543331224,0.9468634138458492,0.9104997027631776,-5345.029484888792,-1.3722797137070069,-0.6327062387199476,Biliary/ductular,interferon_response,near,ctrl,6
7435_liver_sham_Male_10-U1,6.999999999999999,-0.007812665797947588,4208,-5869.380694363624,-1.3948148037936368,0.9450298480048055,0.9528677942359529,-5870.613800086226,-1.395107842225814,1.2331057226019766,Biliary/ductular,interferon_response,near,ctrl,6
7259_liver_sbr_Male_26-U1,13.48099749887925,-0.012352214027619202,31155,-44282.56600230066,-1.421363055763141,0.9260415118297849,1.0017188800664916,-44284.73162564913,-1.4214325670245267,2.165623348475492,Biliary/ductular,interferon_response,sup,ctrl,6
7260_liver_sbr_Male_26-U1,14.178039470333344,-0.01135260530155706,27623,-38105.340972358936,-1.3794787304912188,0.9560213425430664,0.9235558878561376,-38107.42642652385,-1.3795542275105475,2.0854541649168823,Biliary/ductular,interferon_response,sup,ctrl,6
7001_liver_sham_Male_52-U1,6.999999999999999,-0.011846426576137555,21796,-30260.056371333012,-1.388330719918013,0.9479314105341811,0.9405891395751201,-30260.46193570039,-1.388349327202257,0.40556436737824697,Biliary/ductular,interferon_response,sup,ctrl,6
7248_liver_sham_Male_26-U1,9.962242533302096,-0.01100620476033119,7958,-11276.608432890094,-1.4170153848818916,0.9411988691596209,0.9946335901576355,-11277.410874155177,-1.4171162194213593,0.8024412650829618,Biliary/ductular,interferon_response,sup,ctrl,6
7352_liver_sham_Male_2-U1,12.18803582947357,-0.012785699679739576,3895,-5346.191126352341,-1.3725779528504083,0.9468185567665406,0.9107586719901037,-5345.029484888792,-1.3722797137070069,-1.161641463549131,Biliary/ductular,interferon_response,sup,ctrl,6
7435_liver_sham_Male_10-U1,11.58882939190469,-0.00994391498740634,4208,-5869.0609328575565,-1.3947388148425752,0.9450010202987781,0.9527238994021299,-5870.613800086226,-1.395107842225814,1.552867228669129,Biliary/ductular,interferon_response,sup,ctrl,6
7259_liver_sbr_Male_26-U1,49.99999999999999,0.0005646324214037779,31155,-44206.83143689169,-1.4189321597461624,0.999999681190229,0.9999872514679561,-44207.030003808155,-1.4189385332629805,0.19856691646418767,Biliary/ductular,interferon_response,near,naive,6
7260_liver_sbr_Male_26-U1,31.763081427768892,0.006425217576044701,27623,-39196.220665921675,-1.4189704473055669,0.9999587165791005,1.0000638283390122,-39195.339104162675,-1.4189385332571651,-0.8815617590007605,Biliary/ductular,interferon_response,near,naive,6
7001_liver_sham_Male_52-U1,49.99999999999999,0.002837998870179857,21796,-30926.746777226363,-1.4189184610582841,0.9999919457624129,0.9999598539082236,-30927.18427070194,-1.418938533249309,0.4374934755760478,Biliary/ductular,interferon_response,near,naive,6
