field,kind,weights,mean_neighbours,islands,I_mean,I_min,I_max
cell_area,technical,band100um,165.98540087353066,29,0.04872082666915665,0.0220926151976858,0.0996320689048605
density_50um,technical,knn4,4.0,0,0.9574501975728289,0.9327422603489812,0.9800402290425309
density_50um,technical,knn6,6.0,0,0.9482974427209705,0.920758553770756,0.9757834294065152
density_50um,technical,knn10,10.0,0,0.9309305352442435,0.8979603874352599,0.9677087002343288
density_50um,technical,band30um,16.05732024194268,143,0.9168645192102979,0.8797603782159197,0.9591453793565664
density_50um,technical,knn20,20.0,0,0.8977108390454611,0.8547568240851507,0.9523607749729612
density_50um,technical,band50um,43.38938586575926,61,0.838359089197305,0.784886214271666,0.914520141071684
density_50um,technical,band100um,165.98540087353066,29,0.6053329683889814,0.4875596631020611,0.7561290264362646
transcript_counts,technical,knn4,4.0,0,0.11773287680844927,0.0788111569927088,0.1949226505813492
transcript_counts,technical,knn6,6.0,0,0.13754369853503812,0.0881812545403852,0.1974087442547111
transcript_counts,technical,knn10,10.0,0,0.1463671431370283,0.0920133521415847,0.1939898264462687
transcript_counts,technical,band30um,16.05732024194268,143,0.14180826289027346,0.0813011988411689,0.1892331982800481
transcript_counts,technical,knn20,20.0,0,0.1362810020434112,0.0831951043806197,0.178132918819938
transcript_counts,technical,band50um,43.38938586575926,61,0.1267425133611531,0.0667903097005793,0.1716125796384975
transcript_counts,technical,band100um,165.98540087353066,29,0.1001829591512032,0.04509405525004,0.1475643289173445
unassigned_codeword,technical,knn4,4.0,0,0.20625648804947294,0.0789655298189778,0.346094421731961
unassigned_codeword,technical,knn6,6.0,0,0.20982993411727244,0.0800660542033513,0.3418541551491254
unassigned_codeword,technical,knn10,10.0,0,0.20742796735231092,0.0825087998070714,0.3310626340328029
unassigned_codeword,technical,band30um,16.05732024194268,143,0.2137067379405612,0.08142010048555,0.3537899394397268
unassigned_codeword,technical,knn20,20.0,0,0.19549570685323492,0.0791325628231712,0.2971913079335139
unassigned_codeword,technical,band50um,43.38938586575926,61,0.19380799960034778,0.0723243629144499,0.3007905037331693
unassigned_codeword,technical,band100um,165.98540087353066,29,0.16308550651967563,0.0621238232891413,0.2444497538375492
