section,arm,band,n_cells,weights,mean_neighbours,islands,centring,field,kind,moran_I,E_I,z_rand,p_rand,z_norm,p_norm,p_sim,mean,sd,frac_nonzero
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,raw,neg_control_codeword,control,0.04554261630786767,-6.025548324897566e-06,66.55791224861319,0.0,66.55109409627019,0.0,,0.046697718138598826,0.22742812849917163,0.04340778857683432
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,raw,genomic_control,control,0.0007260352310012438,-6.025548324897566e-06,1.0700801313773933,0.2845832415329286,1.0696135784452432,0.28479328069147325,,0.010104783653990998,0.10518159114809286,0.00960466615650665
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,raw,all_controls,control,0.046780073708997685,-6.025548324897566e-06,68.36459669523504,0.0,68.35914238457569,0.0,,0.06441874898319484,0.2701979018579551,0.05871861461427685
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,raw,neg_probe_rate,control,0.0010058614680097935,-6.025548324897566e-06,1.484710021364994,0.1376206559129511,1.4784675304150392,0.1392826817313332,,6.324422050260599e-06,9.617708774889072e-05,0.007501762462265231
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,raw,downstream_arrest,module,0.04198333860084785,-6.025548324897566e-06,61.35156461516815,0.0,61.3506355108639,0.0,,0.01129811980051874,0.02440770029195408,0.6771530660817903
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,raw,emt_ecm,module,0.13265865422962192,-6.025548324897566e-06,193.8376587555915,0.0,193.83628638212286,0.0,,0.04508752562719652,0.06331401108994869,0.7672947258693308
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,raw,il6_jak_stat3,module,0.08037871419846665,-6.025548324897566e-06,117.45075965018528,0.0,117.45009644158239,0.0,,-0.0029889260104140436,0.047770208894256684,0.3838793451473539
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,raw,interferon_response,module,0.10836091085262578,-6.025548324897566e-06,158.3367188894374,0.0,158.33486768088335,0.0,,0.009505945790735073,0.03988497722754621,0.5081977091003308
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,raw,oxidative_stress,module,0.07576009830884323,-6.025548324897566e-06,110.70185881484393,0.0,110.70183945435308,0.0,,0.10207723243392011,0.06809037017630923,0.9224094817457114
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,raw,secondary_senescence,module,0.09257191364812403,-6.025548324897566e-06,135.26572766645077,0.0,135.26557305822305,0.0,,0.026733139290237594,0.03277234235958203,0.7813160923349461
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,raw,tnfa_nfkb_proximal,module,0.1327011213888857,-6.025548324897566e-06,193.9019394726381,0.0,193.89833512379752,0.0,,-0.003285381986592463,0.03213697796005084,0.37218985183265946
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,raw,transcript_counts,technical,0.17161257963849755,-6.025548324897566e-06,250.75801946240247,0.0,250.75184411686394,0.0,,1051.3120793439423,809.2155961951876,1.0
