section,arm,band,n_cells,field,kind,frac_nonzero,band100um_ctcentred,band100um_raw,band30um_ctcentred,band30um_raw,band50um_ctcentred,band50um_raw,knn10_ctcentred,knn10_raw,knn20_ctcentred,knn20_raw,knn4_ctcentred,knn4_raw,knn6_ctcentred,knn6_raw,n_fits,a7_base,a7_n6,a7_n5,a7_n6n5,a7_n2,a7_frac_CI_excl_0
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,interferon_response,module,0.8287723925706122,0.0310402181182418,0.0354623811063903,0.0640350233819729,0.0882532992071814,0.0498009294589684,0.0631946564067058,0.0823108438177093,0.1201231846264882,0.0691677786655231,0.0970743707242646,0.1004935925837363,0.1508327055267679,0.0921862790930652,0.1377021974772823,14.0,0.32305996736621606,0.14737335104244106,-0.023319445187963216,-0.05686179319168679,0.31480277333661133,
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,neg_control_codeword,control,0.0124817483867928,0.0081638070030199,0.00809724265958,0.0124344872983037,0.012725630839059,0.009037676178203,0.0092188655100023,0.0110610265612176,0.0115643813919629,0.0104366564818707,0.0107813537369051,0.0099927805122511,0.0101472097898658,0.0102881487679617,0.0106429607450261,14.0,0.001725765007012244,0.004724827563312263,0.01892993108634572,0.020776383135760742,0.0074147656918840755,0.42857142857142855
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,neg_control_probe,control,0.0028260562385191,0.00104953136838,0.001099911874978,0.0015092267224416,0.0016517168702329,0.0009807748904498,0.0010752965554463,0.0018935443794936,0.0020490368000157,0.0011906204699093,0.0013539664939066,0.0020401259597752,0.0021851840257505,0.0008053680083889,0.0009529268419356,14.0,0.02315755850958947,0.023671461156559527,0.04302171266857696,0.04401226555383204,0.024948048471385518,0.2857142857142857
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,neg_probe_rate,control,0.0028260562385191,0.0007805381418816,0.0008819896219466,0.001776800939973,0.0018932571638198,0.0015537648566609,0.0016677998069103,0.0053915370355527,0.0054864466286136,0.0029150747587656,0.0030390151386171,0.0016721983783133,0.0017611876886,0.0008764425475722,0.0009652600652224,14.0,0.04268552323367122,0.04271393034892135,0.037457335245384304,0.037473268266135284,0.04309579146490206,0.21428571428571427
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,oxidative_stress,module,0.877058703468199,0.0168801481110079,0.0260906787348806,0.0374436618863598,0.0579084345144722,0.0259280956150219,0.0411594997642733,0.0504663435413559,0.0791159668750673,0.0403118336896642,0.0626499202367283,0.0643201050672151,0.1003873801008831,0.0586110649590098,0.0916116246591448,14.0,-0.1788759998695524,-0.13571302567360907,0.05421064285495192,0.06365190785042092,-0.16622371425599755,
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,secondary_senescence,module,0.951619487227796,0.0114001131432342,0.0152183273189274,0.0258959965451221,0.0403084341950116,0.0183070758095947,0.0271182023170305,0.0360795636818181,0.0596058615148654,0.0281607922895455,0.044976629066379,0.0509901261961395,0.0869824904565582,0.0437745531649097,0.0742462572092936,14.0,0.00527338728110371,0.01750181922004439,-0.02919157338754989,-0.02224211366477089,0.0056469751627980175,
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,tnfa_nfkb_proximal,module,0.6893143673559103,0.0212830907818126,0.0216391241838487,0.0574448022922257,0.0649293749683419,0.0380223602590041,0.041470760450028,0.0853724133443854,0.1011805494356396,0.0660337135249365,0.0748140498105367,0.1128751582230567,0.136896528466743,0.1004431183308696,0.1216192540549617,14.0,0.355449609749331,0.17189980549895348,0.08464750485884102,0.017479102146031072,0.34751693965129393,
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,transcript_counts,technical,1.0,0.0464466918181893,0.04509405525004,0.0685945982643044,0.0813011988411689,0.0592621809544475,0.0667903097005793,0.0703069771010702,0.0920133521415847,0.0677240199245619,0.0831951043806197,0.0605978685045623,0.0817475081607961,0.0656699477315781,0.0881812545403852,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,unassigned_codeword,technical,0.1227921435636569,0.0656321968696056,0.0621238232891413,0.082355548855513,0.08142010048555,0.0742337453173097,0.0723243629144499,0.0814496280114506,0.0825087998070714,0.0794136356769261,0.0791325628231712,0.0776796665295824,0.0789655298189778,0.0789081826909467,0.0800660542033513,,,,,,,
7260_liver_sbr_Male_26-U1,sbr,in_band,202016,all_controls,control,0.0435262553461112,0.0152636015883144,0.0189515082432969,0.0157028947702724,0.0210536990846928,0.0162025239025183,0.0210296061556014,0.0156434176895358,0.0214069499030865,0.0161755727026323,0.0214407389283324,0.0137722760308505,0.0188323369646594,0.0155634514007504,0.021132822299275,18.0,-0.006787042087094806,-0.00209384697778033,0.051425208637099415,0.05077402529057895,-0.008885291611549027,0.6111111111111112
