gene_name,gene_id,feature_type
ART3,ENSG00000156219,Gene Expression
ART4,ENSG00000111339,Gene Expression
ARX,ENSG00000004848,Gene Expression
ASCC2,ENSG00000100325,Gene Expression
ASCC3,ENSG00000112249,Gene Expression
ASCL1,ENSG00000139352,Gene Expression
ASCL2,ENSG00000183734,Gene Expression
ASF1B,ENSG00000105011,Gene Expression
ASH2L,ENSG00000129691,Gene Expression
ASIC1,ENSG00000110881,Gene Expression
ASPM,ENSG00000066279,Gene Expression
ASPN,ENSG00000106819,Gene Expression
ASTN2,ENSG00000148219,Gene Expression
ASXL1,ENSG00000171456,Gene Expression
ATAD3A,ENSG00000197785,Gene Expression
ATF1,ENSG00000123268,Gene Expression
ATF2,ENSG00000115966,Gene Expression
ATF3,ENSG00000162772,Gene Expression
ATF4,ENSG00000128272,Gene Expression
ATF6,ENSG00000118217,Gene Expression
ATG10,ENSG00000152348,Gene Expression
ATG16L1,ENSG00000085978,Gene Expression
ATG2A,ENSG00000110046,Gene Expression
ATG5,ENSG00000057663,Gene Expression
ATG7,ENSG00000197548,Gene Expression
ATIC,ENSG00000138363,Gene Expression
ATL1,ENSG00000198513,Gene Expression
ATL2,ENSG00000119787,Gene Expression
ATL3,ENSG00000184743,Gene Expression
ATM,ENSG00000149311,Gene Expression
ATOH1,ENSG00000172238,Gene Expression
ATOH7,ENSG00000179774,Gene Expression
ATOH8,ENSG00000168874,Gene Expression
ATP10D,ENSG00000145246,Gene Expression
ATP13A2,ENSG00000159363,Gene Expression
ATP1A1,ENSG00000163399,Gene Expression
ATP2A2,ENSG00000174437,Gene Expression
ATP2B1,ENSG00000070961,Gene Expression
ATP5F1A,ENSG00000152234,Gene Expression
ATP5F1C,ENSG00000165629,Gene Expression
ATP6V1B1,ENSG00000116039,Gene Expression
ATP6V1H,ENSG00000047249,Gene Expression
ATP7A,ENSG00000165240,Gene Expression
ATP7B,ENSG00000123191,Gene Expression
ATPAF1,ENSG00000123472,Gene Expression
ATPSCKMT,ENSG00000150756,Gene Expression
ATR,ENSG00000175054,Gene Expression
ATRX,ENSG00000085224,Gene Expression
ATXN1,ENSG00000124788,Gene Expression
ATXN1L,ENSG00000224470,Gene Expression
ATXN2,ENSG00000204842,Gene Expression
ATXN2L,ENSG00000168488,Gene Expression
ATXN3,ENSG00000066427,Gene Expression
ATXN7L2,ENSG00000162650,Gene Expression
AUNIP,ENSG00000127423,Gene Expression
AURKA,ENSG00000087586,Gene Expression
AURKB,ENSG00000178999,Gene Expression
AURKC,ENSG00000105146,Gene Expression
AVPR1A,ENSG00000166148,Gene Expression
AVPR1B,ENSG00000198049,Gene Expression
AVPR2,ENSG00000126895,Gene Expression
AXIN1,ENSG00000103126,Gene Expression
AXIN2,ENSG00000168646,Gene Expression
AXL,ENSG00000167601,Gene Expression
B3GAT1,ENSG00000109956,Gene Expression
B4GAT1,ENSG00000174684,Gene Expression
BAALC,ENSG00000164929,Gene Expression
BAAT,ENSG00000136881,Gene Expression
BACE1,ENSG00000186318,Gene Expression
BACE2,ENSG00000182240,Gene Expression
BACH2,ENSG00000112182,Gene Expression
BAD,ENSG00000002330,Gene Expression
BAG2,ENSG00000112208,Gene Expression
BAG3,ENSG00000151929,Gene Expression
BAG6,ENSG00000204463,Gene Expression
BAIAP2,ENSG00000175866,Gene Expression
BAK1,ENSG00000030110,Gene Expression
BAMBI,ENSG00000095739,Gene Expression
BANK1,ENSG00000153064,Gene Expression
BAP1,ENSG00000163930,Gene Expression
BARD1,ENSG00000138376,Gene Expression
BARHL2,ENSG00000143032,Gene Expression
BARX2,ENSG00000043039,Gene Expression
BATF,ENSG00000156127,Gene Expression
BATF3,ENSG00000123685,Gene Expression
