section,arm,week,call,celltype,module,n,lam,n_perm,beta_obs,N1_null_mean,N1_null_sd,N1_null_lo,N1_null_hi,N1_sf,N1_p,N1_full_null_mean,N1_full_sf,N3_null_mean,N3_null_sd,N3_null_lo,N3_null_hi,N3_sf,N3_p,N3_full_null_mean,N3_full_sf,N4_null_mean,N4_null_sd,N4_null_lo,N4_null_hi,N4_sf,N4_p,N4_full_null_mean,N4_full_sf,beta_obs_full
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,oxidative_stress,2627,44.99999999999999,1000,-0.026046251084398637,-0.005761958634152246,0.005516996041738894,-0.016276700319718337,0.004740092746974368,0.7787797324274592,0.0,0.0002465391627585395,1.0435228252648787,1.3992948735018551e-05,0.004384528828342412,-0.008252200227940865,0.008753302442509337,1.0005372346557544,0.0,-2.0752721779897522e-05,0.9963364153845135,-0.003944471275290487,0.0033802333532816785,-0.01114631546788666,0.003561876073410795,0.848558962957507,0.0,-0.0021873267733601614,0.6138599649282386,-0.005664594641044309
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,secondary_senescence,2627,6.999999999999999,1000,0.0032358460384925526,0.0010274627099412788,0.003271812269090153,-0.0051582444561141675,0.007472566289337255,0.682474784733599,0.342,2.7712042199650968e-05,1.0251991465387649,-0.0005363665423767156,0.006928571514078317,-0.01445833247170682,0.012536069786889075,1.165757744959518,0.64,-0.0002890460232970099,0.7371643329267025,0.0027511253671772067,0.006396020544104672,-0.009852131958729665,0.015268739379992437,0.14979719849129697,0.657,0.0010484781122574028,1.9534033400755562,-0.001099721459098635
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,tnfa_nfkb_proximal,2627,44.99999999999999,1000,0.004269406331848065,0.00523074905291693,0.003507463387801531,-0.0014768865895342619,0.012047189199393387,-0.2251701164861335,0.608,0.00042140612680308765,1.0838773235067458,-6.356150128475225e-06,0.0026464562661182556,-0.00550601493629526,0.00490521572098221,1.0014887667358015,0.111,8.1922701374073e-05,1.016306020460188,-0.0020837902194976764,0.0017671073511138862,-0.006124650897257293,0.0018660859136283927,1.488074935372966,0.086,-0.00031745147463703454,0.9368139703192637,-0.00502407693980837
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Hepatic stellate cells,downstream_arrest,14350,15.01869449426623,1000,-0.0019734321794432305,-0.0007584895975135783,0.0005077882248017726,-0.001780907603321861,0.0002484570310795977,0.6156495240046339,0.011,6.038933350041379e-05,1.5226276939606471,2.442227545771634e-07,0.0007896062908416198,-0.001497801796129964,0.0014692390163845198,1.0001237553320157,0.006,2.2895235028509623e-07,1.0019814234057667,0.0004044539407345724,0.0007870082008559987,-0.0012198906180286462,0.00191282163328776,1.2049495011521916,0.024,-4.058578953443619e-05,0.6487582100602383,-0.00011554943260423735
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Hepatic stellate cells,emt_ecm,14350,6.999999999999999,1000,0.034929559657546044,0.007842080604159288,0.0017137274765526608,0.004513960423261602,0.011190729346036522,0.7754887069563984,0.0,0.00022202010348189915,0.757074553850695,0.0002668411362561044,0.005486245867717871,-0.010458042393656188,0.011474932288029331,0.9923605926077439,0.0,0.00026256172243189926,0.7127155488930793,-0.002829251200123997,0.004846996729408799,-0.012152898855932842,0.006469563748507311,1.0809987651680224,0.0,0.002843104181256419,-2.110809971030297,0.0009139433805771124
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Hepatic stellate cells,il6_jak_stat3,14350,6.999999999999999,1000,0.007825994341298667,0.002071175670526434,0.0011938315929653149,-0.00020546199324567648,0.004382961597924452,0.7353466434806113,0.0,2.7865964753023066e-05,1.0106974750188262,7.592980497585622e-05,0.0024322281024841967,-0.004606096454565684,0.004984124101265238,0.9902977434349567,0.0,9.001139154041213e-05,1.034554504785588,-0.0005454537068901131,0.0022960805378546864,-0.0050018166113282025,0.003950985568761722,1.0696976873611692,0.0,0.0005327509134873647,1.2045179357255074,-0.002604910476909925
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Hepatic stellate cells,interferon_response,14350,6.999999999999999,1000,0.010751346024480078,0.0022405562285535137,0.000996004700473913,0.00017384374763950683,0.004163541030861593,0.7916022585960938,0.0,7.681878380492793e-05,0.6125432371966298,-3.483400719698309e-06,0.0022604320468560582,-0.004609254933946908,0.004267452303327448,1.0003239967081115,0.0,6.916710631618625e-06,0.9651136586934265,-0.0011498729391374977,0.0020447810350233066,-0.004975371643585155,0.003025890739777884,1.1069515330005486,0.0,0.00043537019063845476,-1.1959098586385135,0.00019826414500838786
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Hepatic stellate cells,oxidative_stress,14350,6.999999999999999,1000,-0.040953426882349396,-0.006578358247414744,0.001979022709368457,-0.01063133476464482,-0.0025811217458977407,0.8393697732228127,0.0,-0.00017359283005570847,0.9583326708404215,1.969521130633249e-06,0.004105752031038449,-0.00856900317444979,0.007912768399183201,1.000048091729571,0.0,4.067827717731374e-06,1.0009763969884284,-0.0015170493748866832,0.0037749901813036338,-0.008603001790892599,0.005989277143841435,0.9629567171693629,0.0,-0.0021189307022690704,0.4913949901649242,-0.004166161680075018
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Hepatic stellate cells,secondary_senescence,14350,6.999999999999999,1000,0.011842651298065155,0.0018208252182109702,0.0014208050709659714,-0.0008893377432565959,0.004533056905760935,0.8462485154394054,0.0,5.8888672799896046e-05,0.9753622902577925,-8.644527535141447e-05,0.0031701702962867954,-0.0062063967877515865,0.006084049549196123,1.0072994866753813,0.001,-2.533520293814821e-05,1.0105996849066552,0.0006754359552571923,0.0028133379638976713,-0.004695716132598778,0.006280485050908203,0.9429658158247431,0.0,5.558564449354748e-05,0.976744203770407,0.0023901845348479095
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Hepatic stellate cells,tnfa_nfkb_proximal,14350,6.999999999999999,1000,0.009105373000706608,0.0015001540098746604,0.0008619271019672469,-0.00019662063690028484,0.0031360803527747936,0.8352451887738983,0.0,1.7849932971221138e-05,0.9928742891930182,-4.926006506508414e-05,0.0020208985218096863,-0.0037994358977939714,0.004098336876897235,1.00540999968494,0.0,-1.0330666848909145e-05,1.0041240123717712,-0.0015851204532777827,0.0020890100980220532,-0.005797709708780497,0.002214496721858699,1.1740862733635153,0.0,-0.0006897682014945393,1.2753561447892554,0.0025050038451927604
