section,arm,band,call,celltype,module,n,sender_density_per_um2,d_poisson_um,median_nn_um,sd_y,lam_raw,beta_raw,railed_raw,lam_poisson,beta_poisson,railed_poisson,lam_nn,beta_nn,railed_nn
7352_liver_sham_Male_2-U1,sham,in_band,tierA_p95,Biliary/ductular,il6_jak_stat3,3895,0.0002023564553601062,33.02016678086908,9.804628187284118,0.02871774874030077,50.0,0.0037089765629207067,1,1.5142261494865779,0.0037089765629207076,1,5.099632443466477,0.003708976562920707,1
7352_liver_sham_Male_2-U1,sham,in_band,tierA_p95,Biliary/ductular,interferon_response,3895,0.0002023564553601062,33.02016678086908,9.804628187284118,0.02660346924948999,50.0,0.004036541000010918,1,1.5142261494865779,0.004036541000010918,1,5.099632443466477,0.004036541000010918,1
7352_liver_sham_Male_2-U1,sham,in_band,tierA_p95,Biliary/ductular,oxidative_stress,3895,0.0002023564553601062,33.02016678086908,9.804628187284118,0.06415498636593142,7.000000000000001,-0.060308200098005534,1,0.2119916609281209,-0.060308200098005534,1,0.7139485420853068,-0.060308200098005534,1
7352_liver_sham_Male_2-U1,sham,in_band,tierA_p95,Biliary/ductular,secondary_senescence,3895,0.0002023564553601062,33.02016678086908,9.804628187284118,0.042635001156658206,11.588829391904696,0.013401633988236232,0,0.3509621701432145,0.013401633988236227,0,1.1819754069751012,0.013401633988236229,0
7352_liver_sham_Male_2-U1,sham,in_band,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,3895,0.0002023564553601062,33.02016678086908,9.804628187284118,0.024134022473881172,18.242608826001923,0.006597813860523412,0,0.5524687063837351,0.006597813860523411,0,1.860611996450946,0.006597813860523411,0
7352_liver_sham_Male_2-U1,sham,in_band,cdkn1a_pos,Hepatocytes,downstream_arrest,68568,0.00024072353136408894,30.274607493734447,9.804628187284118,0.013726190907769083,50.0,0.004335439951353864,1,1.6515490749251784,0.004335439951353865,1,5.099632443466477,0.004335439951353863,1
7352_liver_sham_Male_2-U1,sham,in_band,cdkn1a_pos,Hepatocytes,emt_ecm,68568,0.00024072353136408894,30.274607493734447,9.804628187284118,0.015329303475954643,25.962470509255514,-0.0016846643089044437,0,0.8575658830466634,-0.001684664308904445,0,2.6479811384308207,-0.0016846643089044446,0
7352_liver_sham_Male_2-U1,sham,in_band,cdkn1a_pos,Hepatocytes,il6_jak_stat3,68568,0.00024072353136408894,30.274607493734447,9.804628187284118,0.019848283484289617,7.000000000000001,0.005532981634039611,1,0.231216870489525,0.005532981634039611,1,0.7139485420853068,0.00553298163403961,1
7352_liver_sham_Male_2-U1,sham,in_band,cdkn1a_pos,Hepatocytes,interferon_response,68568,0.00024072353136408894,30.274607493734447,9.804628187284118,0.019329735122328107,30.20149733539872,0.007033592867955935,0,0.99758509971266,0.007033592867955936,0,3.080330713057313,0.007033592867955936,0
7352_liver_sham_Male_2-U1,sham,in_band,cdkn1a_pos,Hepatocytes,oxidative_stress,68568,0.00024072353136408894,30.274607493734447,9.804628187284118,0.04637293973891919,50.0,0.020287696247781036,1,1.6515490749251784,0.02028769624778104,1,5.099632443466477,0.020287696247781036,1
7352_liver_sham_Male_2-U1,sham,in_band,cdkn1a_pos,Hepatocytes,secondary_senescence,68568,0.00024072353136408894,30.274607493734447,9.804628187284118,0.024122401321895488,7.000000000000001,0.00394434684677503,1,0.231216870489525,0.003944346846775029,1,0.7139485420853068,0.0039443468467750325,1
7352_liver_sham_Male_2-U1,sham,in_band,cdkn1a_pos,Hepatocytes,tnfa_nfkb_proximal,68568,0.00024072353136408894,30.274607493734447,9.804628187284118,0.015699224619778726,7.000000000000001,0.004416668792474557,1,0.231216870489525,0.004416668792474556,1,0.7139485420853068,0.004416668792474558,1
7352_liver_sham_Male_2-U1,sham,in_band,cdkn1a_pos,Biliary/ductular,downstream_arrest,3935,0.00024072353136408894,30.274607493734447,9.804628187284118,0.020356320815956255,7.000000000000001,0.003578991137700351,1,0.231216870489525,0.0035789911377003517,1,0.7139485420853068,0.0035789911377003517,1
7352_liver_sham_Male_2-U1,sham,in_band,cdkn1a_pos,Biliary/ductular,emt_ecm,3935,0.00024072353136408894,30.274607493734447,9.804628187284118,0.03747098133210191,22.31842572102936,-0.000758609773595222,0,0.737199507067047,-0.0007586097735952226,0,2.2763153578811606,-0.0007586097735952212,0
7352_liver_sham_Male_2-U1,sham,in_band,cdkn1a_pos,Biliary/ductular,il6_jak_stat3,3935,0.00024072353136408894,30.274607493734447,9.804628187284118,0.028573021710483842,50.0,0.006088456128813895,1,1.6515490749251784,0.0060884561288138935,1,5.099632443466477,0.006088456128813895,1
7352_liver_sham_Male_2-U1,sham,in_band,cdkn1a_pos,Biliary/ductular,interferon_response,3935,0.00024072353136408894,30.274607493734447,9.804628187284118,0.02646314936493581,50.0,0.004904579284228153,1,1.6515490749251784,0.004904579284228153,1,5.099632443466477,0.004904579284228154,1
7352_liver_sham_Male_2-U1,sham,in_band,cdkn1a_pos,Biliary/ductular,oxidative_stress,3935,0.00024072353136408894,30.274607493734447,9.804628187284118,0.06402729410022562,7.000000000000001,-0.009041903379443134,1,0.231216870489525,-0.009041903379443137,1,0.7139485420853068,-0.009041903379443137,1
7352_liver_sham_Male_2-U1,sham,in_band,cdkn1a_pos,Biliary/ductular,secondary_senescence,3935,0.00024072353136408894,30.274607493734447,9.804628187284118,0.04279494023487249,7.000000000000001,0.010202858017758392,1,0.231216870489525,0.010202858017758396,1,0.7139485420853068,0.010202858017758396,1
7352_liver_sham_Male_2-U1,sham,in_band,cdkn1a_pos,Biliary/ductular,tnfa_nfkb_proximal,3935,0.00024072353136408894,30.274607493734447,9.804628187284118,0.02413134243965556,7.000000000000001,0.00276344333807541,1,0.231216870489525,0.0027634433380754114,1,0.7139485420853068,0.0027634433380754123,1
7352_liver_sham_Male_2-U1,sham,in_band,senepy_p95,Hepatocytes,downstream_arrest,65021,0.00017145701958181216,35.87237732592353,9.804628187284118,0.013590480746241132,50.0,0.005367430913953031,1,1.3938301201985575,0.005367430913953031,1,5.099632443466477,0.00536743091395303,1
7352_liver_sham_Male_2-U1,sham,in_band,senepy_p95,Hepatocytes,emt_ecm,65021,0.00017145701958181216,35.87237732592353,9.804628187284118,0.015095702506599909,50.0,-0.0007969818494942485,1,1.3938301201985575,-0.0007969818494942484,1,5.099632443466477,-0.0007969818494942482,1
7352_liver_sham_Male_2-U1,sham,in_band,senepy_p95,Hepatocytes,il6_jak_stat3,65021,0.00017145701958181216,35.87237732592353,9.804628187284118,0.019564320553504176,7.000000000000001,0.00896751929155115,1,0.19513621682779805,0.00896751929155115,1,0.7139485420853068,0.00896751929155115,1
7352_liver_sham_Male_2-U1,sham,in_band,senepy_p95,Hepatocytes,interferon_response,65021,0.00017145701958181216,35.87237732592353,9.804628187284118,0.019132140886493988,31.763081427768892,0.010586494796263083,0,0.8854467920868736,0.010586494796263082,0,3.2396008110703547,0.010586494796263082,0
7352_liver_sham_Male_2-U1,sham,in_band,senepy_p95,Hepatocytes,oxidative_stress,65021,0.00017145701958181216,35.87237732592353,9.804628187284118,0.04549063171014211,50.0,0.021498651695938387,1,1.3938301201985575,0.021498651695938384,1,5.099632443466477,0.021498651695938384,1
7352_liver_sham_Male_2-U1,sham,in_band,senepy_p95,Hepatocytes,secondary_senescence,65021,0.00017145701958181216,35.87237732592353,9.804628187284118,0.024224744328482734,7.000000000000001,0.010758552800283773,1,0.19513621682779805,0.010758552800283776,1,0.7139485420853068,0.010758552800283776,1
