section,call,celltype,module,null,bin_lo,bin_hi,mean,lo,hi
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,85.0,90.0,0.032392828894003765,0.008820500108413398,0.05598999932408333
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,90.0,95.0,0.03272339753575791,0.009312999900430441,0.05866575017571448
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,95.0,100.0,0.02383224731075743,0.013260000385344028,0.04909824971109631
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,0.0,5.0,-0.0005391095437548406,-0.0010024164635627148,-5.348133689578725e-05
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,5.0,10.0,-4.14919435007128e-05,-0.0006724794295946696,0.0005918028020008277
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,10.0,15.0,-0.0005116196498449817,-0.0008381738646748131,-0.00020828424780907023
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,15.0,20.0,-0.0006082317918014964,-0.000942525786383174,-0.0003048533282608773
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,20.0,25.0,-0.000679300325531454,-0.0010223372114184096,-0.0003230930221241808
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,25.0,30.0,-0.0007603265473630581,-0.0012265856957350005,-0.00029905287814860625
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,30.0,35.0,-0.0007924994449731717,-0.0013610495134484422,-0.0001892601529333995
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,35.0,40.0,-0.0008948759738000207,-0.001665516116200744,-6.736405601336827e-05
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,40.0,45.0,-0.0009165937302790477,-0.001989848911368228,0.0002779628237501637
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,45.0,50.0,-0.001153013808545827,-0.002756134102304084,0.0004915760474369719
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,50.0,55.0,-0.0011503159341300915,-0.00348253581793852,0.0011784677212973952
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,55.0,60.0,-0.0014830334068893474,-0.005118032957907248,0.002448635668584088
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,60.0,65.0,-0.0012801654881867543,-0.0073667590124943455,0.00513093716020025
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,65.0,70.0,-0.0002708503256220146,-0.011813160822506082,0.01217423826012583
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,70.0,75.0,-0.0019886576935604886,-0.019052250124514104,0.018791750213131276
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,75.0,80.0,0.00343005497763445,-0.021636500325985252,0.04960000142455101
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,80.0,85.0,0.0035027895644169455,-0.026925250049680473,0.04960000142455101
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,85.0,90.0,0.010256920094480032,-0.02542566666379571,0.04960000142455101
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,90.0,95.0,0.008492467953927552,-0.023255625087767837,0.04960000142455101
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,tnfa_nfkb_proximal,N1,95.0,100.0,-0.0007752317088724304,-0.010808000020915642,0.01712533389994264
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3,0.0,5.0,0.0008097452652082397,-6.298381042603111e-05,0.0017329013285561298
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3,5.0,10.0,0.0008043091974911077,0.00018635616221091673,0.0016011146687990978
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3,10.0,15.0,0.0008006213707281749,0.00018762349638651386,0.0015428274738834979
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3,15.0,20.0,0.0008125975654289437,0.00021196109467905402,0.0015692011094074335
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3,20.0,25.0,0.0008189519699229682,0.00016086678103628682,0.001567537113427157
