null,family,frac_retaining_a_neighbour,real_median_nbrs,null_median_nbrs,frac_in_occupancy,median_displacement_um,sf_median,sf_q25,sf_q75,sf_published,note
A7_BIOLOGICAL_n5,M1 negative-control-probe kernel,,,,,,0.0694,0.04,0.0988,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=0.000365, 1155 fits"
A7_BIOLOGICAL_n6n5,M1 negative-control-probe kernel,,,,,,0.031,0.0104,0.0515,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=0.00722, 1155 fits"
A7_BIOLOGICAL_n2,M1 negative-control-probe kernel,,,,,,0.2662,0.1963,0.336,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=6.94e-06, 1155 fits"
A7_curve_bin_2.5um,M1 negative-control-probe kernel,,,,,2.5,0.034049274403821,,,0.1688633502569087,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=58"
A7_curve_bin_7.5um,M1 negative-control-probe kernel,,,,,7.5,-0.0034862281028425392,,,0.026161270923993493,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=9155"
A7_curve_bin_12.5um,M1 negative-control-probe kernel,,,,,12.5,0.07578025668869522,,,0.00778993893165447,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=31839"
A7_curve_bin_17.5um,M1 negative-control-probe kernel,,,,,17.5,0.09222885410254075,,,-0.003146460154001224,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=38880"
A7_curve_bin_22.5um,M1 negative-control-probe kernel,,,,,22.5,0.09809031126728457,,,0.0023808827350047016,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=39921"
A7_curve_bin_27.5um,M1 negative-control-probe kernel,,,,,27.5,0.0943175764517014,,,-0.0067257372640849205,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=40161"
A7_curve_bin_32.5um,M1 negative-control-probe kernel,,,,,32.5,0.10576887132753095,,,-0.0017421664135129974,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=39409"
A7_curve_bin_37.5um,M1 negative-control-probe kernel,,,,,37.5,0.1006737316697278,,,-0.011497808851233032,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=36326"
A7_curve_bin_42.5um,M1 negative-control-probe kernel,,,,,42.5,0.1234089078475864,,,0.0021578580088402444,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=32388"
A7_curve_bin_47.5um,M1 negative-control-probe kernel,,,,,47.5,0.12642734634593786,,,-0.002847192590447556,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=27629"
A7_curve_bin_52.5um,M1 negative-control-probe kernel,,,,,52.5,0.12940042241449762,,,-0.002768299839153259,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=23407"
A7_curve_bin_57.5um,M1 negative-control-probe kernel,,,,,57.5,0.14333671867503905,,,0.002990857347476846,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=19156"
A7_curve_bin_62.5um,M1 negative-control-probe kernel,,,,,62.5,0.14873682547318806,,,-0.006780620533978925,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=14933"
A7_curve_bin_67.5um,M1 negative-control-probe kernel,,,,,67.5,0.16977412728074434,,,0.003960938465793601,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=11976"
A7_curve_bin_72.5um,M1 negative-control-probe kernel,,,,,72.5,0.17567791911777014,,,-0.00196920770903595,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=8961"
A7_curve_bin_77.5um,M1 negative-control-probe kernel,,,,,77.5,0.22310510868437905,,,0.027304813405842898,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=6803"
A7_curve_bin_82.5um,M1 negative-control-probe kernel,,,,,82.5,0.21149112031395617,,,-0.0024753569081619837,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=5028"
A7_curve_bin_87.5um,M1 negative-control-probe kernel,,,,,87.5,0.2729528052389796,,,0.04334657087176271,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=3431"
A7_curve_bin_92.5um,M1 negative-control-probe kernel,,,,,92.5,0.2934492113668194,,,0.03294610728584259,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=2390"
A7_curve_bin_97.5um,M1 negative-control-probe kernel,,,,,97.5,0.25373236932361426,,,-0.03605328028336023,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=1845"
negative_control_probe_kernel_H1,PENDING,,,,,,,,,,"Section 13 test A7, HUMAN half — needs H1, behind the freeze"
