section,response,n_cells,mean_per_cell,sd_per_cell,frac_cells_nonzero,max_per_cell
7352_liver_sham_Male_2-U1,all_controls,139378,0.054535149019213934,0.26143821991803684,0.04864469284966064,14.0
7352_liver_sham_Male_2-U1,neg_probe_rate,139378,9.177612142007323e-06,0.00022978475576961073,0.006399862245117594,0.05128205128205128
7435_liver_sham_Male_10-U1,neg_control_probe,172218,0.006410479740793645,0.0811074772948739,0.0063059610493676616,2.0
7435_liver_sham_Male_10-U1,neg_control_codeword,172218,0.04079712921994216,0.21936574693873262,0.03748156406415125,8.0
7435_liver_sham_Male_10-U1,genomic_control,172218,0.007891161202661742,0.09314855606438265,0.007478893030925919,3.0
7435_liver_sham_Male_10-U1,all_controls,172218,0.05509877016339756,0.2587264761020351,0.04962895864543776,8.0
7435_liver_sham_Male_10-U1,neg_probe_rate,172218,6.519930667506639e-06,0.00014700633945513203,0.0063059610493676616,0.03225806451612903
7239_liver_sbr_Male_52-U1,neg_control_probe,83392,0.016104662317728318,0.128983506672799,0.015720932463545664,3.0
7239_liver_sbr_Male_52-U1,neg_control_codeword,83392,0.11124568303914044,0.3679624526216052,0.09598042977743669,6.0
7239_liver_sbr_Male_52-U1,genomic_control,83392,0.012459228702993094,0.11527056898646183,0.012027532617037606,4.0
7239_liver_sbr_Male_52-U1,all_controls,83392,0.13980957405986186,0.4212630869779168,0.11696565617805066,6.0
7239_liver_sbr_Male_52-U1,neg_probe_rate,83392,1.0565977757379001e-05,0.00011860838999589083,0.015720932463545664,0.005847953216374269
7448_liver_sbr_Male_10-U1,neg_control_probe,187536,0.008883627676819383,0.09630136071079447,0.008659670676563433,3.0
7448_liver_sbr_Male_10-U1,neg_control_codeword,187536,0.06431831754969712,0.2740071977226585,0.05818082928077809,7.0
7448_liver_sbr_Male_10-U1,genomic_control,187536,0.00852103062878594,0.09448984349389385,0.008291741319000085,3.0
7448_liver_sbr_Male_10-U1,all_controls,187536,0.08172297585530244,0.31448542718136363,0.07225812643972357,9.0
7448_liver_sbr_Male_10-U1,neg_probe_rate,187536,8.22899728886972e-06,0.00018676385632945117,0.008659670676563433,0.047619047619047616
7361_liver_sbr_Male_2-U1,neg_control_probe,193983,0.007315074001330014,0.08599765146412901,0.0072480578194996466,2.0
7361_liver_sbr_Male_2-U1,neg_control_codeword,193983,0.04410180273529124,0.2184589936661321,0.04160673873483759,5.0
7361_liver_sbr_Male_2-U1,genomic_control,193983,0.012774315275049875,0.11750367328483838,0.012222720547676858,4.0
7361_liver_sbr_Male_2-U1,all_controls,193983,0.06419119201167113,0.2677503646888188,0.05908765201074321,5.0
7361_liver_sbr_Male_2-U1,neg_probe_rate,193983,8.000171097449791e-06,0.0001942135478756221,0.0072480578194996466,0.047619047619047616
7450_liver_sbr_Male_10-U1,neg_control_probe,93197,0.004764101848771956,0.06994015020008511,0.004688992134939966,2.0
7450_liver_sbr_Male_10-U1,neg_control_codeword,93197,0.03058038348873891,0.18572874079189625,0.02857388113351288,5.0
7450_liver_sbr_Male_10-U1,genomic_control,93197,0.006749144285760272,0.08407384817653679,0.006566734980739723,2.0
