call,variant,label,scope,source,n,q25,median,q75,mean,frac_le_0,frac_gt_05,reject_rate_p05
cdkn1a_pos,N4_swap,"N4-swap rotation, snapped to nearest real cell positions",whole section,perm_nulls_c1_n7.csv (C1 re-run),192,0.9861663900863518,1.0110076688199006,1.0681170690430957,1.0434631337940978,0.0,0.9895833333333334,0.9427083333333334
cdkn1a_pos,N3_tile,N3-tile torus shift inside solid-tissue tiles,solid tiles,perm_nulls_c1_n7.csv (C1 re-run),168,0.8559019627776246,0.9845736785092667,1.0355736309082502,0.899227350488807,0.017857142857142856,0.9226190476190477,0.8630952380952381
cdkn1a_pos,N4_tile,N4-tile rotation inside solid-tissue tiles,solid tiles,perm_nulls_c1_n7.csv (C1 re-run),168,0.8214259756925962,0.9567029241842488,1.0296225784303288,0.889467860148719,0.011904761904761904,0.9047619047619048,0.8571428571428571
senepy_p95,N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_n7.csv (ORIGINAL),146,0.9923458063244207,0.9987082610026294,1.0043721465316704,0.997639083114977,0.0,1.0,0.958904109589041
senepy_p95,N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_n7.csv (ORIGINAL),146,0.9738025296150482,1.0152910704554916,1.0812344820632838,1.0231899632457544,0.00684931506849315,0.9931506849315068,0.9657534246575342
senepy_p95,N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1_n7.csv (C1 re-run),146,0.9944378698188913,1.000294911908289,1.0061113023896517,0.9992604285900551,0.0,1.0,0.952054794520548
senepy_p95,N3_occ,"N3-occ whole-section shift, <=5% of senders out of tissue",whole section,perm_nulls_c1_n7.csv (C1 re-run),146,0.033230361802276225,0.3847422050645881,0.7676815232501151,0.44107959644481887,0.1506849315068493,0.3835616438356164,0.6164383561643836
senepy_p95,N3_occ15,"N3-occ15 whole-section shift, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),146,0.8588452971153344,0.980683474806701,1.0742998368110743,0.9472686989710638,0.0,0.958904109589041,0.9383561643835616
senepy_p95,N3_swap,N3-swap senders relocated to random real cell positions,whole section,perm_nulls_c1_n7.csv (C1 re-run),146,0.8584971226718439,0.9288381632151674,0.9903449047195603,0.9526235748796544,0.00684931506849315,0.952054794520548,0.9315068493150684
senepy_p95,N3_snap,"N3-snap whole-section shift, snapped to nearest real cell (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),146,0.9811391596105145,1.0033133589986098,1.0257331211049168,1.0020686635934803,0.0,1.0,0.9726027397260274
senepy_p95,N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1_n7.csv (C1 re-run),146,0.9715518938514495,1.0106331493923841,1.0755238739139295,1.0228526782206457,0.00684931506849315,0.9931506849315068,0.9726027397260274
senepy_p95,N4_occ,"N4-occ whole-section rotation, <=5% of senders out of tissue",whole section,perm_nulls_c1_n7.csv (C1 re-run),146,0.02050730150230615,0.3405751708283727,0.6564076672504642,0.3940816057176534,0.1506849315068493,0.3904109589041096,0.363013698630137
senepy_p95,N4_occ15,"N4-occ15 whole-section rotation, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),146,0.7655111301205819,0.9225542137032183,1.0313089699348037,0.8650580474362938,0.00684931506849315,0.863013698630137,0.7808219178082192
senepy_p95,N4_swap,"N4-swap rotation, snapped to nearest real cell positions",whole section,perm_nulls_c1_n7.csv (C1 re-run),146,0.9841850296337427,1.0155032631180878,1.0788476824798914,1.0271424351744283,0.00684931506849315,0.9931506849315068,0.9657534246575342
senepy_p95,N3_tile,N3-tile torus shift inside solid-tissue tiles,solid tiles,perm_nulls_c1_n7.csv (C1 re-run),134,0.842622690688784,1.0005369494266834,1.0631435943181449,0.9531552224328065,0.014925373134328358,0.9701492537313433,0.8880597014925373
senepy_p95,N4_tile,N4-tile rotation inside solid-tissue tiles,solid tiles,perm_nulls_c1_n7.csv (C1 re-run),134,0.8247069203723285,0.964395494051758,1.0521291045931331,0.9268098039643596,0.007462686567164179,0.9776119402985075,0.8805970149253731
senepy_p99,N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_n7.csv (ORIGINAL),103,0.9898894989523939,1.0043027139700569,1.0120800900746834,1.0031391502575233,0.0,1.0,0.8058252427184466
senepy_p99,N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_n7.csv (ORIGINAL),103,0.9609742018360368,1.008481288656671,1.0685515225614526,1.035294537707664,0.0,1.0,0.8446601941747572
senepy_p99,N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1_n7.csv (C1 re-run),103,0.9915058356799957,1.004826191175888,1.0141211645118424,1.0031701618589834,0.0,1.0,0.8155339805825242
senepy_p99,N3_occ,"N3-occ whole-section shift, <=5% of senders out of tissue",whole section,perm_nulls_c1_n7.csv (C1 re-run),103,0.061199544498391815,0.3897445393309612,0.7077681773655129,0.4243255408955808,0.20388349514563106,0.42718446601941745,0.5145631067961165
senepy_p99,N3_occ15,"N3-occ15 whole-section shift, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),103,0.8637872722129056,0.9775531495625152,1.079430019471745,0.9335600945124964,0.0,0.9029126213592233,0.8543689320388349
senepy_p99,N3_swap,N3-swap senders relocated to random real cell positions,whole section,perm_nulls_c1_n7.csv (C1 re-run),103,0.840146383820235,0.9267352554057512,0.9819822124833565,0.9317693475894607,0.009708737864077669,0.9902912621359223,0.9223300970873787
senepy_p99,N3_snap,"N3-snap whole-section shift, snapped to nearest real cell (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),103,0.9482321981593024,0.9960358570605734,1.0349854104581833,0.9898767390089842,0.0,1.0,0.8640776699029126
senepy_p99,N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1_n7.csv (C1 re-run),103,0.9546566929368006,1.0008764768663116,1.0603169553824774,1.0317152450224476,0.0,1.0,0.8349514563106796
senepy_p99,N4_occ,"N4-occ whole-section rotation, <=5% of senders out of tissue",whole section,perm_nulls_c1_n7.csv (C1 re-run),103,3.830887867478963e-16,0.2994888271268991,0.5450988963391163,0.33105392628789293,0.1941747572815534,0.32038834951456313,0.24271844660194175
senepy_p99,N4_occ15,"N4-occ15 whole-section rotation, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),103,0.6994375625194869,0.9113703307476986,1.0112763105094404,0.8298050642509122,0.009708737864077669,0.8349514563106796,0.5242718446601942
senepy_p99,N4_swap,"N4-swap rotation, snapped to nearest real cell positions",whole section,perm_nulls_c1_n7.csv (C1 re-run),103,0.9619399577904963,1.003845945966945,1.0421528819866983,1.0229322521469373,0.0,1.0,0.912621359223301
senepy_p99,N3_tile,N3-tile torus shift inside solid-tissue tiles,solid tiles,perm_nulls_c1_n7.csv (C1 re-run),91,0.7706662950120912,0.9973026075968008,1.0900594681500184,0.9605905159363736,0.02197802197802198,0.8901098901098901,0.6263736263736264
senepy_p99,N4_tile,N4-tile rotation inside solid-tissue tiles,solid tiles,perm_nulls_c1_n7.csv (C1 re-run),91,0.7493152420096898,0.9791284514536136,1.096111819668484,0.9695696181985037,0.02197802197802198,0.9010989010989011,0.6703296703296703
tierA_p90,N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_n7.csv (ORIGINAL),181,0.994492241605033,1.0009783855960332,1.0065163464723972,0.9995448146268203,0.0,1.0,0.9116022099447514
tierA_p90,N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_n7.csv (ORIGINAL),181,0.8517897530605332,0.9676482160719824,1.0494873294609288,0.9360740315624544,0.0,0.9558011049723757,0.9502762430939227
tierA_p90,N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1_n7.csv (C1 re-run),181,0.9937297343714036,1.0004582329652207,1.00583115667516,0.99915393256214,0.0,1.0,0.9171270718232044
tierA_p90,N3_occ,"N3-occ whole-section shift, <=5% of senders out of tissue",whole section,perm_nulls_c1_n7.csv (C1 re-run),181,7.13507573860009e-15,0.5782032311711788,0.8283019977335891,0.4924325795440647,0.14917127071823205,0.5303867403314917,0.5359116022099447
tierA_p90,N3_occ15,"N3-occ15 whole-section shift, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),181,0.8431043542422301,0.9481410041057754,1.0208008567514346,0.9246724306025635,0.0,0.9723756906077348,0.9281767955801105
