section,arm,caller,cell_type,bg_pct,call_pct,enrichment,n_called
7250_liver_sham_Male_26-U1,sham,deepscence_score,Proliferating,0.255,1.585,6.223,173
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Hepatocytes,55.69,36.706,0.659,584
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,LSECs,15.978,27.027,1.692,430
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Kupffer cells,8.792,8.988,1.022,143
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Hepatic stellate cells,7.751,3.583,0.462,57
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Biliary/ductular,3.185,4.84,1.519,77
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,vSMCs,3.174,5.783,1.822,92
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,T/NK cells,1.813,2.828,1.56,45
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Portal endothelial cells,1.496,1.823,1.218,29
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Central venous LSECs,1.117,1.697,1.519,27
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,B-cells,0.482,0.503,1.042,8
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Mesothelial cells,0.267,0.251,0.941,4
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Proliferating,0.255,5.971,23.441,95
7259_liver_sbr_Male_26-U1,SBR,tierA_score,Biliary/ductular,28.595,41.248,1.443,2366
7259_liver_sbr_Male_26-U1,SBR,tierA_score,Hepatocytes,26.24,6.363,0.243,365
7259_liver_sbr_Male_26-U1,SBR,tierA_score,Hepatic stellate cells,13.179,9.257,0.702,531
7259_liver_sbr_Male_26-U1,SBR,tierA_score,Kupffer cells,11.517,13.877,1.205,796
7259_liver_sbr_Male_26-U1,SBR,tierA_score,LSECs,11.3,7.374,0.653,423
7259_liver_sbr_Male_26-U1,SBR,tierA_score,T/NK cells,5.498,14.958,2.721,858
7259_liver_sbr_Male_26-U1,SBR,tierA_score,DC,2.412,4.759,1.973,273
7259_liver_sbr_Male_26-U1,SBR,tierA_score,B-cells,0.673,1.97,2.927,113
7259_liver_sbr_Male_26-U1,SBR,tierA_score,Proliferating,0.588,0.192,0.326,11
7259_liver_sbr_Male_26-U1,SBR,senepy_score,Biliary/ductular,28.595,0.0,0.0,0
7259_liver_sbr_Male_26-U1,SBR,senepy_score,Hepatocytes,26.24,4.167,0.159,132
7259_liver_sbr_Male_26-U1,SBR,senepy_score,Hepatic stellate cells,13.179,0.0,0.0,0
7259_liver_sbr_Male_26-U1,SBR,senepy_score,Kupffer cells,11.517,95.612,8.302,3029
7259_liver_sbr_Male_26-U1,SBR,senepy_score,LSECs,11.3,0.221,0.02,7
7259_liver_sbr_Male_26-U1,SBR,senepy_score,T/NK cells,5.498,0.0,0.0,0
7259_liver_sbr_Male_26-U1,SBR,senepy_score,DC,2.412,0.0,0.0,0
7259_liver_sbr_Male_26-U1,SBR,senepy_score,B-cells,0.673,0.0,0.0,0
7259_liver_sbr_Male_26-U1,SBR,senepy_score,Proliferating,0.588,0.0,0.0,0
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,Biliary/ductular,28.595,28.365,0.992,1627
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,Hepatocytes,26.24,64.505,2.458,3700
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,Hepatic stellate cells,13.179,1.22,0.093,70
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,Kupffer cells,11.517,0.872,0.076,50
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,LSECs,11.3,2.789,0.247,160
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,T/NK cells,5.498,0.75,0.136,43
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,DC,2.412,0.105,0.043,6
