panel,section,celltype,module,series,bin_lo,bin_hi,n,value,lo,hi,sem
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,35.0,40.0,,-0.0004252482036551,-0.0011487006861409,0.0003064704046937,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,40.0,45.0,,-0.0004424939178958,-0.0012480970496516,0.0004455548433031,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,45.0,50.0,,-0.0004383849630514,-0.001368514536167,0.0005347489601457,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,50.0,55.0,,-0.0004456162537702,-0.0015779813442484,0.0006140720585989,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,55.0,60.0,,-0.0004509414333494,-0.0016110812857517,0.000783808909654,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,60.0,65.0,,-0.0004716556693123,-0.0018626702347778,0.0010229231779368,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,65.0,70.0,,-0.000418537382087,-0.0018961273364498,0.0012238515885879,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,70.0,75.0,,-0.0004599752752417,-0.0023050496788559,0.001438354760084,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,75.0,80.0,,-0.0004191381416651,-0.0023856277972178,0.0016100329667023,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,80.0,85.0,,-0.0004624557009204,-0.0026837851016724,0.0016806029915492,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,85.0,90.0,,-0.0004488137587123,-0.0025909763695963,0.0020389769220695,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,90.0,95.0,,-0.0003982532039811,-0.0026410691500662,0.0018456627455672,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,95.0,100.0,,-0.000413705439161,-0.0013650232836134,0.0006799983038942,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,0.0,5.0,,-0.0006125220634752,-0.0013836875933063,0.0001473237399204,
