section,arm,caller,stratum_kind,stratum,bg_pct,call_pct,enrichment
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,depth_quintile,Q4,20.0,22.69,1.135
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,depth_quintile,Q5_high,19.99,43.6,2.181
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,zonation_hepatocyte,periportal,33.33,28.83,0.865
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,zonation_hepatocyte,midzonal,33.33,44.49,1.335
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,zonation_hepatocyte,pericentral,33.33,26.68,0.8
7250_liver_sham_Male_26-U1,sham,tierA_score,depth_quintile,Q1_low,20.05,37.45,1.868
7250_liver_sham_Male_26-U1,sham,tierA_score,depth_quintile,Q2,19.95,26.14,1.31
7250_liver_sham_Male_26-U1,sham,tierA_score,depth_quintile,Q3,20.02,19.37,0.968
7250_liver_sham_Male_26-U1,sham,tierA_score,depth_quintile,Q4,20.02,11.5,0.575
7250_liver_sham_Male_26-U1,sham,tierA_score,depth_quintile,Q5_high,19.97,5.54,0.277
7250_liver_sham_Male_26-U1,sham,tierA_score,zonation_hepatocyte,periportal,33.33,25.81,0.774
7250_liver_sham_Male_26-U1,sham,tierA_score,zonation_hepatocyte,midzonal,33.33,30.91,0.927
7250_liver_sham_Male_26-U1,sham,tierA_score,zonation_hepatocyte,pericentral,33.33,43.28,1.298
7250_liver_sham_Male_26-U1,sham,senepy_score,depth_quintile,Q1_low,20.05,8.16,0.407
7250_liver_sham_Male_26-U1,sham,senepy_score,depth_quintile,Q2,19.95,14.4,0.722
7250_liver_sham_Male_26-U1,sham,senepy_score,depth_quintile,Q3,20.02,21.64,1.081
7250_liver_sham_Male_26-U1,sham,senepy_score,depth_quintile,Q4,20.02,26.71,1.334
7250_liver_sham_Male_26-U1,sham,senepy_score,depth_quintile,Q5_high,19.97,29.09,1.457
7250_liver_sham_Male_26-U1,sham,senepy_score,zonation_hepatocyte,periportal,33.33,30.18,0.905
7250_liver_sham_Male_26-U1,sham,senepy_score,zonation_hepatocyte,midzonal,33.33,44.59,1.338
7250_liver_sham_Male_26-U1,sham,senepy_score,zonation_hepatocyte,pericentral,33.33,25.23,0.757
7250_liver_sham_Male_26-U1,sham,deepscence_score,depth_quintile,Q1_low,20.05,39.52,1.971
7250_liver_sham_Male_26-U1,sham,deepscence_score,depth_quintile,Q2,19.95,26.98,1.352
7250_liver_sham_Male_26-U1,sham,deepscence_score,depth_quintile,Q3,20.02,19.63,0.981
7250_liver_sham_Male_26-U1,sham,deepscence_score,depth_quintile,Q4,20.02,11.19,0.559
