section,arm,week,band,call,n_cells,area_um2,median_depth,median_nn_um,n_senders,sender_prevalence,sender_density_per_um2,median_d_um,iqr_d_um,p90_d_um,poisson_median_pred_um,obs_over_poisson,panel,poisson_prediction_um,series,subset,n,slope,intercept,r2,ratio_median
7001_liver_sham_Male_52-U1,sham,52.0,in_band,tierA_p99,165961.0,49610625.0,842.0,10.441478507794104,1382.0,0.0083272576087153,2.7856935888229587e-05,89.52891730353711,73.99491174114449,171.33226395773514,88.9961300188835,1.0059866343012955,2d,88.9961300188835,observed,,,,,,
7001_liver_sham_Male_52-U1,sham,52.0,in_band,cdkn1a_pos,165961.0,49610625.0,842.0,10.441478507794104,9669.0,0.0582606757009176,0.0001948977663554,33.745708079654975,28.190523367086115,66.55246744623575,33.64607148025941,1.0029613145015763,2d,33.646071480267466,observed,,,,,,
7001_liver_sham_Male_52-U1,sham,52.0,in_band,senepy_p90,165961.0,49610625.0,842.0,10.441478507794104,10832.0,0.0652683461777164,0.0002183403252831,34.39346752352292,28.8259449072244,69.62319170261149,31.78855726005344,1.0819449037010214,2d,31.78855726005653,observed,,,,,,
7001_liver_sham_Male_52-U1,sham,52.0,in_band,senepy_p95,165961.0,49610625.0,842.0,10.441478507794104,5418.0,0.0326462241128939,0.0001092104765864,49.57933097368059,43.93245954508828,103.345984893571,44.94751054809225,1.1030495431027811,2d,44.94751054809569,observed,,,,,,
7001_liver_sham_Male_52-U1,sham,52.0,in_band,senepy_p99,165961.0,49610625.0,842.0,10.441478507794104,1086.0,0.0065437060514217,2.1890472051097927e-05,117.19649043437518,110.345343633786,256.35434791704574,100.39457157016984,1.1673588382461677,2d,100.39457157016984,observed,,,,,,
7248_liver_sham_Male_26-U1,sham,26.0,in_band,tierA_p90,224921.0,52858750.0,974.0,10.11196543125841,19443.0,0.0864436846715068,0.0003678293565398,23.84605043149461,18.99640036322294,46.17316604386016,24.491455778279736,0.973647734433267,2d,24.491455778280898,observed,,,,,,
7248_liver_sham_Male_26-U1,sham,26.0,in_band,tierA_p95,224921.0,52858750.0,974.0,10.11196543125841,9725.0,0.0432374033549557,0.0001839808924728,33.6666933170909,28.285323621907462,66.69846410008847,34.62991563699061,0.9721852536403288,2d,34.629915636996635,observed,,,,,,
7248_liver_sham_Male_26-U1,sham,26.0,in_band,tierA_p99,224921.0,52858750.0,974.0,10.11196543125841,1948.0,0.0086608186874502,3.685293352566983e-05,77.37006408804372,68.18744353276517,157.96094078638637,77.37519602390462,0.9999336746641738,2d,77.37519602390462,observed,,,,,,
7248_liver_sham_Male_26-U1,sham,26.0,in_band,cdkn1a_pos,224921.0,52858750.0,974.0,10.11196543125841,7696.0,0.0342164582231094,0.0001455955731075,40.31265429681629,32.3848731934255,77.47115864188815,38.92814498043273,1.0355657665444753,2d,38.92814498044268,observed,,,,,,
7248_liver_sham_Male_26-U1,sham,26.0,in_band,senepy_p90,224921.0,52858750.0,974.0,10.11196543125841,16341.0,0.0726521756527847,0.0003091446543855,30.16579120130495,25.212406564650117,63.11895094111844,26.715107343597985,1.1291660113255688,2d,26.715107343598348,observed,,,,,,
7248_liver_sham_Male_26-U1,sham,26.0,in_band,senepy_p95,224921.0,52858750.0,974.0,10.11196543125841,8173.0,0.0363372028401083,0.000154619623052,42.44172541843013,36.42165895053964,87.54169977442902,37.77508837897692,1.1235374221400989,2d,37.77508837897714,observed,,,,,,
7248_liver_sham_Male_26-U1,sham,26.0,in_band,senepy_p99,224921.0,52858750.0,974.0,10.11196543125841,1636.0,0.0072736649757025,3.095041029157897e-05,93.2738879355314,79.05858267738904,183.1099884235738,84.43151631452143,1.104728329029064,2d,84.43151631452143,observed,,,,,,
7352_liver_sham_Male_2-U1,sham,2.0,in_band,tierA_p90,139378.0,30130000.0,649.0,9.804628187284118,12190.0,0.087460000860968,0.0004045801526717,23.192898934755604,17.614526810490357,42.84058314333387,23.352614341947323,0.9931607054844892,2d,23.35261434194893,observed,,,,,,
7352_liver_sham_Male_2-U1,sham,2.0,in_band,tierA_p95,139378.0,30130000.0,649.0,9.804628187284118,6097.0,0.0437443498974013,0.0002023564553601,32.91079196627222,26.126161294211755,61.70396457699815,33.02016678086908,0.9966876359128436,2d,33.02016678086959,observed,,,,,,
7352_liver_sham_Male_2-U1,sham,2.0,in_band,tierA_p99,139378.0,30130000.0,649.0,9.804628187284118,1224.0,0.00878187375339,4.062396282774643e-05,76.63793004943173,63.740655470622926,147.2443173242578,73.6964640772077,1.0399132578347643,2d,73.6964640772077,observed,,,,,,
7352_liver_sham_Male_2-U1,sham,2.0,in_band,cdkn1a_pos,139378.0,30130000.0,649.0,9.804628187284118,7253.0,0.052038341775603,0.000240723531364,30.44977779890678,24.26678928149306,59.2174807523655,30.274607493734447,1.0057860471092346,2d,30.27460749374004,observed,,,,,,
7352_liver_sham_Male_2-U1,sham,2.0,in_band,senepy_p90,139378.0,30130000.0,649.0,9.804628187284118,10329.0,0.0741078218944166,0.0003428144706272,27.953994396287484,26.02689905405995,64.75377844175226,25.369284645173224,1.1018834305840794,2d,25.36928464517625,observed,,,,,,
7352_liver_sham_Male_2-U1,sham,2.0,in_band,senepy_p95,139378.0,30130000.0,649.0,9.804628187284118,5166.0,0.0370646730473962,0.0001714570195818,39.66434181077807,38.33294983360777,93.5622606891682,35.87237732592353,1.1057070862742693,2d,35.8723773259248,observed,,,,,,
7352_liver_sham_Male_2-U1,sham,2.0,in_band,senepy_p99,139378.0,30130000.0,649.0,9.804628187284118,1035.0,0.0074258491297048,3.435114503816794e-05,88.91601276261537,88.14042179826946,213.9415820373233,80.14329336326605,1.1094629261064322,2d,80.14329336326605,observed,,,,,,
7435_liver_sham_Male_10-U1,sham,10.0,in_band,tierA_p90,172218.0,41241250.0,770.0,10.611853078719262,13915.0,0.0807987550662532,0.0003374049040705,25.779862220191745,19.50002420230868,47.66539632169607,25.571847090534355,1.0081345367396002,2d,25.571847090536643,observed,,,,,,
7435_liver_sham_Male_10-U1,sham,10.0,in_band,tierA_p95,172218.0,41241250.0,770.0,10.611853078719262,6960.0,0.0404138940180468,0.0001687630709544,36.62543530579791,28.88247933939637,67.87316520515725,36.15755740624035,1.0129399752948136,2d,36.15755740624516,observed,,,,,,
