section,arm,week,call,celltype,module,n,lam,n_perm,beta_obs,sender_set,N1_null_mean,N1_null_sd,N1_null_lo,N1_null_hi,N1_sf,N1_p,N3_null_mean,N3_null_sd,N3_null_lo,N3_null_hi,N3_sf,N3_p,N4_null_mean,N4_null_sd,N4_null_lo,N4_null_hi,N4_sf,N4_p
7352_liver_sham_Male_2-U1,sham,2,senepy_p95,T/NK cells,tnfa_nfkb_proximal,2613,6.999999999999999,1000,0.019827766584458322,A_SENDER_FINAL_strict,0.001367707374196784,0.0029068251950505543,-0.004210300176018625,0.007168675741269864,0.9310206034365545,0.0,0.0009542349224408884,0.009858235082264572,-0.016445009842982403,0.022312135515120932,0.9518738069476341,0.047,-0.001048302135128246,0.008261688680837273,-0.015962403928428754,0.016082313452742688,1.0528704093152852,0.007
7352_liver_sham_Male_2-U1,sham,2,senepy_p95,vSMCs,downstream_arrest,3357,49.99999999999999,1000,-0.000606803156614902,A_SENDER_FINAL_strict,0.000615375113882391,0.0019870680480359626,-0.0034621710618176417,0.004364761747780766,2.0141264216806456,0.78,-6.328066438957386e-05,0.0014237530136317843,-0.0026709174163076694,0.002611043570028063,0.895714675014893,0.686,0.0006513571698084409,0.001383989161740619,-0.0018426365008108298,0.003153256439617415,2.073424161868384,0.699
7352_liver_sham_Male_2-U1,sham,2,senepy_p95,vSMCs,emt_ecm,3357,6.999999999999999,1000,0.0807880316963494,A_SENDER_FINAL_strict,-0.06493282428713863,0.029738681656659247,-0.1241176157795294,-0.006318544895572624,1.803743115455464,0.293,-0.002065450365445033,0.02499398472209845,-0.054372935761307244,0.04235167106718396,1.0255662914676305,0.001,-0.005817326544720302,0.02801957352821105,-0.05686787366657471,0.05006880614111912,1.072007281556077,0.0
7352_liver_sham_Male_2-U1,sham,2,senepy_p95,vSMCs,il6_jak_stat3,3357,6.999999999999999,1000,-0.012254326695136626,A_SENDER_FINAL_strict,0.0073520189173222434,0.013250902576623133,-0.01897754504364658,0.033101811319274144,1.5999529064489555,0.413,0.00032637614315279666,0.011175420573116244,-0.02248332158294866,0.02258519226352493,1.026633543504461,0.261,5.173769301566869e-05,0.009209903989235825,-0.015936933738169907,0.019160437184965694,1.0042219939375536,0.18
7352_liver_sham_Male_2-U1,sham,2,senepy_p95,vSMCs,interferon_response,3357,11.58882939190469,1000,0.005121379947158768,A_SENDER_FINAL_strict,0.001857046298841862,0.00794929994454217,-0.013220145816050605,0.01707212778512712,0.6373933748320877,0.542,-0.00019141109250358495,0.00852392660035856,-0.014079987740283666,0.019240240356658923,1.0373749056852883,0.523,5.2284389478270276e-05,0.006210073418990752,-0.010888701731080003,0.013289874621033076,0.9897909567308559,0.424
7352_liver_sham_Male_2-U1,sham,2,senepy_p95,vSMCs,oxidative_stress,3357,24.6860647223019,1000,0.028967853680124556,A_SENDER_FINAL_strict,0.01372107472266635,0.0068040624186355625,0.0010022792110182105,0.02685993551501194,0.526334436987278,0.01,-0.0006139742162101594,0.010056588012319288,-0.018967606204013186,0.019015604647826034,1.0211950192440877,0.0,-0.000494255161222218,0.009601648165426266,-0.018427316309663783,0.021264407275876973,1.017062194758369,0.0
7352_liver_sham_Male_2-U1,sham,2,senepy_p95,vSMCs,secondary_senescence,3357,12.818224546846722,1000,0.006414554576367316,A_SENDER_FINAL_strict,0.0007418958734993609,0.005609678827741258,-0.010567824372055746,0.011281120456643656,0.884341794170296,0.256,-0.00020067727405467852,0.006598996001582908,-0.013685326103849899,0.01159843242092061,1.0312846779406974,0.331,0.0027625445654544008,0.006967525472975002,-0.011557868509914157,0.015671510875869533,0.5693318167979666,0.423
7352_liver_sham_Male_2-U1,sham,2,senepy_p95,vSMCs,tnfa_nfkb_proximal,3357,7.361938632551805,1000,-0.016302411253388455,A_SENDER_FINAL_strict,-0.0026361729889995624,0.007936473274170965,-0.01973288931897368,0.012451213339302523,0.8382955166554498,0.051,-0.0002409408775483456,0.005778074180774357,-0.011287986992522656,0.011502532207463992,0.9852205373914693,0.006,0.0015563350902670112,0.005887746513320618,-0.0093036468067787,0.013966749809126818,1.095466558049413,0.01
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Biliary/ductular,downstream_arrest,2050,8.14292620081837,1000,-0.04205064125023214,A_SENDER_FINAL_strict,-0.0003731599741473109,0.011830298746187217,-0.023374697349125333,0.022615924919263952,0.9911259385575898,0.001,-0.0004922206288673008,0.011299887913915547,-0.023501950414626962,0.023148585669753446,0.9882945749640718,0.001,-0.00038805779424367216,0.00995343551058308,-0.02047139899564107,0.01876867232199622,0.9907716557297083,0.003
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Biliary/ductular,emt_ecm,2050,11.58882939190469,1000,0.03131762439410488,A_SENDER_FINAL_strict,-0.01516139073058787,0.016318370338926375,-0.045718682620616936,0.017292369907142138,1.4841168838285765,0.166,-0.00020586968239909986,0.017378390394216153,-0.03360297340926507,0.03331984259232406,1.006573604683689,0.077,0.001805015975226872,0.01346972758861901,-0.023243675150119762,0.02872778296913955,0.9423642115215277,0.027
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Biliary/ductular,il6_jak_stat3,2050,6.999999999999999,1000,0.03859381828787092,A_SENDER_FINAL_strict,-0.004663869925233276,0.02259835545659051,-0.04423250043841925,0.04232580192006476,1.1208449988142015,0.096,-6.641953474359535e-05,0.01917600660572885,-0.03548616955901363,0.042169637910911446,1.0017209889482344,0.048,-0.0020275000695814775,0.015818532169432645,-0.032015100356430036,0.02997071411827218,1.0525343218040353,0.013
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Biliary/ductular,interferon_response,2050,14.178039470333344,1000,-0.01457769623752853,A_SENDER_FINAL_strict,-0.001101307542071361,0.012440595628147148,-0.02015001367538986,0.02919633317642036,0.9244525661581439,0.223,-4.037901594594051e-05,0.014374618348532204,-0.019232174266831156,0.03684516760885576,0.9972300824980843,0.201,0.00034490727197274894,0.012738391948171323,-0.018421284882635013,0.03230292597107369,1.023659929961006,0.219
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Biliary/ductular,oxidative_stress,2050,49.99999999999999,1000,0.01305663316182285,A_SENDER_FINAL_strict,0.009157520667682773,0.009567004756035424,-0.008685251109659774,0.027511554850530275,0.2986307760825317,0.354,-0.0005009172190736896,0.009747675625802942,-0.020201152837212112,0.019313725806445754,1.0383649607724565,0.198,0.0016165430351046978,0.008118581941286802,-0.013207202764205358,0.017037591158338514,0.876189901709775,0.103
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Biliary/ductular,secondary_senescence,2050,49.99999999999999,1000,-0.0034809610981525376,A_SENDER_FINAL_strict,-0.0036918454682848675,0.0033796533965817226,-0.00976442750497544,0.0032314718326242036,-0.06058222547912221,0.538,0.00022819001343249358,0.004379925466343056,-0.0082585131948699,0.008054172503045147,1.0655537384642424,0.477,0.0022705313895268753,0.0036252458438754934,-0.005574694161814887,0.008696685979589785,1.6522714059435832,0.47
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Biliary/ductular,tnfa_nfkb_proximal,2050,12.818224546846722,1000,0.004067305685864088,A_SENDER_FINAL_strict,-0.005835842998356772,0.008314230150859461,-0.021855560598493317,0.010398135548912649,2.4348178988953872,0.702,-0.00011872212549995099,0.008977420703832825,-0.016144643448486956,0.01810683263740473,1.0291893785885258,0.651,-0.00019380257110131313,0.008006373787914045,-0.015222953087166338,0.01668886243557346,1.0476488825944097,0.584
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Endothelial,downstream_arrest,9155,49.99999999999999,1000,0.0012696052042270557,A_SENDER_FINAL_strict,0.0007498460601810846,0.000944482680367381,-0.0012238041291552633,0.002611094288811196,0.40938643155799287,0.321,-1.4501998010494622e-06,0.0015011864626414126,-0.003000116037430695,0.002753394927267536,1.001142244688523,0.432,-0.0004847989830313972,0.0011792854912992484,-0.002708468902279015,0.0019351268768998402,1.3818501857248973,0.346
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Endothelial,emt_ecm,9155,49.99999999999999,1000,-0.005147809131282995,A_SENDER_FINAL_strict,-0.0006022509324366323,0.0013915853358477896,-0.003295981581656758,0.0020552840140408255,0.8830083017692358,0.0,-0.00010013038729335286,0.0031170241736476713,-0.005578030244748884,0.006029323559284159,0.9805489316445581,0.101,0.002090842464577241,0.0028801234662383236,-0.0033997763396785385,0.006584440417295554,1.4061616138545794,0.127
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Endothelial,il6_jak_stat3,9155,6.999999999999999,1000,0.02969844020964604,A_SENDER_FINAL_strict,0.0005575828292389401,0.0046772971498895335,-0.008229508548063374,0.0098944591632319,0.9812251813461289,0.0,0.00058334044470849,0.015647201789222843,-0.02689024027173365,0.03546756383355646,0.9803578760167,0.058,0.0016276639641985705,0.012796229719216547,-0.021519837238761125,0.029393811972227804,0.9451936211899133,0.026
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Endothelial,interferon_response,9155,8.563960425689007,1000,0.02127941044990294,A_SENDER_FINAL_strict,0.0005877587737004069,0.003536552195487904,-0.006637020715725894,0.007195793760340928,0.9723789916509136,0.0,-0.00018309481963408458,0.009656870909558066,-0.01692981494260031,0.021061135545496074,1.0086043182476854,0.036,0.0006012260140438539,0.007450134883937568,-0.01250909486606122,0.016369018103004843,0.9717461150787382,0.005
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Endothelial,oxidative_stress,9155,49.99999999999999,1000,0.018046093689380226,A_SENDER_FINAL_strict,0.004864685983987653,0.0035766745084393936,-0.0020852577494056557,0.012142038891700194,0.7304299718420266,0.0,-0.0003326494590913869,0.009987093821136241,-0.018048881844463585,0.0157922360046685,1.018433322181362,0.032,-0.003119707918196316,0.007961736100461149,-0.016063061669687313,0.01322991603964102,1.172874416585358,0.011
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Endothelial,secondary_senescence,9155,49.99999999999999,1000,-0.005131030367961987,A_SENDER_FINAL_strict,-0.0016417724897084833,0.0016197917173451004,-0.004733465105462644,0.0014725857706491636,0.6800306425860065,0.017,-0.00018349912513374738,0.004362018485144109,-0.007576228972929743,0.007973508464134317,0.9642373730080588,0.255,0.0023809992472591996,0.0032661799277633064,-0.0043116024487008546,0.008041573794865548,1.4640392039240486,0.253
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Endothelial,tnfa_nfkb_proximal,9155,49.99999999999999,1000,-0.0018657102422230012,A_SENDER_FINAL_strict,-0.0009123629312542749,0.0015280497774282948,-0.0038864040452067437,0.0019044711126465154,0.5109835865149184,0.29,-1.256757970408378e-05,0.004481172299503245,-0.007034369728357409,0.007426470892440434,0.9932639166470408,0.831,0.002052152910653016,0.0032466755321334294,-0.003426396535314189,0.008471524505523558,2.0999312027187393,0.642
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Hepatocytes,downstream_arrest,42484,49.99999999999999,1000,0.0030024886814785925,A_SENDER_FINAL_strict,0.0006367282219022255,0.00046104396254413333,-0.00022011223813443286,0.0015270767222069963,0.7879331816203001,0.0,-6.163672273364142e-06,0.0008060849955414723,-0.0016059253517550218,0.0014857666191013669,1.0020528544574991,0.002,-0.00020887256934885463,0.0006526220375438718,-0.0012860617861926832,0.0014513925650767624,1.0695664801793672,0.001
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Hepatocytes,emt_ecm,42484,49.99999999999999,1000,-0.0019044493218335994,A_SENDER_FINAL_strict,-0.0009666908500733638,0.0007082784234410811,-0.0022508312788037345,0.0005103585929574444,0.49240400414402413,0.091,-3.4719646369223147e-06,0.0032142092276930064,-0.00491398364997229,0.005589031424629885,0.9981769193870806,0.716,0.001409991136547788,0.0022872417142089365,-0.003307929517216624,0.005110920408457431,1.7403668453567733,0.558
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Hepatocytes,il6_jak_stat3,42484,6.999999999999999,1000,0.023227058434237807,A_SENDER_FINAL_strict,0.0003847785526599771,0.001063795782626496,-0.0015870693612933138,0.0025399956083422453,0.98343403863432,0.0,0.00016234684243030694,0.003630431779859545,-0.005732636052510903,0.008488872936300887,0.9930104432771822,0.0,-0.0004162289466570498,0.0030188678226868173,-0.005078521609553144,0.0060715341433966105,1.0179200025623352,0.0
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Hepatocytes,interferon_response,42484,27.304873519796445,1000,0.010348221486801649,A_SENDER_FINAL_strict,0.0016341427321383418,0.0015287533144939676,-0.0012196647693867378,0.004774293077815023,0.8420846776209262,0.0,3.9894946892467546e-05,0.002566526265191238,-0.0042093810201022696,0.005555865689450512,0.9961447532850596,0.001,-0.00044296853726823345,0.0022017780845965756,-0.003863921392323532,0.0046825502017909,1.0428062481879814,0.001
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Hepatocytes,oxidative_stress,42484,49.99999999999999,1000,0.00972885029748669,A_SENDER_FINAL_strict,0.0034029373665460725,0.0018824001039544013,-0.0001524414862996869,0.007124368655326454,0.6502220444870888,0.001,-0.0002479368154989547,0.004342113821421098,-0.007726742014455238,0.00834320785533868,1.0254846983885657,0.016,2.6609420325152578e-05,0.004090507314547499,-0.005907094158410458,0.008265346230445695,0.9972648956956377,0.001
7352_liver_sham_Male_2-U1,sham,2,senepy_p99,Hepatocytes,secondary_senescence,42484,49.99999999999999,1000,-0.0019263527944953687,A_SENDER_FINAL_strict,-0.001083309755942911,0.00084653736248283,-0.0026845192250996575,0.000559768278647137,0.4376368861204901,0.16,-7.295445039574364e-05,0.0037908703853841096,-0.005752551436034757,0.006409594605329758,0.9621281986330781,0.766,0.0018940781469953102,0.0026425817292324793,-0.0035721601803623748,0.006214281576735672,1.9832457234249694,0.581
