section,arm,week,call,celltype,module,n,lam,n_perm,beta_obs,sender_set,N1_null_mean,N1_null_sd,N1_null_lo,N1_null_hi,N1_sf,N1_p,N1_full_null_mean,N1_full_sf,N3_null_mean,N3_null_sd,N3_null_lo,N3_null_hi,N3_sf,N3_p,N3_full_null_mean,N3_full_sf,N4_null_mean,N4_null_sd,N4_null_lo,N4_null_hi,N4_sf,N4_p,N4_full_null_mean,N4_full_sf,beta_obs_full
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,vSMCs,il6_jak_stat3,4974,49.99999999999999,1000,-0.009991931644239825,A_SENDER_FINAL_strict,-0.0007323020647509291,0.0035057838829029163,-0.007414294940719778,0.005880946960660594,0.9267106610789227,0.007,-0.00031570316576980296,0.9201948787803038,-0.00014186084443389507,0.004469286096947903,-0.009554233132829867,0.00874416874638466,0.9858024604766311,0.03,-1.3922857866197277e-05,0.9964805061202756,-0.0017939497948221744,0.0037259079928854393,-0.008155230242418345,0.006961233321584711,0.8204601613886785,0.028,-0.001398150461333915,0.6465681084380188,-0.003955926147905987
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,vSMCs,interferon_response,4974,49.99999999999999,1000,0.004985226268404837,A_SENDER_FINAL_strict,0.005367837973534346,0.0030293202819484427,-0.0006725010460183458,0.011074350003905666,-0.07674911519150293,0.547,-0.00015393037463588805,1.2486815229871262,4.205371169786807e-05,0.00472256293892726,-0.009938917546210688,0.00731483020021212,0.9915643324026444,0.306,-3.441566199892627e-05,1.0556000676328359,-0.0003786176883242095,0.0037460510164893457,-0.006895783797391124,0.00769483326817189,1.0759479445745115,0.196,-0.0006704271903460536,2.083105625784439,0.0006189859736537669
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,vSMCs,oxidative_stress,4974,49.99999999999999,1000,-0.010942074821521153,A_SENDER_FINAL_strict,-0.0025458447762879395,0.004643913767326494,-0.012016036234003796,0.006725684900477641,0.7673343659393823,0.035,0.0003025476064696478,1.1388492930255194,-0.00012666989536771093,0.00401774034507018,-0.008464260721203218,0.008187439169855733,0.9884235944796709,0.01,-1.7428701259052695e-05,0.9920013816125984,0.00044852583290320335,0.004291907081315305,-0.007313963731960323,0.009240553144659719,1.0409909308992322,0.009,0.0018188947907489834,1.8347521196094245,-0.0021789639678902926
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,vSMCs,secondary_senescence,4974,6.999999999999999,1000,-0.0029581028380058975,A_SENDER_FINAL_strict,0.001599797283495791,0.002110762612311899,-0.002673377195574772,0.005532642742194716,1.5408186838339397,0.276,0.00019593518146131245,1.0343438469186406,3.4029186858128914e-05,0.0057048876741887964,-0.01126976462795926,0.011764237240132671,1.0115037200265384,0.599,-0.00011569505750606741,0.9797207764598608,-0.0007259513396442154,0.004608352108988659,-0.008991947544821724,0.008775785670640773,0.7545888769257291,0.516,-0.00039013791089857237,0.9316159732564191,-0.005705102923544842
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,vSMCs,tnfa_nfkb_proximal,4974,12.18803582947357,1000,0.004035371317601509,A_SENDER_FINAL_strict,0.0009800294283530922,0.002076371615295511,-0.0029983100679830624,0.005080787220484641,0.7571402105976237,0.073,0.00010431251052312098,0.9616794519357789,4.2978969233378995e-05,0.004615198323960358,-0.00889190012143438,0.009347965330410352,0.9893494387874758,0.392,3.50929079898942e-05,0.987108166982119,0.0014937467936346227,0.003689480274863093,-0.005892431669704099,0.008689023473049685,0.6298365934457659,0.326,0.0006051463688095666,0.7776916652129091,0.002722103826602486
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,Biliary/ductular,downstream_arrest,21822,6.999999999999999,1000,-0.0010471390018614015,A_SENDER_FINAL_strict,0.00010860443832242754,0.0007002326273679998,-0.0012537732448171862,0.00154311676349726,1.1037153979838126,0.147,1.5738533046485573e-05,1.017761393352532,2.1786683519755086e-05,0.0020195626749927543,-0.003795736928103464,0.00399350537701097,1.0208059135234453,0.597,4.090187347861746e-05,1.0461589565916654,0.0012376650532868695,0.0019237731603968273,-0.0026536314550526627,0.0050670845501253805,2.1819491501002135,0.647,0.00029205100595260986,1.329588074085803,-0.0008861091432470306
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,Biliary/ductular,emt_ecm,21822,40.868941774896264,1000,0.003549188764336731,A_SENDER_FINAL_strict,0.00046187668514799596,0.0015320122913311872,-0.0025435746799663756,0.0035370172191269834,0.8698641532428295,0.03,-0.0004733046311537342,0.7531071799516617,0.00011692953169045192,0.004486029524001396,-0.007498552508714292,0.009461427080059127,0.9670545751566122,0.456,0.00013747228887342467,1.0717105197042436,0.003023280674385429,0.002567135811962764,-0.0014068591281936346,0.007389212383303737,0.14817698490307912,0.433,-0.0010622735718128187,0.4458796712629236,-0.0019170449390187507
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,Biliary/ductular,il6_jak_stat3,21822,12.818224546846722,1000,0.00810145834241073,A_SENDER_FINAL_strict,0.0029348088377029215,0.001067021758110213,0.0008976015545057081,0.005056327551003815,0.6377431428191954,0.0,0.00018112992015725378,0.7221035867234366,-8.388433609292255e-05,0.00218141095889022,-0.004414432873130377,0.004095407661668256,1.010354226677164,0.0,-7.189845949400305e-05,1.110309351410011,0.0004277302269806569,0.001884986831277475,-0.0028271423173142313,0.00428594785299516,0.947203304775202,0.0,-3.2803710608215755e-05,1.0503287005938673,0.0006517893412931266
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,Biliary/ductular,interferon_response,21822,7.361938632551805,1000,0.0017107107060859111,A_SENDER_FINAL_strict,0.0005767532692879622,0.0009009746328497632,-0.001251412810601853,0.0023590881347993766,0.6628575087323982,0.112,2.298261103382747e-05,1.0107952774341438,-4.126112325740672e-06,0.002904936047140573,-0.005920890389465871,0.005532149373976516,1.0024119287446216,0.551,-1.229333035351883e-05,0.9942256381765987,-0.0008403256751388918,0.0024282248617102245,-0.00556780895142546,0.00406828119565696,1.4912143661399937,0.492,-8.143540864540766e-05,0.9617485659920847,-0.0021289504761718586
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,Biliary/ductular,oxidative_stress,21822,6.999999999999999,1000,-0.0314105851142627,A_SENDER_FINAL_strict,-0.005914121915764048,0.0018968863443574002,-0.00956954879896164,-0.0020885758932568613,0.8117156399904628,0.0,5.155231072239266e-05,0.9541885806573731,0.00012035442199643417,0.006107627354173932,-0.011952414073745294,0.011892447848988736,1.0038316517046282,0.0,-4.667396738587002e-06,1.0041476330785875,-0.0036177379668005443,0.005754498320097862,-0.015336863451211397,0.007528183223390801,0.8848242414574498,0.0,-0.0010040408050290116,1.8922303134767773,0.0011253157283084674
