section,arm,week,call,celltype,module,bin_lo,bin_hi,n,mean_obs,sem_obs,n_decoy,mean_decoy
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,95.0,100.0,18.0,0.013058888725936413,0.007297007676364848,31.0,0.009222580383310185
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,0.0,5.0,679.0,0.02437435930359871,0.00108594605617901,2195.0,0.026464628686731047
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,5.0,10.0,4610.0,0.02766278743103549,0.0004071892908429436,4261.0,0.02911291949970457
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,10.0,15.0,4302.0,0.028502570907849842,0.00041965115221041793,4182.0,0.027689318494693072
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,15.0,20.0,4053.0,0.02751575129677458,0.0004242870204634598,4079.0,0.027450970834079498
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,20.0,25.0,3950.0,0.027415518990072756,0.000420251491530777,3720.0,0.026934588688497265
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,25.0,30.0,3396.0,0.02735053297722283,0.00045960300478998427,3250.0,0.027103443070406612
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,30.0,35.0,2844.0,0.02686864272105984,0.0004943265264853472,2655.0,0.026700395482866388
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,35.0,40.0,2208.0,0.02739616845340349,0.000570533419922401,2101.0,0.027407624969659834
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,40.0,45.0,1663.0,0.026126927221728297,0.0006378454403574083,1531.0,0.027077740047030136
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,45.0,50.0,1141.0,0.027656573179360395,0.000778094402310407,1055.0,0.0280057819935382
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,50.0,55.0,815.0,0.026415975420932897,0.0009088855117982541,779.0,0.027221258043822853
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,55.0,60.0,564.0,0.026945301441202822,0.0011479370133252165,501.0,0.027421257451235085
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,60.0,65.0,351.0,0.03163316236688915,0.0014428640833139134,299.0,0.025541371236345808
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,65.0,70.0,231.0,0.027945065026492025,0.0019030505440569047,189.0,0.025992222215069295
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,70.0,75.0,137.0,0.026786058458175006,0.0023386130805854903,124.0,0.026704677357150604
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,75.0,80.0,74.0,0.025810135263167763,0.002907061933778444,81.0,0.031031481486911896
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,80.0,85.0,39.0,0.029542820571432225,0.003752412663543894,54.0,0.02971407389203604
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,85.0,90.0,30.0,0.02788399995600533,0.0052317617995335745,32.0,0.02308093740430195
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,90.0,95.0,30.0,0.022650333148582526,0.004507523795158781,16.0,0.020736250480695162
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,95.0,100.0,18.0,0.04108944473490636,0.005737302147594099,31.0,0.029401290283027674
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,0.0,5.0,679.0,0.03810453614248227,0.002062868918630144,2195.0,0.046913047788182664
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,5.0,10.0,4610.0,0.051905275456420284,0.0007564919801462327,4261.0,0.051901192156966
