beta_obs,lam_obs,beta_true,lam_true,N1_p_beta,N1_null_beta_mean,N1_null_beta_q95,N1_null_lam_mean,N1_reject05,N1_surviving_beta,N1_surviving_frac,N3_p_beta,N3_null_beta_mean,N3_null_beta_q95,N3_null_lam_mean,N3_reject05,N3_surviving_beta,N3_surviving_frac,N4_p_beta,N4_null_beta_mean,N4_null_beta_q95,N4_null_lam_mean,N4_reject05,N4_surviving_beta,N4_surviving_frac,regime,beta_true_cfg,rep
0.9897827009887565,43.67627741608475,1.0,30.0,0.9303482587064676,2.292424713727038,3.2308161637366335,372.7522737321796,0.0,-1.3026420127382814,-1.31608888641617,0.009950248756218905,0.05244604844334678,0.5969205499601827,214.10862664616008,1.0,0.9373366525454098,0.9470125630696969,0.004975124378109453,-0.0949003949545892,0.6095981421810862,139.61204117375087,1.0,1.0846830959433458,1.095880029889174,confounded,1.0,1
1.4998205128691344,28.9270007207838,1.0,30.0,0.8805970149253731,2.7141976212561927,3.7583174796025736,364.58707863445505,0.0,-1.2143771083870583,-0.8096816238790953,0.004975124378109453,0.0045064082744487935,0.599247916219165,188.92292071973722,1.0,1.4953141045946856,0.9969953682885506,0.004975124378109453,0.1470431868551929,0.6304386704358008,142.5731447158636,1.0,1.3527773260139415,0.9019594774218006,confounded,1.0,2
2.2403257324136443,18.196732920264115,1.0,30.0,0.900497512437811,3.0018863720894378,3.9017835723400025,385.54157263779314,0.0,-0.7615606396757935,-0.3399329966429998,0.004975124378109453,0.08265864639909391,0.8473177443293,204.30119766907717,1.0,2.1576670860145506,0.963104183823287,0.004975124378109453,0.20616994141757516,0.9291159325493594,183.88138895724995,1.0,2.0341557909960692,0.9079732297698268,confounded,1.0,3
1.838143895850225,22.359625512058912,1.0,30.0,0.9552238805970149,3.2339442683179187,4.164798172484838,387.973540027314,0.0,-1.3958003724676937,-0.7593531581607068,0.004975124378109453,0.036465833640658814,0.6377250537794897,197.82812701488518,1.0,1.801678062209566,0.9801616001211962,0.004975124378109453,0.12913454203747313,0.5906813929089667,146.1279555090793,1.0,1.7090093538127518,0.9297473161219826,confounded,1.0,4
1.6263114220298978,26.09563408705545,1.0,30.0,0.9353233830845771,2.6617697850933366,3.4920445229263133,390.1945974786389,0.0,-1.0354583630634389,-0.6366913181800202,0.004975124378109453,0.07799775549937976,0.5773849296030396,178.89544824049364,1.0,1.548313666530518,0.952040086269562,0.004975124378109453,0.11804382876229759,0.6094752968560746,186.282495066794,1.0,1.5082675932676002,0.9274162210488813,confounded,1.0,5
1.6367420530453596,41.48373388526971,1.0,30.0,0.9800995024875622,3.079947302265988,3.9484537219574976,396.2732084140538,0.0,-1.4432052492206284,-0.8817548535124199,0.004975124378109453,0.09328000024368654,0.733088441704126,192.05573684222327,1.0,1.5434620528016731,0.9430087349010631,0.004975124378109453,0.26586489644561434,1.1961275448445607,250.86436157813026,1.0,1.3708771565997453,0.837564571673991,confounded,1.0,6
1.7757346098628857,23.54140081713384,1.0,30.0,0.9701492537313433,3.1547326383911267,4.228145559482318,394.6216710563655,0.0,-1.378998028528241,-0.7765788991603431,0.004975124378109453,0.024100273210734036,0.6657332943823606,193.98691360883888,1.0,1.7516343366521516,0.9864279982623108,0.004975124378109453,0.08608329121189662,1.0264908623627989,225.36723616228974,1.0,1.6896513186509892,0.9515224343019685,confounded,1.0,7
1.742928689810654,19.158486487496916,1.0,30.0,0.9054726368159204,2.513248757932633,3.391270723164749,385.9994143433746,0.0,-0.7703200681219791,-0.44196878083730673,0.004975124378109453,-0.01630659521785517,0.7421094764137045,185.8183841153432,1.0,1.7592352850285091,1.0093558590854492,0.004975124378109453,-0.1201675905575086,0.5057058200189051,267.8691463868956,1.0,1.8630962803681625,1.0689457872028965,confounded,1.0,8
1.8122589079960127,22.359625512058912,1.0,30.0,0.9900497512437811,3.1871956977054743,4.066819753987444,394.09998563183,0.0,-1.3749367897094615,-0.7586867326975151,0.004975124378109453,0.12665811591742338,0.654817476565675,184.20987261798192,1.0,1.6856007920785894,0.9301103637241981,0.004975124378109453,0.2872535809762983,0.8769621323622806,243.85713905044548,1.0,1.5250053270197146,0.841494181814263,confounded,1.0,9
1.33910441657847,32.065569585653414,1.0,30.0,0.9104477611940298,2.3233366011181027,3.261971591990279,375.9500980311077,0.0,-0.9842321845396327,-0.7349928596714159,0.004975124378109453,0.046594706401389796,0.6526373554115914,199.33719854339543,1.0,1.2925097101770802,0.9652045756667404,0.004975124378109453,0.40091492569091913,0.7682118439219082,200.42442499678913,1.0,0.9381894908875509,0.7006096606601506,confounded,1.0,10
2.0373870262363862,27.47486899050773,1.0,30.0,0.8805970149253731,2.8852898913552734,3.917913508862518,386.96195357118614,0.0,-0.8479028651188871,-0.4161717210328941,0.004975124378109453,-0.07489309868752311,0.5882388513725676,172.94096271949712,1.0,2.112280124923909,1.036759387255877,0.004975124378109453,0.16571057577225484,0.9473815816164196,170.1598619055794,1.0,1.8716764504641314,0.9186651462690583,confounded,1.0,11
