true_family,true_superposition,regime,rep,n,true_d_half,fit_family,fit_mode,lam,d_half,aic,beta,rss,k_params
exponential,False,confounded,3,11134,20.8,spline,nearest,,29.0,5478.635316891653,,18172.536263089347,11
exponential,False,confounded,3,11134,20.8,exponential,superposition,11.233560322437711,,5739.031592799522,1.0352729569081012,18619.270528104244,6
exponential,False,confounded,4,11221,20.8,exponential,nearest,27.887885547054015,19.400000000000002,5988.62144116907,1.8069618435844284,19110.482794326734,6
exponential,False,confounded,4,11221,20.8,gaussian,nearest,28.85524102134538,34.0,5979.726629076435,1.1971617245822628,19095.34004425104,6
exponential,False,confounded,4,11221,20.8,powerlaw,nearest,143.76022500068078,17.8,5994.2329295963245,1.9438594850657793,19116.634509439384,7
exponential,False,confounded,4,11221,20.8,step,nearest,42.06429250594897,42.2,6054.253633180765,0.7961309392385095,19222.588503407023,6
exponential,False,confounded,4,11221,20.8,spline,nearest,,30.900000000000002,5912.533783028901,,18964.427905338518,11
exponential,False,confounded,4,11221,20.8,exponential,superposition,20.909849747364827,,6167.516770523399,0.3934205160367689,19417.60106645239,6
exponential,False,confounded,5,11204,20.8,exponential,nearest,47.9563908048931,33.4,5781.810886772101,1.184139553884863,18747.681949437872,6
exponential,False,confounded,5,11204,20.8,gaussian,nearest,53.544961418556696,63.2,5819.63294772733,0.7387913913710781,18811.07664364927,6
exponential,False,confounded,5,11204,20.8,powerlaw,nearest,7.408766307851692,10.4,5776.591937349703,2.5260426388853303,18735.606353530915,7
exponential,False,confounded,5,11204,20.8,step,nearest,45.46139677689064,45.6,5899.637601002065,0.5813479187717748,18945.882050357308,6
exponential,False,confounded,5,11204,20.8,spline,nearest,,20.8,5729.235892371338,,18643.266904219883,11
exponential,False,confounded,5,11204,20.8,exponential,superposition,14.18093873026609,,5969.960276575231,0.5784041982923767,19065.171151889634,6
exponential,False,confounded,6,11094,20.8,exponential,nearest,39.725273974160935,27.6,5359.402727148027,1.736480713319206,17961.537796078497,6
exponential,False,confounded,6,11094,20.8,gaussian,nearest,39.45799564963394,46.6,5362.966633254252,1.1546586144606057,17967.30879998476,6
exponential,False,confounded,6,11094,20.8,powerlaw,nearest,203.79648868577934,25.0,5369.0369820682245,1.8653012293289135,17973.902150612324,7
exponential,False,confounded,6,11094,20.8,step,nearest,45.46139677689064,45.6,5499.378947303807,0.8231497423342643,18189.59946987793,6
exponential,False,confounded,6,11094,20.8,spline,nearest,,34.7,5319.975856947777,,17881.692125337177,11
exponential,False,confounded,6,11094,20.8,exponential,superposition,14.18093873026609,,5831.235939325699,0.7635293967055075,18741.928292141627,6
exponential,False,confounded,7,11193,20.8,exponential,nearest,22.88727796930875,16.0,5437.627241154688,1.656963255285072,18171.30791993858,6
exponential,False,confounded,7,11193,20.8,gaussian,nearest,25.090204885409573,29.6,5438.216350906542,1.0172704532445702,18172.264337021974,6
exponential,False,confounded,7,11193,20.8,powerlaw,nearest,110.63621496654433,13.600000000000001,5442.734041879146,1.887933724758003,18176.352364528015,7
exponential,False,confounded,7,11193,20.8,step,nearest,30.831655419554103,31.0,5494.643087841166,0.7012102016903863,18264.10661184203,6
exponential,False,confounded,7,11193,20.8,spline,nearest,,16.5,5430.776840239899,,18143.97266925999,11
exponential,False,confounded,7,11193,20.8,exponential,superposition,24.42357784516539,,5500.370470717774,0.2561939520643365,18273.454623903526,6
exponential,False,confounded,8,11342,20.8,exponential,nearest,24.43603963661615,17.0,5806.793456860611,1.8813733564801731,18901.682125632004,6
exponential,False,confounded,8,11342,20.8,gaussian,nearest,25.022243272244456,29.6,5825.9809458001555,1.1968150023578485,18933.685543262614,6
exponential,False,confounded,8,11342,20.8,powerlaw,nearest,115.26832414854995,14.200000000000001,5808.934733576372,2.1489699344328836,18901.917567723725,7
exponential,False,confounded,8,11342,20.8,step,nearest,26.39602135167994,26.400000000000002,5916.668818393816,0.8937360155467198,19085.68153818491,6
exponential,False,confounded,8,11342,20.8,spline,nearest,,11.8,5746.189147660137,,18784.384026759762,11
exponential,False,confounded,8,11342,20.8,exponential,superposition,33.321614053498976,,5830.8906029574555,0.16474404721932712,18941.88321802685,6
exponential,False,confounded,9,11309,20.8,exponential,nearest,31.687817673667524,22.0,6168.709634856551,1.490506104831655,19488.605860371234,6
exponential,False,confounded,9,11309,20.8,gaussian,nearest,31.084880682106757,36.6,6175.887396223093,0.968522978695581,19500.97909970403,6
exponential,False,confounded,9,11309,20.8,powerlaw,nearest,71.30041345265509,18.6,6169.898388608121,1.678939697650495,19487.207903757826,7
exponential,False,confounded,9,11309,20.8,step,nearest,36.012661273651375,36.2,6248.965070191166,0.694395392767814,19627.400579201316,6
exponential,False,confounded,9,11309,20.8,spline,nearest,,25.3,6154.868423995782,,19447.563987011952,11
exponential,False,confounded,9,11309,20.8,exponential,superposition,19.347360582543775,,6325.742770821756,0.3892326064346231,19761.10591762464,6
exponential,False,confounded,10,11188,20.8,exponential,nearest,64.32751620991445,44.6,5735.692797948872,1.4837127626795752,18657.629420108267,6
exponential,False,confounded,10,11188,20.8,gaussian,nearest,41.138113823330976,48.6,5798.241987761643,1.0793730129800305,18762.23148867562,6
exponential,False,confounded,10,11188,20.8,powerlaw,nearest,12.272473292956603,25.200000000000003,5699.482099186803,2.7103374241364344,18594.016172676773,7
exponential,False,confounded,10,11188,20.8,step,nearest,33.321614053498976,33.4,5947.833145431514,0.904110450364747,19014.779874215517,6
exponential,False,confounded,10,11188,20.8,spline,nearest,,35.300000000000004,5648.532860151252,,18496.302506098193,11
exponential,False,confounded,10,11188,20.8,exponential,superposition,19.347360582543775,,6079.935732252401,0.48257776926410817,19240.62808831527,6
exponential,False,confounded,11,11167,20.8,exponential,nearest,38.99864769779053,27.200000000000003,5785.928460383315,1.5070123905265649,18724.57228563216,6
exponential,False,confounded,11,11167,20.8,gaussian,nearest,36.050653289429626,42.6,5798.788658737248,1.014429022035306,18746.148395920154,6
exponential,False,confounded,11,11167,20.8,powerlaw,nearest,12.203291107109806,16.6,5778.752079260876,2.4182499064244185,18709.19185815382,7
exponential,False,confounded,11,11167,20.8,step,nearest,45.46139677689064,45.6,5917.944397390247,0.6761463360150319,18947.247249083706,6
exponential,False,confounded,11,11167,20.8,spline,nearest,,29.1,5723.618042502069,,18603.715535406143,11
exponential,False,confounded,11,11167,20.8,exponential,superposition,17.901628468571026,,6005.001070103313,0.5165346385445957,19095.535118711647,6
exponential,False,confounded,12,11200,20.8,exponential,nearest,26.59656217983911,18.6,5719.709616776836,1.8472849182887434,18640.789004735332,6
exponential,False,confounded,12,11200,20.8,gaussian,nearest,29.498103911562076,34.800000000000004,5726.245563156632,1.1441652185136144,18651.6703220395,6
exponential,False,confounded,12,11200,20.8,powerlaw,nearest,131.1723961831446,16.2,5724.43558524236,1.9925284527994307,18645.326539318958,7
exponential,False,confounded,12,11200,20.8,step,nearest,33.321614053498976,33.4,5828.9681760460435,0.816685498550725,18823.524022785918,6
exponential,False,confounded,12,11200,20.8,spline,nearest,,18.3,5709.8016825019295,,18607.6845418797,11
exponential,False,confounded,12,11200,20.8,exponential,superposition,13.121267647941632,,5896.47979818588,0.9285117444561659,18937.331562741754,6
exponential,False,confounded,13,11225,20.8,exponential,nearest,29.96688408085646,20.8,5958.2530546941025,1.6584184293338353,19062.02758173411,6
exponential,False,confounded,13,11225,20.8,gaussian,nearest,31.153917132258353,36.800000000000004,5966.962771141448,1.0667871086864993,19076.82395437737,6
exponential,False,confounded,13,11225,20.8,powerlaw,nearest,151.27335342176585,18.6,5961.2509711698785,1.8822988709631845,19063.722295049403,7
exponential,False,confounded,13,11225,20.8,step,nearest,38.92103695602845,39.0,6067.063422665584,0.7173608476367059,19247.70524251854,6
exponential,False,confounded,13,11225,20.8,spline,nearest,,19.3,5962.296016702011,,19051.914165534195,11
exponential,False,confounded,13,11225,20.8,exponential,superposition,10.394132182195595,,6217.002320041026,1.392495397274517,19506.532919188314,6
