gene,corr_zonation,detection_rate
Adcy2,-0.0010839254,0.0009567829580070774
Adcy3,-0.008041148,0.002497484927150827
Adcy8,0.0042635733,0.0002884419211638983
Adcyap1,-0.0019839818,0.0002040198954573915
Adcyap1r1,-0.017675132,0.005473361333305193
Add2,0.0011838891,0.0040100462210590744
Adgra2,-0.012576262,0.015885411170441035
Adgra3,0.025047483,0.11274561533103987
Adgrb1,-0.002611694,0.0006753762056520546
Adgre1,-0.05422172,0.04763512800489648
Adgre5,-0.044279043,0.048817036364787576
Adgrf1,0.044860125,0.005473361333305193
Adgrf5,-0.056354973,0.1387968454303061
Adgrg1,-0.010517705,0.008934664387271973
Adgrg2,0.1187385,0.006310546421561385
Adgrg5,-0.007316552,0.0010060291396692064
Adgrg6,-0.023448745,0.006845219251035929
Adgrg7,-0.00035943656,7.035168808875568e-05
Adgrl1,-0.00078473456,0.011924611131044089
Adgrl2,0.0070260484,0.08072152691303827
Adgrl3,-0.013230718,0.001013064308478082
Adgrv1,0.03380601,0.0055648185278205755
Adh5,-0.034249254,0.6616154154618941
Adipoq,0.0028801926,0.000506532154239041
Adipor1,-0.0448003,0.3770709778181127
Adm,-0.0035464037,0.004917582997404022
Adora1,-0.033948984,0.04041000963818127
Adora2a,-0.009291012,0.008723609323005706
Adora2b,-0.0026375046,0.0002884419211638983
Adprhl1,-0.00449329,0.0004010046221059074
Adra1a,0.022464009,0.018389931266400737
Adra1b,-0.021798167,0.09756372104148639
Adra2a,-7.230408e-05,0.0005346728294745432
Adrb1,0.0010732311,0.01435174437010616
Adrb2,0.011486546,0.010313557473811585
Adrb3,0.038002826,0.005536677852585073
Adtrp,0.06855255,0.30873838317750435
Aebp2,0.004934776,0.08251549495930155
Afap1l2,-0.008420963,0.006015069331588611
Afdn,0.014688585,0.0684451573415504
Afg3l2,-0.02893031,0.23586106948636232
Afp,0.004090725,0.002026128616956164
Ager,-0.0061047426,0.0030602984318608725
Agl,0.00977666,0.10540793426338264
Ago1,-0.02285097,0.07519188422926208
Ago2,-0.0011415413,0.06612355163462147
Ago3,-0.012730903,0.044532618560182355
Agpat3,-0.02689419,0.6355360446873922
Agpat4,-0.010577126,0.01274772588168253
Agps,8.17207e-05,0.04908437277952484
Agr3,0.0009153634,0.00061909485518105
Agrn,-0.008887264,0.030982883434288004
Agrp,0.004330573,0.0003025122587816495
Agt,-0.044698566,0.4000830149919447
Agtr1a,0.04632855,0.15535059763759032
Agtr1b,-0.0013208815,0.00014070337617751137
Agtr2,-0.003213614,5.628135047100455e-05
Agtrap,-0.0076973555,0.01076380827757962
Agxt2,0.04785516,0.0831627304897181
Ahi1,-0.0014703488,0.00395376487058807
Ahr,0.13220815,0.052215022899474474
Aicda,-0.0024647263,0.00021105506426626706
Aida,-0.0047197025,0.030504491955284468
Aif1,-0.050232396,0.04158488282926349
Aif1l,-0.0019387887,0.000408039790914783
Aifm1,0.0118732685,0.08433760368080032
Aim2,-0.008736171,0.0030954742759052504
Aip,-0.0013374803,0.051145677240525385
Aire,-0.0011764723,7.035168808875568e-05
Ajuba,-0.013402344,0.00884320719275659
Ak4,-0.20325036,0.25325200678190274
Akap5,0.0071158395,0.007035168808875569
Akap9,0.02150187,0.0763667574203443
Akip1,0.08504554,0.07225821883596097
Akr1b3,0.00028839533,0.017468324152438038
Akt1,-0.0014976076,0.16337772524851735
Akt1s1,-0.0054162093,0.1813596167240033
Akt2,0.0076773427,0.12400892059404965
Akt3,-0.006258115,0.004537683881724742
Aldh18a1,-0.025081025,0.012395967441238753
Aldh1a2,-0.0014382026,0.0016884405141301365
Aldh1a3,0.024067435,0.0017025108517478877
Aldh1l1,-0.04962365,0.5251190702320903
Aldh1l2,-0.009791404,0.0020331637857650396
Aldh2,0.16914216,0.4376859922753846
Aldh3a1,0.0031774824,0.00021809023307514265
Aldh4a1,0.14687133,0.5022969826160979
Aldh9a1,0.012899594,0.27898665428476954
Aldoa,-0.09166017,0.27124093342619754
Aldoc,-0.018596895,0.03727935951823164
Alg13,-0.0063851834,0.016476365350386584
Alk,-0.002655478,0.0001547737137952625
Alkbh5,-0.0022737507,0.1381636802375073
Alox12,0.0004697526,0.004593965232195746
Alox12b,-0.00037025413,7.035168808875568e-05
Alox12e,0.0006763658,0.0001547737137952625
Alox15,0.0034007155,0.0007527630625496859
Alox5,-0.003924025,0.004720598270755507
Alpl,-0.05786217,0.08034866296616787
Als2,0.043439616,0.16297672062641144
Alx1,0.0053942236,0.00019698472664851592
Alx4,-0.0046956455,0.00014070337617751137
Amacr,0.09092151,0.2447957338736343
Ambra1,0.0034756602,0.07880092582821525
Amd1,0.03470753,0.2083957704565121
Amelx,-0.0024842839,0.000506532154239041
Amer1,-0.0012722649,0.00970149778743941
Amfr,-0.023053527,0.8307338384584538
Amh,0.0026058115,0.001568842644379252
Amhr2,-0.0034732777,0.0005979893487544234
Amigo3,0.00014941728,0.0014140689305839893
Amy1,0.06206717,0.22720781185144537
Amy2a5,0.0062009827,0.02394067945660356
Anapc11,-0.0054658125,0.014809030342683072
Anapc15,-0.008208466,0.004115573753192208
Anapc16,0.013655057,0.12478278916302597
Anapc2,0.0008988056,0.08752453515122095
Anapc4,-0.019330269,0.04200699295779602
Anapc5,-0.011095013,0.2130600873767966
Ang,0.108295575,0.011783907754866579
Angpt1,0.0016410503,0.002595977290475085
Angpt2,-0.013033779,0.002462309083106449
Angpt4,-0.0042505125,0.00011959786975088468
Angptl3,-0.014905379,0.8345820757969088
Angptl4,-0.002575668,0.3806307732354038
Angptl8,-0.007725523,0.010623104901402109
Ank,-0.0051058354,0.16643802368037822
Ank1,0.004236751,0.008421097064224056
Ank2,-0.0058644665,0.00117487319108222
Ankle2,-0.007437246,0.10746220355557431
Ankrd11,0.012099852,0.08340192622921987
Ankrd13a,-0.01563112,0.10548532112028028
Ankrd13b,0.0017515199,0.01874872487565339
Ankrd13d,-0.00011922486,0.0010200994772869576
Anks6,0.004527673,0.0010412049837135841
Anln,0.0007835998,0.005424115151643064
Ano1,0.04040245,0.008231147506384416
Ano5,-0.0007286539,0.0003869342844881563
Anp32e,-0.00569157,0.027669318925307614
Anxa2,0.024668306,0.05441703073665253
Anxa6,-0.04257398,0.20143798850453418
Aox3,0.06852294,0.4727703791252471
Ap1b1,-0.036217857,0.10948833217253048
Ap1g1,-0.029577965,0.13133253132408912
Ap1s1,-0.0053691682,0.052193917393047844
Ap2a1,0.0061399234,0.03535172326459973
Ap2a2,-0.026536036,0.25229522382389563
Ap2b1,-0.025979916,0.1220390733275645
Ap3b1,-0.01221536,0.11752249495226638
Ap3b2,0.0029587706,0.0006120596863721745
Ap3m2,-0.012541701,0.00785828355951401
Ap3s2,0.030649459,0.03335373532287907
Ap4s1,-0.0043919743,0.04037483379413689
Ap5z1,0.003125112,0.023785905742808297
Apaf1,-0.022670057,0.01625827511731144
Apba1,-0.006594684,0.0018854252407786525
Apba3,0.0052027702,0.17089128553639646
Apc,-0.024870917,0.0892411163405866
Apc2,-0.000438372,0.000717587218505308
Apcs,-0.10658112,0.2076781832380068
Apex1,0.0019211272,0.005515572346158446
