regime,bin_um,n_cells,sender_curve,decoy_curve,diff_curve,truth
"hard  (kappa=3, ell/lam=4, conf=1)",265.0,137.875,0.025603821686459277,-1.3895358625335636,1.415139684220023,0.00014579145710750816
"hard  (kappa=3, ell/lam=4, conf=1)",275.0,118.375,-0.022199945304696392,0.3318276182330041,-0.3540275635377005,0.00010446414383170532
"hard  (kappa=3, ell/lam=4, conf=1)",285.0,104.58333333333333,0.023194492157283753,-0.8151212192767185,0.8383157114340023,7.48518298877006e-05
"hard  (kappa=3, ell/lam=4, conf=1)",295.0,93.41666666666667,-0.031812422906610294,-1.3268571188295315,1.2950446959229212,5.36336797682804e-05
"hard+ (kappa=4.5, ell/lam=4, conf=2)",5.0,40.958333333333336,1.7199261517789322,2.3693792904169193,-0.6494531386379871,0.8464817248906141
"hard+ (kappa=4.5, ell/lam=4, conf=2)",15.0,403.625,1.4875593235394828,2.2936649736669863,-0.8061056501275035,0.6065306597126334
"hard+ (kappa=4.5, ell/lam=4, conf=2)",25.0,366.3333333333333,1.124251895790189,2.1333042237921793,-1.0090523280019903,0.4345982085070782
"hard+ (kappa=4.5, ell/lam=4, conf=2)",35.0,368.25,0.8544494022893226,1.9267671992187236,-1.072317796929401,0.3114032239145977
"hard+ (kappa=4.5, ell/lam=4, conf=2)",45.0,375.4166666666667,0.6799818768122836,1.695906457231009,-1.0159245804187254,0.22313016014842982
"hard+ (kappa=4.5, ell/lam=4, conf=2)",55.0,384.3333333333333,0.5569299933538854,1.4642422045248384,-0.9073122111709531,0.1598797460796939
"hard+ (kappa=4.5, ell/lam=4, conf=2)",65.0,397.4166666666667,0.46388520648839915,1.2229211629169618,-0.7590359564285627,0.11455884399268773
"hard+ (kappa=4.5, ell/lam=4, conf=2)",75.0,409.375,0.3939451041662094,0.980311565225589,-0.5863664610593796,0.0820849986238988
"hard+ (kappa=4.5, ell/lam=4, conf=2)",85.0,412.1666666666667,0.3630702086812245,0.8056136317360945,-0.44254342305486993,0.05881647164242988
"hard+ (kappa=4.5, ell/lam=4, conf=2)",95.0,418.4583333333333,0.27913309123752283,0.5619393388614076,-0.28280624762388473,0.042143843509276406
"hard+ (kappa=4.5, ell/lam=4, conf=2)",105.0,423.8333333333333,0.19826923097030677,0.41362709106831386,-0.2153578600980071,0.0301973834223185
"hard+ (kappa=4.5, ell/lam=4, conf=2)",115.0,417.375,0.18855131996516197,0.26066400807833745,-0.07211268811317548,0.02163737071949309
"hard+ (kappa=4.5, ell/lam=4, conf=2)",125.0,412.4583333333333,0.15639397323717716,0.20952931925005602,-0.053135346012878865,0.015503853599009314
"hard+ (kappa=4.5, ell/lam=4, conf=2)",135.0,404.0416666666667,0.14733803793469538,0.16420003859586174,-0.01686200066116636,0.011108996538242306
"hard+ (kappa=4.5, ell/lam=4, conf=2)",145.0,390.0416666666667,0.12744857478595426,0.1700700595269221,-0.04262148474096786,0.00795994384870645
"hard+ (kappa=4.5, ell/lam=4, conf=2)",155.0,382.0416666666667,0.0755069868406659,0.06677034205266552,0.008736644788000375,0.005703548998007402
"hard+ (kappa=4.5, ell/lam=4, conf=2)",165.0,355.2916666666667,0.07566061027974627,-0.09373525960336426,0.16939586988311053,0.004086771438464067
"hard+ (kappa=4.5, ell/lam=4, conf=2)",175.0,342.3333333333333,0.09790580017400571,0.07234007242479468,0.025565727749211037,0.0029282996948181888
"hard+ (kappa=4.5, ell/lam=4, conf=2)",185.0,328.375,0.04439057042515843,-0.06503761691206855,0.10942818733722698,0.0020982184180809026
"hard+ (kappa=4.5, ell/lam=4, conf=2)",195.0,310.4583333333333,0.08493016482959995,0.2261049557980569,-0.14117479096845695,0.0015034391929775724
"hard+ (kappa=4.5, ell/lam=4, conf=2)",205.0,289.4583333333333,0.044410065794522724,-0.14227779060753853,0.18668785640206126,0.0010772612553122203
"hard+ (kappa=4.5, ell/lam=4, conf=2)",215.0,275.375,0.05508464075127911,0.13271164565814564,-0.07762700490686653,0.0007718914190992302
"hard+ (kappa=4.5, ell/lam=4, conf=2)",225.0,254.625,0.0028019382386094416,0.35884594087289146,-0.35604400263428204,0.0005530843701478336
"hard+ (kappa=4.5, ell/lam=4, conf=2)",235.0,232.33333333333334,0.0027598997058834174,-0.5242583916800361,0.5270182913859195,0.00039630226859990606
"hard+ (kappa=4.5, ell/lam=4, conf=2)",245.0,216.125,-0.0025958425096641313,0.1630592327223792,-0.16565507523204334,0.00028396298390325663
"hard+ (kappa=4.5, ell/lam=4, conf=2)",255.0,195.58333333333334,0.01175762162863836,0.22945845523953246,-0.2177008336108941,0.00020346836901064417
"hard+ (kappa=4.5, ell/lam=4, conf=2)",265.0,180.375,0.02594737858788515,0.9573648232429275,-0.9314174446550423,0.00014579145710750816
"hard+ (kappa=4.5, ell/lam=4, conf=2)",275.0,163.25,-0.016175713032444194,-0.9600581273535407,0.9438824143210964,0.00010446414383170532
"hard+ (kappa=4.5, ell/lam=4, conf=2)",285.0,147.04166666666666,-0.04655814438546407,-0.2805849627657018,0.2340268183802377,7.48518298877006e-05
"hard+ (kappa=4.5, ell/lam=4, conf=2)",295.0,133.58333333333334,-0.07743184477924607,0.06573917467094237,-0.14317101945018845,5.36336797682804e-05
