method,null,pair,n_interactions,n_real_sig,real_sig_rate,sig_survival,sig_survival_all,score_sf_median,score_sf_q25,score_sf_q75,n_rep_median
SpaTalk*,N0_type,Tgfb1->Tgfbr1/2,1344,633,0.47098214285714285,0.8307740916271722,0.46276785714285706,0.9651624447036273,0.9008322717863714,1.0169719983114456,100.0
SpaTalk*,N0_type,Il1a->Il1r1,1344,199,0.1480654761904762,0.7771356783919597,0.15277529761904762,0.9699511695599099,0.8449271728586742,1.0228535005307977,100.0
SpaTalk*,N3_lig,ALL,5022,1261,0.2510951812027081,0.8262014274385407,0.2641258462763839,0.9562130691027652,0.8448535978272881,1.0226429355512734,100.0
SpaTalk*,N3_lig,Ccl2->Ccr2,1344,248,0.18452380952380953,0.8163709677419354,0.18076636904761903,0.8504254045878219,0.7202421317432102,0.9333458507767901,100.0
SpaTalk*,N3_lig,Tnf->Tnfrsf1a/1b,990,181,0.18282828282828284,0.6780662983425415,0.19311111111111112,0.8661580567989724,0.6818329271243565,1.0141057257721797,100.0
SpaTalk*,N3_lig,Tgfb1->Tgfbr1/2,1344,633,0.47098214285714285,0.8663507109004739,0.4975744047619048,0.9798257339844475,0.9114038901950497,1.0296404211565278,100.0
SpaTalk*,N3_lig,Il1a->Il1r1,1344,199,0.1480654761904762,0.8454773869346733,0.16634672619047622,0.9932743488953166,0.929558218315235,1.0606674259047675,100.0
SpaTalk*,N3_type,ALL,5376,1310,0.24367559523809523,0.7615648854961833,0.23651971726190477,0.9341509399951147,0.7846566632101319,1.0065457959851791,100.0
SpaTalk*,N3_type,Ccl2->Ccr2,1344,248,0.18452380952380953,0.7042338709677418,0.16358630952380954,0.7629603545474968,0.5927076526858837,0.8866458170588225,100.0
SpaTalk*,N3_type,Tnf->Tnfrsf1a/1b,1344,230,0.17113095238095238,0.6234347826086956,0.1616517857142857,0.8587058196066291,0.6051370786374215,0.9971457784755052,100.0
SpaTalk*,N3_type,Tgfb1->Tgfbr1/2,1344,633,0.47098214285714285,0.8253238546603476,0.4637202380952381,0.9631496605899061,0.8970215235902121,1.0144327320078639,100.0
SpaTalk*,N3_type,Il1a->Il1r1,1344,199,0.1480654761904762,0.7898492462311558,0.15712053571428572,0.9794747404259464,0.858706485513713,1.0289564567535767,100.0
SpaTalk*,N4_lig,ALL,5022,1261,0.2510951812027081,0.832426645519429,0.2648586220629231,0.9633633187843404,0.8547355048171212,1.0262220903994275,100.0
SpaTalk*,N4_lig,Ccl2->Ccr2,1344,248,0.18452380952380953,0.8201209677419354,0.18001488095238094,0.8541350356220081,0.7340388976483099,0.9449022513944279,100.0
SpaTalk*,N4_lig,Tnf->Tnfrsf1a/1b,990,181,0.18282828282828284,0.690939226519337,0.193989898989899,0.8798463369057359,0.6895532932826439,1.024127150756398,100.0
SpaTalk*,N4_lig,Tgfb1->Tgfbr1/2,1344,633,0.47098214285714285,0.8727804107424961,0.5011979166666667,0.9874338300532447,0.9220383262618945,1.0325827987125002,100.0
SpaTalk*,N4_lig,Il1a->Il1r1,1344,199,0.1480654761904762,0.8480904522613064,0.16556547619047618,0.9994906620667715,0.9393026059933912,1.0599018153860706,100.0
