section,config,depth_decile,n,median_counts,mean_dz,mean_abs_dz,pct_called_committed,pct_called_alt,pct_flipped
7259_liver_sbr_Male_26-U1,dca,5,11567,449.0,-0.1786,0.6881,2.602,0.424,2.628
7259_liver_sbr_Male_26-U1,dca,6,11460,539.0,-0.1331,0.6568,2.426,0.567,2.714
7259_liver_sbr_Male_26-U1,dca,7,11435,658.0,-0.0525,0.6106,2.317,0.988,2.589
7259_liver_sbr_Male_26-U1,dca,8,11423,851.0,0.0838,0.5772,4.044,2.565,4.736
7259_liver_sbr_Male_26-U1,dca,9,11474,1325.0,0.4057,0.6317,9.77,12.114,14.093
7259_liver_sbr_Male_26-U1,dca,10,11467,2648.0,0.8126,0.8693,12.13,32.136,31.743
7352_liver_sham_Male_2-U1,dca,1,12317,183.0,-0.464,0.8982,2.184,1.185,2.687
7352_liver_sham_Male_2-U1,dca,2,12223,307.0,-0.2967,0.7862,3.739,3.346,5.04
7352_liver_sham_Male_2-U1,dca,3,12254,414.0,-0.1673,0.729,4.603,4.007,6.21
7352_liver_sham_Male_2-U1,dca,4,12212,526.0,-0.039,0.6974,5.527,5.011,7.787
7352_liver_sham_Male_2-U1,dca,5,12201,646.0,0.0486,0.6545,5.803,5.426,8.327
7352_liver_sham_Male_2-U1,dca,6,12242,782.0,0.1351,0.6285,5.971,5.841,9.231
7352_liver_sham_Male_2-U1,dca,7,12253,941.0,0.1793,0.6051,6.121,6.039,9.565
7352_liver_sham_Male_2-U1,dca,8,12217,1148.0,0.2256,0.5822,6.139,7.138,10.854
7352_liver_sham_Male_2-U1,dca,9,12232,1437.0,0.2285,0.5488,5.665,7.276,11.028
7352_liver_sham_Male_2-U1,dca,10,12229,2047.0,0.1531,0.4739,4.269,4.759,8.128
