section,config,cell_type,bg_pct,call_pct_committed,call_pct_alt,enrich_committed,enrich_alt
7259_liver_sbr_Male_26-U1,dca,DC,2.412,0.105,0.0,0.043,0.0
7259_liver_sbr_Male_26-U1,dca,B-cells,0.673,0.105,0.0,0.155,0.0
7259_liver_sbr_Male_26-U1,dca,Proliferating,0.588,1.29,0.017,2.196,0.03
7352_liver_sham_Male_2-U1,dca,Hepatocytes,60.851,97.238,100.0,1.598,1.643
7352_liver_sham_Male_2-U1,dca,LSECs,13.108,0.932,0.0,0.071,0.0
7352_liver_sham_Male_2-U1,dca,Kupffer cells,7.361,0.245,0.0,0.033,0.0
7352_liver_sham_Male_2-U1,dca,Hepatic stellate cells,6.95,0.49,0.0,0.071,0.0
7352_liver_sham_Male_2-U1,dca,vSMCs,3.378,0.18,0.0,0.053,0.0
7352_liver_sham_Male_2-U1,dca,Biliary/ductular,3.362,0.523,0.0,0.156,0.0
7352_liver_sham_Male_2-U1,dca,T/NK cells,2.509,0.229,0.0,0.091,0.0
7352_liver_sham_Male_2-U1,dca,DC,1.503,0.065,0.0,0.044,0.0
7352_liver_sham_Male_2-U1,dca,B-cells,0.572,0.065,0.0,0.114,0.0
7352_liver_sham_Male_2-U1,dca,Proliferating,0.407,0.033,0.0,0.08,0.0
