gene,mean_lognorm_expr,bin
Ccr3,0.000231,3
Ccr4,0.000219,3
Ccr5,0.020315,11
Ccr6,0.00059,4
Ccr7,0.00281,6
Ccr9,0.001415,5
Ccser2,0.02532,12
Cct3,0.078395,16
Cct5,0.220163,19
Cct7,0.107383,17
Cct8,0.193276,19
Cd109,0.00023,3
Cd14,0.039209,14
Cd151,0.091575,17
Cd160,0.002651,6
Cd163,0.091568,17
Cd177,0.002721,6
Cd180,0.008763,9
Cd19,0.001333,5
Cd1d1,0.219747,19
Cd2,0.004884,7
Cd200,0.007989,8
Cd200r1,0.004917,7
Cd207,0.024436,12
Cd209a,0.003858,7
Cd209b,0.00286,6
Cd209d,0.000341,4
Cd22,0.003749,7
Cd226,0.004498,7
Cd244a,0.003888,7
Cd247,0.002067,6
Cd248,0.004608,7
Cd24a,0.02542,12
Cd27,0.001031,5
Cd274,0.008951,9
Cd276,0.002178,6
Cd28,0.001682,6
Cd2ap,0.037082,13
Cd2bp2,0.016396,10
Cd300a,0.020109,11
Cd300lb,0.004571,7
Cd300ld,0.024777,12
Cd300lf,0.012312,9
Cd320,0.000734,4
Cd33,0.005952,8
Cd34,0.006751,8
Cd36,0.198268,19
Cd37,0.013754,10
Cd38,0.129908,18
Cd3d,0.00758,8
Cd3e,0.006486,8
Cd3eap,0.003253,7
Cd3g,0.007847,8
Cd4,0.002497,6
Cd40,0.003278,7
Cd40lg,0.001761,6
Cd44,0.026528,12
Cd47,0.204739,19
Cd48,0.025827,12
Cd5,0.001028,5
Cd53,0.031801,13
Cd55,0.169993,18
Cd59a,0.095989,17
Cd59b,0.0189,11
Cd5l,0.264411,19
Cd6,0.00263,6
Cd68,0.06769,16
Cd69,0.001819,6
Cd70,4e-05,0
Cd72,0.029468,12
Cd79a,0.003383,7
Cd79b,0.006688,8
Cd80,0.006278,8
Cd81,0.260515,19
Cd82,0.059179,15
Cd83,0.022209,11
Cd84,0.055355,15
Cd86,0.010165,9
Cd8a,0.003754,7
Cd8b1,0.002003,6
Cd9,0.018827,11
Cd93,0.021081,11
Cd96,0.001432,5
Cdc16,0.033433,13
Cdc20,0.002506,6
Cdc23,0.02804,12
Cdc25a,0.009258,9
Cdc27,0.02943,12
Cdc37,0.145721,18
Cdc42,0.019301,11
Cdc42bpb,0.08724,17
Cdc42ep4,0.086828,17
Cdc5l,0.011855,9
Cdc6,0.000787,5
Cdc73,0.040283,14
Cdca5,0.002138,6
Cdca8,0.002453,6
Cdcp1,0.003025,6
Cdh1,0.046479,14
Cdh10,0.00015,2
Cdh11,0.000367,4
Cdh12,0.000222,3
Cdh13,0.025377,12
Cdh16,0.000156,2
Cdh2,0.129828,18
Cdh20,0.000158,2
Cdh23,0.000178,2
Cdh26,0.000185,3
Cdh3,0.002942,6
Cdh4,0.00814,8
Cdh5,0.15874,18
Cdh6,0.001094,5
Cdh7,0.000212,3
Cdh8,7.8e-05,1
Cdh9,0.000308,3
Cdhr1,0.000126,2
Cdipt,0.066401,16
Cdk1,0.002641,6
Cdk2,0.016199,10
Cdk4,0.003494,7
Cdk5,0.017016,10
Cdk5r1,0.003849,7
Cdk5r2,7.8e-05,1
Cdk5rap2,0.015613,10
Cdk6,0.027422,12
Cdk7,0.006261,8
Cdk8,0.055567,15
Cdk9,0.06286,16
Cdkn1a,0.004711,7
Cdkn1b,0.093577,17
Cdkn1c,0.017652,11
Cdkn2a,0.004577,7
Cdkn2b,0.000424,4
Cdkn2c,0.011458,9
Cdkn2d,0.011027,9
Cdx1,0.00015,2
Cdx2,7.1e-05,0
Ceacam1,0.129237,18
Cebpa,0.225369,19
Cebpg,0.081137,17
Celf6,6.9e-05,0
Celsr1,0.035361,13
Celsr2,0.002966,6
Celsr3,0.000202,3
Cemip,9.7e-05,1
Cenpa,0.019447,11
Cenpe,0.001717,6
Cenpf,0.002541,6
Cenps,0.000472,4
Cenpu,0.002226,6
Cep104,0.012652,10
Cep152,0.008065,8
Cep164,0.014442,10
Cep250,0.024161,12
Cep290,0.006629,8
Cer1,8.3e-05,1
Cercam,0.004299,7
Cers1,0.000506,4
Cers2,0.231691,19
Cers4,0.024844,12
Cers5,0.011802,9
Cers6,0.011396,9
Cetn2,0.0199,11
Cetn3,0.039165,14
Cfap299,0.000179,2
Cfap36,0.028377,12
Cfap44,0.000117,2
Cfap45,0.000431,4
Cfap52,0.000195,3
Cfap53,0.000227,3
Cfap57,0.000185,3
Cfap61,0.000342,4
Cfap65,0.00015,2
Cfap69,0.000341,4
Cfb,0.683422,19
Cfc1,0.00012,2
Cfh,1.142647,19
Cflar,0.110003,17
Cftr,0.000817,5
Cga,2.7e-05,0
Cgas,0.001301,5
Cgn,0.056881,15
Ch25h,0.000423,4
Champ1,0.009183,9
Chat,5.6e-05,0
Chchd3,0.193124,19
Chd1,0.068356,16
Chd4,0.149963,18
Chd6,0.015496,10
Chd7,0.030763,13
Chek1,0.001329,5
Chek2,0.005631,8
Chia1,0.000132,2
Chic2,0.025883,12
Chil1,0.002249,6
Chil3,0.010693,9
Chil4,0.000145,2
Chka,0.0292,12
Chmp3,0.044108,14
Chmp4c,0.006994,8
Chrd,0.005234,7
Chrm1,0.000208,3
