gene,mean_lognorm_expr,bin
Hoxd1,0.000159,2
Hoxd10,0.000124,2
Hoxd11,8.1e-05,1
Hoxd12,8.7e-05,1
Hoxd13,0.000368,4
Hoxd3,0.000102,1
Hoxd4,0.000149,2
Hoxd9,0.000518,4
Hpcal4,9.1e-05,1
Hpd,1.15677,19
Hpgds,0.005532,8
Hprt,0.042473,14
Hps4,0.021267,11
Hps5,0.031351,13
Hps6,0.009883,9
Hpse,0.015078,10
Hpse2,0.000493,4
Hr,0.001777,6
Hras,0.008736,9
Hrg,0.545989,19
Hrh1,0.000679,4
Hrh3,3.2e-05,0
Hs3st2,0.000122,2
Hsd11b2,0.000186,3
Hsd17b3,0.000133,2
Hsd17b4,0.409147,19
Hsd17b7,0.092113,17
Hsf1,0.050174,15
Hsf2,0.036254,13
Hspa1b,0.210818,19
Hspa5,0.500253,19
Hspa9,0.326907,19
Hspb2,0.004861,7
Hspb3,7.7e-05,1
Hspd1,0.486501,19
Hspg2,0.124554,18
Hsph1,0.19586,19
Htr1a,9.7e-05,1
Htr1b,8.3e-05,1
Htr1d,0.00018,2
Htr1f,6.3e-05,0
Htr2a,0.000283,3
Htr2b,0.000107,1
Htr2c,5.7e-05,0
Htr3a,7.8e-05,1
Htr3b,3.4e-05,0
Htr4,0.000126,2
Htr7,0.000521,4
Htra2,0.010616,9
Htt,0.018461,11
Huwe1,0.067898,16
Hyou1,0.230095,19
Ibsp,0.001126,5
Icam1,0.043956,14
Ick,0.015146,10
Icos,0.007095,8
Icosl,0.006194,8
Id1,0.028746,12
Id2,0.178553,18
Id4,0.015358,10
Idh1,0.218501,19
Idh2,0.157197,18
Idi1,0.442788,19
Ido1,6.7e-05,0
Ido2,0.025013,12
Idua,0.015547,10
Ifi204,0.032822,13
Ifi208,0.007239,8
Ifi209,0.006709,8
Ifi27,0.058022,15
Ifi44,0.007064,8
Ifih1,0.026443,12
Ifit1,0.003968,7
Ifit3,0.011178,9
Ifnar1,0.041575,14
Ifnar2,0.04089,14
Ifnb1,6e-05,0
Ifng,0.000596,4
Ifngr1,0.066254,16
Ifngr2,0.027816,12
Ifnlr1,0.001275,5
Ift122,0.010879,9
Ift27,0.013324,10
Ift88,0.013346,10
Igdcc4,0.001296,5
Igf1,0.477255,19
Igf1r,0.02623,12
Igf2,0.006702,8
Igf2bp1,0.000125,2
Igf2r,0.040668,14
Igfbp1,0.102322,17
Igfbp2,0.346521,19
Igfbp3,0.123401,18
Igfn1,0.000148,2
Igha,0.011956,9
Ighd,0.003123,7
Ighm,0.023285,11
Igkc,0.017775,11
Igll1,0.000104,1
Igsf11,0.059002,15
Igsf21,0.002388,6
Igsf5,0.050501,15
Igsf8,0.014659,10
Igsf9b,0.000725,4
Igtp,0.010012,9
Ihh,0.000996,5
Ikbkb,0.068208,16
Ikbkg,0.078656,16
Ikzf1,0.017034,10
Ikzf2,0.008147,8
Il10,0.000453,4
Il10ra,0.043487,14
Il11,0.000308,3
Il11ra1,0.04854,15
Il12a,0.00023,3
Il12b,0.000528,4
Il12rb1,0.003209,7
Il12rb2,0.001862,6
Il13,4.8e-05,0
Il13ra1,0.077559,16
Il13ra2,0.004228,7
Il15,0.005055,7
Il15ra,0.041058,14
Il17a,0.000212,3
Il17f,4.7e-05,0
Il17ra,0.019621,11
Il17rb,0.008789,9
Il17rc,0.047041,14
Il18,0.012776,10
Il18r1,0.001888,6
Il18rap,0.005228,7
Il1a,0.035057,13
Il1f10,3.4e-05,0
Il1f5,8.9e-05,1
Il1r1,0.046914,14
Il1rap,0.149678,18
Il1rapl2,0.000148,2
Il1rl1,0.000338,4
Il1rn,0.006149,8
Il2,0.00029,3
Il21,0.000151,2
Il21r,0.003527,7
Il22,0.000495,4
Il22ra1,0.012934,10
Il22ra2,0.000201,3
Il23a,0.000235,3
Il23r,0.00028,3
Il25,5.3e-05,0
Il27,0.000592,4
Il27ra,0.009979,9
Il2ra,0.002017,6
Il2rb,0.01423,10
Il2rg,0.01603,10
Il3,6.8e-05,0
Il31,0.000131,2
Il33,0.006876,8
Il34,0.02661,12
Il3ra,0.000544,4
Il4,0.000185,3
Il4ra,0.05855,15
Il5,0.000139,2
Il5ra,0.000195,3
Il6,0.00061,4
Il6ra,0.091337,17
Il6st,0.300692,19
Il7,0.00098,5
Il7r,0.006344,8
Il9,0.000103,1
Ilf2,0.014578,10
Ilk,0.024441,12
Ilkap,0.059991,15
Immt,0.136015,18
Impact,0.04678,14
Impad1,0.040354,14
Ina,6.1e-05,0
Ing3,0.022363,11
Inha,0.001711,6
Inhba,0.009846,9
Inhbb,0.007508,8
Inka2,0.000548,4
Ino80d,0.087654,17
Inpp1,0.015501,10
Inpp4b,0.016954,10
Inpp5b,0.049866,15
Inpp5d,0.027358,12
Inpp5e,0.008636,9
Ins1,0.000183,2
Insl3,0.000823,5
Insm1,7e-05,0
Insr,0.178674,18
Insrr,0.000249,3
Ints11,0.016756,10
Ints4,0.019141,11
Invs,0.01741,11
Ipmk,0.082311,17
Ipo9,0.016202,10
Iqgap1,0.04279,14
Iqgap2,0.202396,19
Iqgap3,0.000595,4
Irak1,0.100538,17
Irak2,0.031184,13
Irak3,0.006946,8
Ireb2,0.08222,17
Irf1,0.08466,17
Irf3,0.111758,17
Irf4,0.003823,7
Irf5,0.025303,12
Irf7,0.00646,8
Irf8,0.035497,13
Irf9,0.076243,16
Irs1,0.033254,13
Irs2,0.046066,14
Irx2,0.000403,4
Irx3,0.001833,6
Irx4,7.7e-05,1
Irx5,0.000608,4
Irx6,4.5e-05,0
Isca1,0.081456,17
Isg15,0.021784,11
Isg20,0.015404,10
Isl1,0.000148,2
Isl2,0.000222,3
Itch,0.098098,17
Itga1,0.080839,17
Itga11,0.000752,5
Itga2,0.000815,5
Itga2b,0.011367,9
Itga3,0.013899,10
Itga4,0.017307,10
Itga5,0.060734,15
Itga6,0.002898,6
Itga7,0.004435,7
Itga8,0.018016,11
Itga9,0.088456,17
Itgae,0.002255,6
Itgal,0.044718,14
Itgam,0.011614,9
Itgav,0.046265,14
Itgax,0.002704,6
Itgb1,0.394471,19
Itgb2,0.033424,13
Itgb3,0.028877,12
Itgb4,0.005665,8
Itgb5,0.091963,17
Itgb6,0.001144,5
Itgb7,0.015877,10
Itgb8,0.006574,8
Itk,0.003358,7
Itln1,3.4e-05,0
Itpa,0.017625,11
Itpkb,0.06029,15
Itpr1,0.043469,14
Itpr2,0.043644,14
Itpr3,0.005258,7
Itsn1,0.111795,17
Itsn2,0.081803,17
Ivd,0.137314,18
Izumo1r,0.001439,5
Jade1,0.02866,12
Jade2,0.034495,13
Jade3,0.006055,8
Jag1,0.03972,14
Jag2,0.002726,6
Jak1,0.18384,18
Jak2,0.048165,15
Jak3,0.065987,16
Jam2,0.045054,14
Jam3,0.008895,9
Jaml,0.005274,7
Jarid2,0.028655,12
Jazf1,0.001947,6
Jchain,0.002993,6
Jmjd6,0.047011,14
Jph2,0.002324,6
Jpt1,0.043971,14
Jun,0.103716,17
Junb,0.067323,16
Jup,0.090706,17
Kansl2,0.062005,16
Kat14,0.055684,15
Kat2a,0.046734,14
Kat2b,0.145467,18
Kat5,0.022975,11
Kat6a,0.066579,16
Kat6b,0.010697,9
Kat8,0.047394,14
Katna1,0.025301,12
Katnal2,0.000156,2
Kcna10,8.8e-05,1
Kcna4,0.000108,1
Kcnab2,0.003266,7
Kcnab3,0.001309,5
Kcnc1,0.000383,4
Kcnc2,0.000104,1
Kcnc4,0.000309,3
Kcnf1,0.000117,1
Kcng1,0.000616,4
Kcng2,0.00215,6
Kcnh1,0.000223,3
Kcnh2,0.000404,4
Kcnh5,0.000103,1
Kcnh8,0.000155,2
Kcnj10,0.005286,7
Kcnj11,0.00012,2
Kcnj2,0.001805,6
Kcnj3,8.1e-05,1
Kcnj5,0.000539,4
Kcnj6,7.1e-05,1
Kcnj8,0.021451,11
Kcnj9,0.000914,5
Kcnk10,0.001499,5
Kcnk18,8.1e-05,1
Kcnk2,0.000641,4
Kcnk5,0.053506,15
Kcnma1,0.006685,8
Kcnmb2,0.000322,3
Kcnn2,0.033161,13
Kcnn4,0.009473,9
Kcnq1,0.034324,13
Kcnq3,0.00011,1
Kcns2,0.000127,2
Kcns3,0.002189,6
Kcnt2,0.009027,9
Kctd15,0.011233,9
Kdf1,0.000871,5
Kdm1a,0.011959,9
Kdm1b,0.024404,12
Kdm2a,0.064644,16
Kdm2b,0.006532,8
Kdm4a,0.030951,13
Kdm4b,0.022681,11
Kdm4c,0.021836,11
Kdm5a,0.053929,15
Kdm5b,0.048973,15
Kdm5c,0.055654,15
Kdm6a,0.019396,11
Kdm6b,0.071594,16
Kdm7a,0.031746,13
Kdm8,0.00604,8
Kdr,0.155404,18
Keap1,0.02675,12
Khdrbs1,0.049646,15
Khdrbs2,0.000276,3
Khsrp,0.05247,15
Kif19a,0.001038,5
Kif1b,0.171937,18
Kif1c,0.332055,19
Kif20a,0.002852,6
Kif20b,0.001873,6
Kif21b,0.019867,11
Kif24,0.001184,5
Kif2a,0.050143,15
Kif2b,5e-05,0
Kif2c,0.001294,5
Kif3a,0.003202,7
Kif3b,0.021196,11
Kif4,0.001781,6
Kif5a,0.0016,5
Kif5b,0.084988,17
Kif5c,0.000683,4
Kifap3,0.007684,8
Kirrel,0.008919,9
Kiss1,0.000315,3
Kiss1r,0.001967,6
Kit,0.0369,13
Kitl,0.020985,11
Kl,0.000208,3
Klb,0.034244,13
Klc1,0.063656,16
Klc2,0.021309,11
Klc3,0.003834,7
Klf1,0.009761,9
Klf10,0.028089,12
Klf11,0.041055,14
Klf12,0.045944,14
Klf15,0.157703,18
Klf17,0.0001,1
Klf4,0.019269,11
Klf5,0.00593,8
Klf6,0.052401,15
Klhl18,0.011927,9
Klhl21,0.05486,15
Klhl22,0.010683,9
Klhl3,0.035807,13
Klhl36,0.021134,11
Klhl41,0.000469,4
Klk11,0.000112,1
Klk1b4,0.001226,5
Klk5,3.7e-05,0
Klk6,3e-05,0
Klra8,0.001442,5
Klrb1,8.4e-05,1
Klrb1c,0.001817,6
Klrc1,0.003593,7
Klrd1,0.000443,4
Klrg1,0.0004,4
Klrk1,0.007547,8
Kmt2a,0.048787,15
Kmt2b,0.0629,16
Kmt2c,0.044513,14
Kmt2d,0.089248,17
Kmt2e,0.113839,18
Kmt5b,0.040323,14
Kmt5c,0.021319,11
Kndc1,8.9e-05,1
Knl1,0.001025,5
Knstrn,0.003964,7
Kpna2,0.02657,12
Kpnb1,0.139529,18
Kras,0.067341,16
Kremen1,0.004566,7
Kremen2,0.000423,4
Krit1,0.019109,11
Krt19,0.009637,9
Krt2,4.2e-05,0
Krt20,0.000135,2
Krt28,0.000124,2
Krt4,0.000404,4
Krt40,1.5e-05,0
Krt5,9.3e-05,1
Krt7,0.000596,4
Krt71,6.4e-05,0
Krt76,7.3e-05,1
Krt78,0.000249,3
Krt79,0.000198,3
Krt82,9.9e-05,1
Ksr2,0.003583,7
Kyat1,0.090029,17
L1cam,0.001046,5
L3hypdh,0.014673,10
L3mbtl2,0.019178,11
Lacc1,0.010731,9
Lag3,0.008306,8
Lama1,0.023896,12
Lama2,0.00796,8
Lama3,0.009265,9
Lama4,0.038727,14
Lama5,0.020263,11
Lamb1,0.020456,11
Lamb2,0.044444,14
Lamb3,0.007378,8
Lamc1,0.074299,16
Lamp1,0.723963,19
Lamp2,0.396163,19
Lamp3,0.000257,3
Lamp5,1.4e-05,0
Lamtor1,0.079442,16
Lamtor2,0.127774,18
Lamtor3,0.014694,10
Lamtor4,0.247954,19
Lamtor5,0.034678,13
Lancl2,0.01071,9
Laptm4b,0.048115,15
Large1,0.013791,10
Large2,0.001389,5
Lasp1,0.121025,18
Lat,0.014689,10
Lats1,0.065896,16
Lats2,0.03905,14
Lbr,0.037413,13
Lbx1,9.2e-05,1
Lck,0.010028,9
Lcp2,0.046332,14
Ldah,0.097419,17
Ldb1,0.131078,18
Ldb2,0.036122,13
Ldha,0.403841,19
Ldhb,0.019333,11
Ldlr,0.080451,17
Ldlrad4,0.015314,10
Lect2,0.131751,18
Lef1,0.001394,5
Lefty1,0.001323,5
Lefty2,0.000249,3
Leo1,0.017263,10
Lep,5.9e-05,0
Lepr,0.046848,14
Leprot,0.057873,15
Letmd1,0.060332,15
Lfng,0.034349,13
Lgals9,0.313478,19
Lgi3,0.000218,3
Lgr4,0.049253,15
Lgr5,0.004959,7
Lgr6,0.000658,4
Lhb,7e-05,0
Lhcgr,5.3e-05,0
Lhfpl5,0.000126,2
Lhx1,7.4e-05,1
Lhx2,0.01597,10
Lhx3,8.9e-05,1
Lhx4,0.000239,3
Lhx5,2.5e-05,0
Lhx6,0.014889,10
Lhx8,0.000131,2
Lhx9,0.000745,5
Lif,0.003491,7
Lifr,0.374408,19
Lig4,0.004192,7
Lilra5,0.040563,14
Lima1,0.094241,17
Limd1,0.050108,15
Limk1,0.017402,10
Limk2,0.01529,10
Lin28a,0.000292,3
Lin28b,0.000124,2
Lin7a,0.08095,17
Lin7c,0.069486,16
Lingo1,0.001288,5
Lipe,0.024541,12
Lipg,0.055349,15
Lipm,0.000148,2
Litaf,0.128663,18
Llgl2,0.026933,12
Lmna,0.048238,15
Lmnb1,0.01388,10
Lmnb2,0.006512,8
Lmo2,0.026093,12
Lmo4,0.06524,16
Lmx1a,5.3e-05,0
Lmx1b,0.00011,1
Lnpk,0.009619,9
Lox,0.001099,5
Loxl1,0.002456,6
Loxl4,0.006044,8
Lpar1,0.002291,6
Lpar2,0.007488,8
Lpar5,0.001693,6
Lpar6,0.070864,16
Lpin1,0.151919,18
Lpin2,0.25814,19
Lpin3,0.003373,7
Lpl,0.038351,14
Lpp,0.092018,17
Lrat,0.08401,17
Lratd2,0.020633,11
Lrig1,0.018382,11
Lrp1,0.693802,19
Lrp12,0.006097,8
Lrp2,0.000364,4
Lrp5,0.064215,16
Lrp6,0.123664,18
Lrp8,0.001321,5
Lrpprc,0.110391,17
Lrrc15,4.2e-05,0
Lrrc26,0.00068,4
Lrrc52,6.2e-05,0
Lrrc6,0.000134,2
Lrrk1,0.025186,12
Lrrk2,0.018252,11
Lrrtm1,0.000113,1
Lrrtm3,0.000564,4
Lsm14a,0.07621,16
Lsr,0.202296,19
Lss,0.049071,15
Lta,0.000284,3
Lta4h,0.064922,16
Ltb4r1,0.003812,7
Ltbp1,0.011779,9
Ltbr,0.076645,16
Ltf,0.074695,16
Luc7l3,0.087239,17
Lum,0.047811,14
Lurap1,0.0015,5
Lvrn,0.000287,3
Ly6g,0.000212,3
Ly6g5b,0.001531,5
Ly6g6d,0.000924,5
Ly6g6e,0.000854,5
Ly6h,0.000203,3
Ly6i,0.000195,3
Ly6k,0.000654,4
Ly6m,9e-05,1
Ly75,0.008799,9
Ly86,0.018072,11
Ly96,0.029494,12
Lyar,0.025989,12
Lyg1,7.2e-05,1
Lyn,0.054194,15
Lypd1,0.000314,3
Lypd6,0.001527,5
Lypd6b,0.000166,2
Lyplal1,0.023801,12
Lyst,0.049475,15
Lyve1,0.048046,15
Lyz2,0.29934,19
Lyzl6,5.7e-05,0
Lztr1,0.042365,14
Mad1l1,0.024905,12
Mad2l1,0.002089,6
Mad2l2,0.025253,12
Madcam1,7.9e-05,1
Mael,5.3e-05,0
Maf,0.221691,19
Maf1,0.041593,14
Mafa,0.000404,4
Mafb,0.099773,17
Maff,0.032465,13
Mafk,0.006839,8
Mag,0.001128,5
Mageb4,0.00015,2
Magoh,0.027121,12
Maip1,0.018017,11
Malt1,0.005745,8
Maml1,0.022546,11
Man2b2,0.078135,16
Maoa,0.012064,9
Maob,0.074011,16
Map1b,0.006207,8
Map1lc3a,0.09669,17
Map2,0.012414,9
Map2k1,0.076051,16
Map2k2,0.150223,18
Map2k3,0.031215,13
Map2k4,0.017035,10
Map2k5,0.021994,11
Map3k1,0.014838,10
Map3k11,0.059998,15
Map3k14,0.010759,9
Map3k15,0.005699,8
Map3k5,0.052324,15
Map3k7,0.068329,16
Map3k8,0.018102,11
Map4,0.064336,16
Map4k4,0.086036,17
Map6,0.000398,4
Map7,0.054144,15
Map9,0.000918,5
Mapk1,0.057266,15
Mapk10,0.000117,2
Mapk11,0.00644,8
Mapk14,0.067837,16
Mapk3,0.067551,16
Mapk7,0.010325,9
Mapk8,0.024209,12
Mapk8ip1,0.017592,11
Mapk8ip2,0.000212,3
Mapk9,0.073519,16
Mapkap1,0.071061,16
Mapkapk2,0.085299,17
Mapre1,0.046493,14
Mapre2,0.042033,14
Mapre3,0.092583,17
Mapt,0.041354,14
March2,0.100372,17
March5,0.112014,17
Marcks,0.093313,17
Marcksl1,0.110321,17
Marco,0.036639,13
Mark2,0.03534,13
Mark3,0.061888,16
Marveld2,0.010405,9
Mas1,0.000268,3
Mast2,0.043248,14
Mast3,0.053771,15
Matn1,7.8e-05,1
Mavs,0.074409,16
Max,0.06644,16
Maz,0.05384,15
Mbd2,0.197881,19
Mbd3,0.184929,18
Mbd5,0.0108,9
Mbl1,0.155927,18
Mbl2,0.222514,19
Mbnl1,0.16145,18
Mboat1,0.003618,7
Mboat7,0.103672,17
Mbtd1,0.038615,14
Mc1r,6.9e-05,0
Mc3r,3.3e-05,0
Mc4r,8.5e-05,1
Mc5r,7.8e-05,1
Mcam,0.033362,13
Mcl1,0.382231,19
Mcm2,0.005522,8
Mcph1,0.008558,9
Mctp2,0.016471,10
Mcu,0.041626,14
Mcub,0.000843,5
Mcur1,0.05293,15
Mdk,0.004957,7
Mdm2,0.038669,14
Mdm4,0.058599,15
Mdp1,0.029502,12
Me1,0.074367,16
Meaf6,0.01141,9
Mecom,0.010875,9
Mecp2,0.043019,14
Med1,0.047923,14
Med12,0.023239,11
Med14,0.030854,13
Med15,0.057818,15
Med21,0.041238,14
Med24,0.011292,9
Med6,0.019283,11
Medag,0.001107,5
Mef2a,0.091974,17
Mef2c,0.006883,8
Mef2d,0.110918,17
Megf11,0.000171,2
Mei4,7.6e-05,1
Meiob,0.001538,5
Meis1,0.015855,10
Meis2,0.080596,17
Meis3,0.012439,10
Memo1,0.052454,15
Men1,0.047569,14
Meox1,0.000853,5
Meox2,0.000241,3
Mep1a,5e-05,0
Mep1b,0.000225,3
Mepe,0.000111,1
Mertk,0.098036,17
Mesp1,0.000113,1
Mesp2,0.000334,3
Mest,0.021976,11
Met,0.084193,17
Metrnl,0.00332,7
Mettl14,0.010701,9
Mettl21c,0.000204,3
Mettl3,0.021403,11
Mettl7b,1.462948,19
Mfap5,0.000308,3
Mfn1,0.069046,16
Mfn2,0.096548,17
Mfrp,8.5e-05,1
Mfsd2a,0.197646,19
Mfsd2b,0.005613,8
Mia,0.000675,4
Mia2,0.468384,19
Mib1,0.150253,18
Micu1,0.020747,11
Micu2,0.050672,15
Miga1,0.005306,8
Miga2,0.065866,16
Minar2,0.000125,2
Mindy1,0.048902,15
Mip,8.2e-05,1
Misp,0.002857,6
Mitf,0.002457,6
Mixl1,0.000135,2
Mki67,0.016508,10
Mkks,0.013019,10
Mkln1,0.089395,17
Mknk1,0.040139,14
Mknk2,0.307053,19
Mkx,0.000847,5
Mlc1,6.1e-05,0
Mlec,0.062699,16
Mlf1,0.000749,5
Mlh1,0.011708,9
Mlkl,0.017691,11
Mllt10,0.035803,13
Mllt6,0.077846,16
Mlph,0.012232,9
Mlst8,0.009162,9
Mlx,0.026473,12
Mlxipl,0.16377,18
Mlycd,0.065065,16
Mmd2,0.00439,7
Mme,0.077858,16
Mmp12,0.003861,7
Mmp13,0.00208,6
Mmp14,0.080378,17
Mmp15,0.051919,15
Mmp16,0.000169,2
Mmp2,0.006932,8
Mmp25,0.001611,5
Mmp28,0.003535,7
Mmp3,0.00029,3
Mmp7,0.011912,9
Mmp9,0.005305,8
Mmrn1,0.002922,6
Mms19,0.030499,13
Mmut,0.090363,17
Mnx1,0.00011,1
Mob2,0.044556,14
Mog,0.000129,2
Mos,8.4e-05,1
Mov10l1,0.000116,1
Moxd1,0.000205,3
Mpc1,0.355945,19
Mpc2,0.205233,19
Mpi,0.013302,10
Mpl,0.000496,4
Mplkip,0.009946,9
Mpp2,0.004193,7
Mpp3,0.001983,6
Mprip,0.312072,19
Mrc1,0.176835,18
Mre11a,0.01291,10
Mrgprf,0.002159,6
Mrm3,0.007161,8
Mrnip,0.003604,7
Mrtfa,0.002211,6
Ms4a1,0.002351,6
Ms4a2,0.000196,3
Ms4a7,0.002646,6
Msh2,0.012853,10
Msi1,0.003411,7
Msln,0.002229,6
Msmb,0.002027,6
Msmo1,0.141177,18
Msn,0.106435,17
Msr1,0.042693,14
Msra,0.199688,19
Msrb1,0.121948,18
Mst1,0.128803,18
Mst1r,0.000695,4
Mstn,0.000135,2
Msx1,0.000748,5
Msx2,0.000105,1
Mt3,0.000123,2
Mta1,0.079904,17
Mta2,0.090403,17
Mta3,0.037244,13
Mtch1,0.130029,18
Mtch2,0.122175,18
Mtcl1,0.003641,7
Mtf1,0.031749,13
Mtf2,0.016112,10
Mtfp1,0.032504,13
Mthfr,0.009432,9
Mtif2,0.031227,13
Mtmr12,0.021965,11
Mtnr1a,0.002389,6
Mtnr1b,4.5e-05,0
Mtor,0.067539,16
Mtrex,0.021087,11
Mttp,0.157086,18
Mturn,0.006316,8
Mtus1,0.159624,18
Mtx1,0.018528,11
Muc1,0.001477,5
Muc2,0.000603,4
Muc20,0.000142,2
Muc5ac,0.000119,2
Muc5b,0.0001,1
Mus81,0.013281,10
Musk,8.2e-05,1
Mxd1,0.01728,10
Mxd4,0.067653,16
Myb,0.005901,8
Mybbp1a,0.045033,14
Mybl2,0.001038,5
Mybpc3,0.00036,4
Mybph,0.000155,2
Myc,0.013155,10
Mycbp2,0.031071,13
Mycl,0.012637,10
Mycn,0.002905,6
Myd88,0.035015,13
Myf5,0.00025,3
Myf6,0.000377,4
Myh1,0.005785,8
Myh10,0.010497,9
Myh11,0.025165,12
Myh2,0.000639,4
Myh3,4.6e-05,0
Myh4,0.00535,8
Myh7,9.5e-05,1
Myh8,0.000455,4
Myh9,0.185449,18
Myl2,0.000243,3
Mymk,5.8e-05,0
Myo10,0.061894,16
Myo16,0.000223,3
Myo18a,0.120798,18
Myo1c,0.125282,18
Myo1d,0.024865,12
Myo1e,0.09086,17
Myo5a,0.004746,7
Myo6,0.072044,16
Myo7a,0.047028,14
Myo9a,0.030341,13
Myocd,0.000828,5
Myod1,0.000103,1
Myog,7.4e-05,1
Myrf,0.020045,11
Myt1,0.00012,2
Mzb1,0.001229,5
Naa15,0.043823,14
Naaa,0.010987,9
Nadk2,0.148702,18
Nae1,0.036162,13
Nagk,0.027664,12
Naip1,0.002973,6
Naip5,0.011,9
Nampt,0.073153,16
Nanog,9.1e-05,1
Nat1,0.0006,4
Nbn,0.033202,13
Nbr1,0.213597,19
Ncam1,0.002272,6
Ncam2,0.004979,7
Ncan,0.000122,2
Ncaph,0.002718,6
Ncbp2,0.03303,13
Nceh1,0.062228,16
Ncf1,0.032122,13
Ncf4,0.020361,11
Nck1,0.025359,12
Ncl,0.09204,17
Ncoa1,0.027979,12
Ncoa2,0.09446,17
Ncoa3,0.08509,17
Ncor1,0.18267,18
Ncor2,0.094111,17
Ncr1,0.00108,5
Ncstn,0.051936,15
Ndc1,0.014705,10
Ndc80,0.000645,4
Nde1,0.041105,14
Ndel1,0.069314,16
Ndn,0.005257,7
Ndor1,0.0159,10
Ndrg2,0.719736,19
Ndrg4,0.001452,5
Ndst1,0.122552,18
Ndst2,0.046143,14
Ndst3,0.000206,3
Ndufa12,0.023679,12
Ndufa9,0.079183,16
Ndufaf6,0.050577,15
Ndufs1,0.129401,18
Ndufs4,0.053524,15
Ndufv2,0.045663,14
Neat1,0.428412,19
Nectin2,0.046823,14
Nectin3,0.087492,17
Nedd4,0.33118,19
Nedd4l,0.080041,17
Nefh,0.004118,7
Nefl,0.000117,2
Nefm,0.000175,2
Neil1,0.013124,10
Nek2,0.003348,7
Nek7,0.097901,17
Nelfb,0.059638,15
Nelfe,0.030799,13
Nell1,7.8e-05,1
Neo1,0.014804,10
Nes,0.008796,9
Neu1,0.074056,16
Neurod1,0.000309,3
Neurod2,6.5e-05,0
Neurod4,7.3e-05,1
Neurod6,6.1e-05,0
Neurog1,5.8e-05,0
Neurog2,0.000106,1
Neurog3,5.1e-05,0
Nf1,0.049124,15
Nf2,0.034165,13
Nfat5,0.062584,16
Nfatc1,0.048197,15
Nfatc2,0.005162,7
Nfatc3,0.051109,15
Nfe2,0.003439,7
Nfe2l1,0.237057,19
Nfe2l2,0.130923,18
Nfia,0.138463,18
Nfib,0.128156,18
Nfil3,0.045826,14
Nfix,0.131992,18
Nfkb1,0.067263,16
Nfkb2,0.023245,11
Nfkbia,0.235598,19
Nfkbib,0.040842,14
Nfkbie,0.014043,10
Nfu1,0.020264,11
Nfya,0.014969,10
Nfyc,0.032313,13
Ngb,0.001326,5
Ngf,0.045178,14
Ngfr,0.028095,12
Nhlh1,0.000178,2
Nhlh2,0.000207,3
Nhsl1,0.02885,12
Nid1,0.065711,16
Nid2,0.012481,10
Ninl,0.005092,7
Nipbl,0.050249,15
Nipsnap2,0.013107,10
Nkain1,0.000825,5
Nkain3,0.000284,3
Nkd2,0.001558,5
Nkx2-1,3.3e-05,0
Nkx2-2,0.000137,2
Nkx2-5,5.7e-05,0
Nkx3-1,0.000852,5
Nkx3-2,4.2e-05,0
Nkx6-1,0.000186,3
Nkx6-2,5.2e-05,0
Nlgn2,0.010576,9
Nlgn3,0.001191,5
Nlk,0.020213,11
Nlrc4,0.006048,8
Nlrp12,0.00403,7
Nlrp3,0.007733,8
Nlrp4e,6.6e-05,0
Nlrp4f,0.00019,3
Nlrp6,0.187238,18
Nlrp9b,0.000125,2
Nmb,0.004362,7
Nme5,0.00045,4
Nmrk1,0.023002,11
Nmt1,0.055568,15
Nmu,0.000773,5
Nmur1,5.6e-05,0
Nobox,4e-05,0
Noct,0.068718,16
Nod1,0.037804,13
Nod2,0.000687,4
Nodal,0.00047,4
Nog,0.00012,2
Nos1ap,0.003195,7
Nos2,0.000184,2
Nos3,0.022811,11
Nosip,0.060363,15
Notch1,0.089682,17
Notch2,0.084069,17
Notch3,0.01648,10
Notch4,0.016625,10
Noto,9.5e-05,1
Nova2,0.008948,9
Nox1,7e-05,0
Nox3,7.4e-05,1
Nox4,0.095205,17
Noxo1,0.002766,6
Npas1,6.7e-05,0
Npas2,0.001648,6
Npas4,0.000815,5
Npbwr1,0.000106,1
Npc1,0.155156,18
Npc1l1,9.9e-05,1
Npepps,0.047556,14
Npffr2,0.000105,1
Nphs1,5.3e-05,0
Nphs2,0.000188,3
Nploc4,0.105021,17
Nppa,5.2e-05,0
Nppb,6.9e-05,0
Npr1,0.077435,16
Npsr1,0.000207,3
Nptx2,0.000181,2
Nptxr,0.00206,6
Npy,5.7e-05,0
Npy1r,0.001891,6
Npy2r,6.1e-05,0
Npy4r,0.000189,3
Nqo1,0.013283,10
Nr0b1,0.000157,2
Nr0b2,0.051385,15
Nr1d1,0.081338,17
Nr1h2,0.038147,13
Nr1h3,0.239098,19
Nr1h4,0.104116,17
Nr1i2,0.049777,15
Nr1i3,0.03692,13
Nr2c2,0.033168,13
Nr2e1,0.000175,2
Nr2e3,0.000162,2
Nr2f1,0.020418,11
Nr2f2,0.118493,18
Nr3c1,0.055892,15
Nr3c2,0.026315,12
Nr4a1,0.007753,8
Nr4a2,0.002276,6
Nr4a3,0.002405,6
Nr5a1,8.3e-05,1
Nr5a2,0.034446,13
Nr6a1,0.011246,9
Nrarp,0.007713,8
Nras,0.019845,11
Nrcam,0.000202,3
Nrep,0.037333,13
Nrf1,0.016914,10
Nrg1,0.004873,7
Nrip1,0.03014,13
Nrip3,0.00025,3
Nrl,5.7e-05,0
Nrn1,0.509306,19
