cell_type,gene,n_pmid,n_labels_claiming,kept,tierB_member,scope,pmids
Sinusoidal endothelium,STAB2,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33446637.0
Endothelial cells,CD34,1,4,no_promiscuous,no,spleen-only (11 rows),31610266.0
Endothelial cells,ITGA1,1,2,yes,no,spleen-only (11 rows),34872616.0
Endothelial cells,PCDH17,1,1,yes,no,spleen-only (11 rows),34872616.0
Endothelial cells,PECAM1,1,4,no_promiscuous,yes,spleen-only (11 rows),31610266.0
Endothelial cells,PROX1,1,2,yes,no,spleen-only (11 rows),34872616.0
Endothelial cells,VWF,1,1,yes,no,spleen-only (11 rows),34872616.0
Lymphatic endothelium,CCL21,3,2,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),31209336.0;34663877.0;35013299.0
Lymphatic endothelium,FLT4,6,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),20028387.0;27172947.0;32403949.0;32439707.0;33212097.0;35169075.0
Lymphatic endothelium,LYVE1,5,2,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),20028387.0;32439707.0;32457396.0;33053333.0;33212097.0
Lymphatic endothelium,PDPN,5,3,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),32403949.0;33212097.0;33457092.0;34697289.0;35154475.0
Smooth muscle / capsule,ACTA2,31,4,no_promiscuous,yes,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),24885410.0;30674341.0;31067475.0;31209336.0;31320652.0;31340668.0;31350876.0;31582141.0;32060101.0;32079746.0;32107344.0;32344053.0;32726565.0;32961131.0;32971526.0;32981416.0;33208946.0;33287869.0;33928785.0;33936064.0;34346740.0;34380013.0;34663877.0;34687145.0;34694145.0;34815310.0;34912121.0;35013299.0;35126365.0;35192691.0;35262195.0
Smooth muscle / capsule,CNN1,8,2,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),28830992.0;31462402.0;33208946.0;33685511.0;34346740.0;34694145.0;34921160.0;35084939.0
Smooth muscle / capsule,DES,6,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),31010835.0;31462402.0;32832599.0;33208946.0;34173975.0;34282151.0
Smooth muscle / capsule,MYH11,17,3,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),28830992.0;30713072.0;31320652.0;31340668.0;31350876.0;32066986.0;32971526.0;32981416.0;33622705.0;33682422.0;33936064.0;34380013.0;34584087.0;34663877.0;34694145.0;34795664.0;35084939.0
Smooth muscle / capsule,MYLK,5,1,yes,yes,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),32396864.0;33622705.0;33936064.0;34663877.0;35126365.0
