cell_type,gene,n_pmid,n_labels_claiming,kept,tierB_member,scope,pmids
Mesothelial cells,ADAM28,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33406409.0
Mesothelial cells,ADAMDEC1,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33406409.0
Mesothelial cells,CDH2,1,1,yes,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33784014.0
Mesothelial cells,CENPF,1,1,yes,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33406409.0
Mesothelial cells,GATA6,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33406409.0
Mesothelial cells,GREM2,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33406409.0
Mesothelial cells,HPGD,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33406409.0
Mesothelial cells,IL18,1,1,yes,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33406409.0
Mesothelial cells,MSLN,2,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33208946.0;33597545.0
Mesothelial cells,MYH11,1,3,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33406409.0
Mesothelial cells,PDPN,1,3,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),32690901.0
Mesothelial cells,PRG4,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33597545.0
Mesothelial cells,SOX6,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33406409.0
Mesothelial cells,UPK3B,5,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),21984916.0;33208946.0;33597545.0;33784014.0;34663877.0
Mesothelial cells,WT1,2,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33208946.0;34663877.0
Proliferating cells,CD3D,1,3,yes,no,spleen-only (12 rows),34872616.0
Proliferating cells,IL7R,1,3,yes,yes,spleen-only (12 rows),34872616.0
Proliferating cells,TUBB,1,1,yes,yes,spleen-only (12 rows),31892341.0
