gene_name,gene_id,feature_type,id_class
ADRB1,ENSG00000043591,Gene Expression,ENSG
ADRB2,ENSG00000169252,Gene Expression,ENSG
ADRB3,ENSG00000188778,Gene Expression,ENSG
ADTRP,ENSG00000111863,Gene Expression,ENSG
AEBP1,ENSG00000106624,Gene Expression,ENSG
AFAP1L2,ENSG00000169129,Gene Expression,ENSG
AFF1,ENSG00000172493,Gene Expression,ENSG
AFF2,ENSG00000155966,Gene Expression,ENSG
AFG1L,ENSG00000135537,Gene Expression,ENSG
AFM,ENSG00000079557,Gene Expression,ENSG
AGAP1,ENSG00000157985,Gene Expression,ENSG
AGAP3,ENSG00000133612,Gene Expression,ENSG
AGER,ENSG00000204305,Gene Expression,ENSG
AGMAT,ENSG00000116771,Gene Expression,ENSG
AGO1,ENSG00000092847,Gene Expression,ENSG
AGR3,ENSG00000173467,Gene Expression,ENSG
AGRP,ENSG00000159723,Gene Expression,ENSG
AGTR1,ENSG00000144891,Gene Expression,ENSG
AGTR2,ENSG00000180772,Gene Expression,ENSG
AGXT,ENSG00000172482,Gene Expression,ENSG
AHCY,ENSG00000101444,Gene Expression,ENSG
AHR,ENSG00000106546,Gene Expression,ENSG
AHRR,ENSG00000063438,Gene Expression,ENSG
AHSG,ENSG00000145192,Gene Expression,ENSG
AICDA,ENSG00000111732,Gene Expression,ENSG
AIF1L,ENSG00000126878,Gene Expression,ENSG
AIFM1,ENSG00000156709,Gene Expression,ENSG
AIM2,ENSG00000163568,Gene Expression,ENSG
AIMP2,ENSG00000106305,Gene Expression,ENSG
AIP,ENSG00000110711,Gene Expression,ENSG
AIRE,ENSG00000160224,Gene Expression,ENSG
AJAP1,ENSG00000196581,Gene Expression,ENSG
AKAP11,ENSG00000023516,Gene Expression,ENSG
AKAP4,ENSG00000147081,Gene Expression,ENSG
AKAP8,ENSG00000105127,Gene Expression,ENSG
AKR1B1,ENSG00000085662,Gene Expression,ENSG
AKR1C3,ENSG00000196139,Gene Expression,ENSG
AKT1,ENSG00000142208,Gene Expression,ENSG
AKT2,ENSG00000105221,Gene Expression,ENSG
AKT3,ENSG00000117020,Gene Expression,ENSG
AKTIP,ENSG00000166971,Gene Expression,ENSG
ALAD,ENSG00000148218,Gene Expression,ENSG
ALCAM,ENSG00000170017,Gene Expression,ENSG
ALDH1B1,ENSG00000137124,Gene Expression,ENSG
ALDH2,ENSG00000111275,Gene Expression,ENSG
ALDH3A2,ENSG00000072210,Gene Expression,ENSG
ALDH7A1,ENSG00000164904,Gene Expression,ENSG
ALDOA,ENSG00000149925,Gene Expression,ENSG
ALG11,ENSG00000253710,Gene Expression,ENSG
ALG13,ENSG00000101901,Gene Expression,ENSG
ALG2,ENSG00000119523,Gene Expression,ENSG
ALG6,ENSG00000088035,Gene Expression,ENSG
ALG9,ENSG00000086848,Gene Expression,ENSG
ALK,ENSG00000171094,Gene Expression,ENSG
ALKBH5,ENSG00000091542,Gene Expression,ENSG
ALOX12,ENSG00000108839,Gene Expression,ENSG
ALOX15,ENSG00000161905,Gene Expression,ENSG
ALOX5,ENSG00000012779,Gene Expression,ENSG
ALPK1,ENSG00000073331,Gene Expression,ENSG
ALPK3,ENSG00000136383,Gene Expression,ENSG
ALPL,ENSG00000162551,Gene Expression,ENSG
ALX1,ENSG00000180318,Gene Expression,ENSG
ALYREF,ENSG00000183684,Gene Expression,ENSG
AMACR,ENSG00000242110,Gene Expression,ENSG
AMER1,ENSG00000184675,Gene Expression,ENSG
AMFR,ENSG00000159461,Gene Expression,ENSG
AMH,ENSG00000104899,Gene Expression,ENSG
AMIGO1,ENSG00000181754,Gene Expression,ENSG
AMIGO3,ENSG00000176020,Gene Expression,ENSG
AMOT,ENSG00000126016,Gene Expression,ENSG
ANAPC1,ENSG00000153107,Gene Expression,ENSG
ANGPT1,ENSG00000154188,Gene Expression,ENSG
ANGPT2,ENSG00000091879,Gene Expression,ENSG
ANGPTL2,ENSG00000136859,Gene Expression,ENSG
ANGPTL3,ENSG00000132855,Gene Expression,ENSG
ANGPTL4,ENSG00000167772,Gene Expression,ENSG
ANGPTL6,ENSG00000130812,Gene Expression,ENSG
ANGPTL7,ENSG00000171819,Gene Expression,ENSG
ANGPTL8,ENSG00000130173,Gene Expression,ENSG
ANK1,ENSG00000029534,Gene Expression,ENSG
ANKHD1,ENSG00000131503,Gene Expression,ENSG
ANKK1,ENSG00000170209,Gene Expression,ENSG
ANKRD13A,ENSG00000076513,Gene Expression,ENSG
ANKRD13D,ENSG00000172932,Gene Expression,ENSG
ANKRD17,ENSG00000132466,Gene Expression,ENSG
ANKRD30A,ENSG00000148513,Gene Expression,ENSG
ANKRD40,ENSG00000154945,Gene Expression,ENSG
ANKRD44,ENSG00000065413,Gene Expression,ENSG
ANKRD6,ENSG00000135299,Gene Expression,ENSG
ANKS1A,ENSG00000064999,Gene Expression,ENSG
ANKS6,ENSG00000165138,Gene Expression,ENSG
ANKZF1,ENSG00000163516,Gene Expression,ENSG
ANO1,ENSG00000131620,Gene Expression,ENSG
ANO3,ENSG00000134343,Gene Expression,ENSG
ANP32E,ENSG00000143401,Gene Expression,ENSG
ANPEP,ENSG00000166825,Gene Expression,ENSG
ANXA10,ENSG00000109511,Gene Expression,ENSG
ANXA2,ENSG00000182718,Gene Expression,ENSG
ANXA3,ENSG00000138772,Gene Expression,ENSG
ANXA5,ENSG00000164111,Gene Expression,ENSG
ANXA8,ENSG00000265190,Gene Expression,ENSG
AOAH,ENSG00000136250,Gene Expression,ENSG
AOC3,ENSG00000131471,Gene Expression,ENSG
AOX1,ENSG00000138356,Gene Expression,ENSG
AP1B1,ENSG00000100280,Gene Expression,ENSG
AP1M1,ENSG00000072958,Gene Expression,ENSG
AP1S3,ENSG00000152056,Gene Expression,ENSG
AP2A1,ENSG00000196961,Gene Expression,ENSG
AP2A2,ENSG00000183020,Gene Expression,ENSG
AP2M1,ENSG00000161203,Gene Expression,ENSG
AP3B2,ENSG00000103723,Gene Expression,ENSG
AP3D1,ENSG00000065000,Gene Expression,ENSG
AP3M2,ENSG00000070718,Gene Expression,ENSG
AP5B1,ENSG00000254470,Gene Expression,ENSG
APAF1,ENSG00000120868,Gene Expression,ENSG
APC,ENSG00000134982,Gene Expression,ENSG
APCDD1,ENSG00000154856,Gene Expression,ENSG
APELA,ENSG00000248329,Gene Expression,ENSG
APEX1,ENSG00000100823,Gene Expression,ENSG
APEX2,ENSG00000169188,Gene Expression,ENSG
APH1B,ENSG00000138613,Gene Expression,ENSG
API5,ENSG00000166181,Gene Expression,ENSG
APLF,ENSG00000169621,Gene Expression,ENSG
APLN,ENSG00000171388,Gene Expression,ENSG
APLNR,ENSG00000134817,Gene Expression,ENSG
APMAP,ENSG00000101474,Gene Expression,ENSG
APOB,ENSG00000084674,Gene Expression,ENSG
APOBEC3B,ENSG00000179750,Gene Expression,ENSG
APOBEC3C,ENSG00000244509,Gene Expression,ENSG
APOBEC3D,ENSG00000243811,Gene Expression,ENSG
APOBEC3F,ENSG00000128394,Gene Expression,ENSG
APOBEC3G,ENSG00000239713,Gene Expression,ENSG
APOD,ENSG00000189058,Gene Expression,ENSG
APOE,ENSG00000130203,Gene Expression,ENSG
APOL1,ENSG00000100342,Gene Expression,ENSG
APOL2,ENSG00000128335,Gene Expression,ENSG
APOL3,ENSG00000128284,Gene Expression,ENSG
APOL6,ENSG00000221963,Gene Expression,ENSG
APOM,ENSG00000204444,Gene Expression,ENSG
APP,ENSG00000142192,Gene Expression,ENSG
APPBP2,ENSG00000062725,Gene Expression,ENSG
