section,label_set,cell_type,call,n_all,n_senders_all,n_nonsenders_all,prevalence_pct_all,n_scored,n_senders_scored,n_nonsenders_scored,prevalence_pct_scored,pass_band,pass_senders,pass_nonsenders,passes_A3
SPLN43,fine,Fibroblastic reticular cells,senepy_p99,5695,57,5638,1.001,5695,57,5638,1.001,True,False,True,False
SPLN43,fine,Fibroblasts,senepy_p99,21564,216,21348,1.002,21564,216,21348,1.002,True,True,True,True
SPLN43,fine,Follicular B cells,senepy_p99,45873,458,45415,0.998,45873,458,45415,0.998,False,True,True,False
SPLN43,fine,Neutrophils,senepy_p99,2688,27,2661,1.004,2688,27,2661,1.004,True,False,False,False
SPLN43,fine,Plasma cells,senepy_p99,9861,99,9762,1.004,9861,99,9762,1.004,True,False,True,False
SPLN43,fine,Red pulp macrophages,senepy_p99,25453,255,25198,1.002,25453,255,25198,1.002,True,True,True,True
SPLN43,fine,Smooth muscle / capsule,senepy_p99,1496,15,1481,1.003,1496,15,1481,1.003,True,False,False,False
SPLN43,fine,cDC2,senepy_p99,13625,0,13625,0.0,0,0,0,,False,False,False,False
SPLN43,fine,Endothelial cells,cdkn1a_pos,56471,703,55768,1.245,56471,703,55768,1.245,True,True,True,True
SPLN43,fine,Fibroblastic reticular cells,cdkn1a_pos,5695,219,5476,3.845,5695,219,5476,3.845,True,True,True,True
SPLN43,fine,Fibroblasts,cdkn1a_pos,21564,786,20778,3.645,21564,786,20778,3.645,True,True,True,True
SPLN43,fine,Follicular B cells,cdkn1a_pos,45873,827,45046,1.803,45873,827,45046,1.803,True,True,True,True
SPLN43,fine,Neutrophils,cdkn1a_pos,2688,13,2675,0.484,2688,13,2675,0.484,False,False,False,False
SPLN43,fine,Plasma cells,cdkn1a_pos,9861,499,9362,5.06,9861,499,9362,5.06,True,True,True,True
SPLN43,fine,Red pulp macrophages,cdkn1a_pos,25453,395,25058,1.552,25453,395,25058,1.552,True,True,True,True
SPLN43,fine,Smooth muscle / capsule,cdkn1a_pos,1496,93,1403,6.217,1496,93,1403,6.217,True,False,False,False
SPLN43,fine,cDC2,cdkn1a_pos,13625,157,13468,1.152,13625,157,13468,1.152,True,False,True,False
