section,call,response,celltype,bin_lo,bin_hi,bin_mid,n,mean_raw,sem_raw,mean_resid,sem_resid
SPLN21,tierA_p95,all_controls,Mono/Mac/DC,30.0,35.0,32.5,2534,0.11635226574794992,0.03230104655995685,0.005370363209913862,0.031959937578018516
SPLN21,tierA_p95,all_controls,Mono/Mac/DC,35.0,40.0,37.5,1613,0.09974374797589322,0.03662701492363365,-0.018064480154054294,0.03616604652333301
SPLN21,tierA_p95,all_controls,Mono/Mac/DC,40.0,45.0,42.5,909,0.1377578381233374,0.057535524853785006,0.0008223514575748299,0.0562986862352244
SPLN21,tierA_p95,all_controls,Mono/Mac/DC,45.0,50.0,47.5,526,0.22798115961253618,0.08826053456982105,0.08648871085569806,0.08630098330656434
SPLN21,tierA_p95,all_controls,Mono/Mac/DC,50.0,55.0,52.5,288,0.3194789085495912,0.12509935775320571,0.17325050843592066,0.12247169025198237
SPLN21,tierA_p95,all_controls,Mono/Mac/DC,55.0,60.0,57.5,137,-0.016933512662871766,0.07145042574423995,-0.23404810284252092,0.07237783035247404
SPLN21,tierA_p95,all_controls,Mono/Mac/DC,60.0,65.0,62.5,71,0.4630925870554725,0.3336644577853259,0.21391520231457226,0.3198514490293709
SPLN21,tierA_p95,neg_probe_rate,Mono/Mac/DC,0.0,5.0,2.5,198,-0.022715378926362502,2.471878604162399e-19,-0.026171663122374816,0.002067199292670473
SPLN21,tierA_p95,neg_probe_rate,Mono/Mac/DC,5.0,10.0,7.5,4215,0.0065430837250278805,0.017206692694216645,0.003118801273035197,0.017208987112984447
SPLN21,tierA_p95,neg_probe_rate,Mono/Mac/DC,10.0,15.0,12.5,5164,0.00759629048153717,0.012249483135471384,0.004225135795405615,0.012249158084752711
SPLN21,tierA_p95,neg_probe_rate,Mono/Mac/DC,15.0,20.0,17.5,5576,-0.005693222767541095,0.007451516167425333,-0.009160315194648263,0.007452505573993115
SPLN21,tierA_p95,neg_probe_rate,Mono/Mac/DC,20.0,25.0,22.5,5008,0.007490071486862756,0.014164721384481329,0.005133112145407642,0.014138037027930386
SPLN21,tierA_p95,neg_probe_rate,Mono/Mac/DC,25.0,30.0,27.5,3827,0.00031109171007251787,0.011122283247944842,-0.0018987263596181437,0.011127497744247504
SPLN21,tierA_p95,neg_probe_rate,Mono/Mac/DC,30.0,35.0,32.5,2534,-0.0024165916938684844,0.014339781445486307,-0.004886816930967819,0.01434446137669384
SPLN21,tierA_p95,neg_probe_rate,Mono/Mac/DC,35.0,40.0,37.5,1613,0.040851539080975344,0.044078487850788384,0.037807439684039136,0.04402409151918525
SPLN21,tierA_p95,neg_probe_rate,Mono/Mac/DC,40.0,45.0,42.5,909,-0.0060341818300628115,0.016681197096299685,-0.009925070079361,0.016626707416119182
SPLN21,tierA_p95,neg_probe_rate,Mono/Mac/DC,45.0,50.0,47.5,526,-0.0227153789263625,3.028381576564049e-19,-0.02660588120844582,0.0012969540794946276
SPLN21,tierA_p95,neg_probe_rate,Mono/Mac/DC,50.0,55.0,52.5,288,-0.022715378926362502,2.047949782330566e-19,-0.03231719226064393,0.001982921245058946
SPLN21,tierA_p95,neg_probe_rate,Mono/Mac/DC,55.0,60.0,57.5,137,-0.022715378926362502,2.975026217435173e-19,-0.030164613211751134,0.00296439682189811
SPLN21,tierA_p95,neg_probe_rate,Mono/Mac/DC,60.0,65.0,62.5,71,-0.022715378926362505,0.0,-0.037330418156794574,0.005191899418994138
