section,A,B,n,n_strata,n_A,n_B,n_both,exp_both_marginal,ratio_marginal,exp_both_stratified,sd_both_stratified,ratio_stratified,z
SPLN30,deepscence_score,abs_deepscence_score,233748,90,11576,5703,3634,282.43,12.867,283.43,16.162,12.822,207.31
SPLN30,cdkn1a_counts,abs_deepscence_score,233748,90,2931,5703,146,71.51,2.042,83.67,8.897,1.745,7.01
SPLN43,tierA_score,senepy_score,169101,80,8480,8480,371,425.25,0.872,425.29,19.593,0.872,-2.77
SPLN43,tierA_score,deepscence_score,182726,90,9165,9123,601,457.58,1.313,457.63,20.327,1.313,7.05
SPLN43,tierA_score,cdkn1a_counts,182726,90,9165,2946,196,147.76,1.326,147.81,11.717,1.326,4.11
SPLN43,tierA_score,abs_deepscence_score,182726,90,9165,3826,221,191.9,1.152,192.09,13.311,1.15,2.17
SPLN43,senepy_score,deepscence_score,169101,80,8480,8441,502,423.3,1.186,423.34,19.55,1.186,4.02
SPLN43,senepy_score,cdkn1a_counts,169101,80,8480,2789,197,139.86,1.409,139.94,11.399,1.408,5.01
SPLN43,senepy_score,abs_deepscence_score,169101,80,8480,3185,149,159.72,0.933,159.87,12.166,0.932,-0.89
SPLN43,deepscence_score,cdkn1a_counts,182726,90,9123,2946,883,147.09,6.003,147.37,11.7,5.992,62.87
SPLN43,deepscence_score,abs_deepscence_score,182726,90,9123,3826,2113,191.02,11.062,191.16,13.28,11.053,144.71
SPLN43,cdkn1a_counts,abs_deepscence_score,182726,90,2946,3826,112,61.68,1.816,63.95,7.773,1.751,6.18
SPLN44,tierA_score,senepy_score,198975,90,9977,9978,459,500.32,0.917,500.33,21.251,0.917,-1.94
SPLN44,tierA_score,deepscence_score,213035,130,10696,10678,1510,536.12,2.817,536.19,22.001,2.816,44.26
SPLN44,tierA_score,cdkn1a_counts,213035,130,10696,4796,262,240.8,1.088,240.94,14.904,1.087,1.41
SPLN44,tierA_score,abs_deepscence_score,213035,130,10696,8333,250,418.38,0.598,418.4,19.488,0.598,-8.64
SPLN44,senepy_score,deepscence_score,198975,90,9978,9964,486,499.66,0.973,499.67,21.238,0.973,-0.64
SPLN44,senepy_score,cdkn1a_counts,198975,90,9978,4528,307,227.07,1.352,227.01,14.465,1.352,5.53
SPLN44,senepy_score,abs_deepscence_score,198975,90,9978,7851,393,393.7,0.998,393.71,18.901,0.998,-0.04
SPLN44,deepscence_score,cdkn1a_counts,213035,130,10678,4796,1545,240.39,6.427,240.58,14.893,6.422,87.58
SPLN44,deepscence_score,abs_deepscence_score,213035,130,10678,8333,0,417.68,0.0,417.51,19.468,0.0,-21.45
SPLN44,cdkn1a_counts,abs_deepscence_score,213035,130,4796,8333,5,187.6,0.027,178.02,12.864,0.028,-13.45
