Level_3_Annotations,section,CD4 T cells,Endothelial cells,Erythroid cells,Fibroblasts,Follicular B cells,Low_quality,Megakaryocytes,Monocytes,NK cells,Neutrophils,Plasma cells,Red pulp macrophages,Smooth muscle / capsule,Unknown,CD8 T cells,Fibroblastic reticular cells,cDC2,Germinal centre B cells,cDC1
White pulp macrophages,SPLN21,,8,0.0,19,299,55.0,,13.0,6.0,53.0,2,144,11,838,,,11.0,,
"gdT cells, NK cells, and T cells",SPLN21,,224,6.0,201,552,712.0,,55.0,1419.0,192.0,38,471,19,5714,,,32.0,,
Arterial endothelial cells (KDR+ CD34+),SPLN24,6.0,265,,143,35,248.0,,1.0,54.0,19.0,5,62,7133,17,,,48.0,4.0,11.0
B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),SPLN24,60.0,1,,2,805,298.0,,1.0,13.0,9.0,0,1,8,2236,,,10.0,24.0,3.0
B cell zone reticular cells CXCL13+MADCAM1+,SPLN24,297.0,4,,66,501,937.0,,3.0,262.0,24.0,8,0,50,3917,,,41.0,36.0,23.0
B cells,SPLN24,946.0,28,,5,47698,6854.0,,23.0,219.0,337.0,32,4,93,7119,,,235.0,457.0,101.0
Conventional dendritic cells,SPLN24,108.0,165,,177,224,242.0,,42.0,19.0,43.0,27,103,4,39,,,7598.0,56.0,2006.0
Erythroid,SPLN24,10.0,165,,9,30,131.0,,0.0,33.0,45.0,2,20,5,2,,,6.0,10.0,4.0
"Germinal center B cells, proliferating",SPLN24,296.0,0,,0,557,64.0,,0.0,29.0,0.0,2,0,1,62,,,10.0,4510.0,25.0
Low quality,SPLN24,556.0,601,,265,646,5240.0,,17.0,642.0,871.0,47,208,190,474,,,202.0,29.0,81.0
Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,SPLN24,9.0,18,,1060,126,1188.0,,5.0,61.0,145.0,24,108,2115,970,,,144.0,4.0,21.0
Metamyelocyte/Band Neutrophils DEFA1+,SPLN24,383.0,294,,64,1152,194.0,,13.0,332.0,165.0,27,104,11,183,,,78.0,36.0,20.0
Monocytes,SPLN24,264.0,138,,139,761,313.0,,4310.0,551.0,405.0,20,103,30,91,,,247.0,14.0,41.0
NK cells,SPLN24,517.0,1070,,442,646,1561.0,,5.0,10744.0,455.0,83,328,44,107,,,131.0,175.0,75.0
Neutrophils,SPLN24,245.0,427,,110,543,933.0,,178.0,435.0,6941.0,20,119,28,115,,,137.0,18.0,59.0
Plasma cells,SPLN24,560.0,561,,619,5307,2166.0,,9.0,589.0,143.0,8379,652,125,364,,,332.0,669.0,63.0
Promyelocyte,SPLN24,19.0,40,,24,30,49.0,,11.0,46.0,46.0,11,25,7,1,,,11.0,28.0,4.0
Red pulp fibroblasts,SPLN24,81.0,1884,,23430,1459,4633.0,,21.0,390.0,493.0,195,3066,842,620,,,582.0,21.0,111.0
Red pulp macrophages,SPLN24,74.0,329,,67,2281,4442.0,,264.0,329.0,697.0,79,12100,65,153,,,1532.0,32.0,210.0
Sinusoidal endothelial cells (littoral cells),SPLN24,52.0,51994,,69,789,1450.0,,84.0,165.0,317.0,45,2927,73,7,,,92.0,43.0,263.0
Smooth muscle,SPLN24,278.0,162,,320,1101,3302.0,,5.0,281.0,198.0,106,319,701,844,,,264.0,23.0,46.0
T cell zone reticular cells CCL21+ CCL19+,SPLN24,4756.0,4,,74,359,888.0,,0.0,237.0,25.0,13,9,91,3474,,,104.0,119.0,32.0
T cell zone reticular cells CXCL9+,SPLN24,1497.0,6,,9,34,92.0,,1.0,277.0,11.0,7,19,4,190,,,1314.0,27.0,471.0
T cells,SPLN24,19556.0,1588,,850,3098,4776.0,,15.0,8751.0,357.0,141,222,48,345,,,226.0,205.0,100.0
Vascular smooth muscle cells,SPLN24,18.0,2,,147,7,186.0,,0.0,10.0,2.0,6,8,4021,269,,,53.0,5.0,8.0
White pulp macrophages,SPLN24,878.0,13,,35,1114,262.0,,2.0,106.0,35.0,1,177,101,6112,,,84.0,40.0,26.0
"gdT cells, NK cells, and T cells",SPLN24,481.0,2031,,1230,363,2782.0,,8.0,16614.0,176.0,136,1188,40,51,,,142.0,74.0,80.0
Arterial endothelial cells (KDR+ CD34+),SPLN30,36.0,4257,,6,51,,,0.0,,1.0,11,20,171,98,,,,,
B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),SPLN30,38.0,4,,3,375,,,0.0,,0.0,7,20,152,118,,,,,
B cell zone reticular cells CXCL13+MADCAM1+,SPLN30,278.0,8,,238,1544,,,2.0,,0.0,50,19,215,303,,,,,
B cells,SPLN30,1715.0,79,,495,40975,,,6.0,,2.0,555,262,227,2691,,,,,
Conventional dendritic cells,SPLN30,16.0,0,,0,38,,,9.0,,1.0,304,448,1,37,,,,,
Erythroid,SPLN30,43.0,161,,0,20,,,0.0,,2.0,46,61,11,349,,,,,
"Germinal center B cells, proliferating",SPLN30,10.0,1,,1,26,,,0.0,,0.0,782,0,0,25,,,,,
Low quality,SPLN30,11831.0,2346,,81,5248,,,175.0,,168.0,749,2040,3767,22013,,,,,
Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,SPLN30,27.0,180,,44,43,,,6.0,,0.0,14,381,2489,392,,,,,
Metamyelocyte/Band Neutrophils DEFA1+,SPLN30,241.0,393,,2,498,,,15.0,,612.0,164,298,161,684,,,,,
Monocytes,SPLN30,78.0,120,,2,120,,,2873.0,,3.0,59,482,83,233,,,,,
NK cells,SPLN30,1564.0,369,,10,498,,,6.0,,1.0,175,219,147,8922,,,,,
Neutrophils,SPLN30,514.0,160,,2,354,,,120.0,,20.0,69,515,68,3280,,,,,
Plasma cells,SPLN30,970.0,230,,9,1256,,,15.0,,6.0,11959,473,218,1557,,,,,
Promyelocyte,SPLN30,56.0,17,,0,61,,,2.0,,412.0,32,27,9,160,,,,,
