section,our_label_set,depositor_L3,n,modal_our_label,modal_share,frac_unknown,frac_lowquality
SPLN21,cell_type_merged,Vascular smooth muscle cells,974,Stromal,0.9353,0.0,0.0318
SPLN21,cell_type_merged,White pulp macrophages,1459,Unknown,0.5161,0.5161,0.0377
SPLN21,cell_type_merged,"gdT cells, NK cells, and T cells",9635,T/NK cells,0.7403,0.0,0.0739
SPLN24,cell_type,Arterial endothelial cells (KDR+ CD34+),8051,Smooth muscle / capsule,0.886,0.0021,0.0308
SPLN24,cell_type,B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),3471,Unknown,0.6442,0.6442,0.0859
SPLN24,cell_type,B cell zone reticular cells CXCL13+MADCAM1+,6169,Unknown,0.6349,0.6349,0.1519
SPLN24,cell_type,B cells,64151,Follicular B cells,0.7435,0.111,0.1068
SPLN24,cell_type,Conventional dendritic cells,10853,cDC2,0.7001,0.0036,0.0223
SPLN24,cell_type,Erythroid,472,Endothelial cells,0.3496,0.0042,0.2775
SPLN24,cell_type,"Germinal center B cells, proliferating",5556,Germinal centre B cells,0.8117,0.0112,0.0115
SPLN24,cell_type,Low quality,10069,Low_quality,0.5204,0.0471,0.5204
SPLN24,cell_type,Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,5998,Smooth muscle / capsule,0.3526,0.1617,0.1981
SPLN24,cell_type,Metamyelocyte/Band Neutrophils DEFA1+,3056,Follicular B cells,0.377,0.0599,0.0635
SPLN24,cell_type,Monocytes,7427,Monocytes,0.5803,0.0123,0.0421
SPLN24,cell_type,NK cells,16383,NK cells,0.6558,0.0065,0.0953
SPLN24,cell_type,Neutrophils,10308,Neutrophils,0.6734,0.0112,0.0905
SPLN24,cell_type,Plasma cells,20538,Plasma cells,0.408,0.0177,0.1055
SPLN24,cell_type,Promyelocyte,352,Low_quality,0.1392,0.0028,0.1392
SPLN24,cell_type,Red pulp fibroblasts,37828,Fibroblasts,0.6194,0.0164,0.1225
SPLN24,cell_type,Red pulp macrophages,22654,Red pulp macrophages,0.5341,0.0068,0.1961
SPLN24,cell_type,Sinusoidal endothelial cells (littoral cells),58370,Endothelial cells,0.8908,0.0001,0.0248
SPLN24,cell_type,Smooth muscle,7950,Low_quality,0.4153,0.1062,0.4153
SPLN24,cell_type,T cell zone reticular cells CCL21+ CCL19+,10185,CD4 T cells,0.467,0.3411,0.0872
SPLN24,cell_type,T cell zone reticular cells CXCL9+,3959,CD4 T cells,0.3781,0.048,0.0232
SPLN24,cell_type,T cells,40278,CD4 T cells,0.4855,0.0086,0.1186
SPLN24,cell_type,Vascular smooth muscle cells,4742,Smooth muscle / capsule,0.848,0.0567,0.0392
SPLN24,cell_type,White pulp macrophages,8986,Unknown,0.6802,0.6802,0.0292
SPLN24,cell_type,"gdT cells, NK cells, and T cells",25396,NK cells,0.6542,0.002,0.1095
SPLN24,cell_type_merged,Arterial endothelial cells (KDR+ CD34+),8051,Stromal,0.9037,0.0014,0.0308
SPLN24,cell_type_merged,B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),3471,Unknown,0.6278,0.6278,0.0859
SPLN24,cell_type_merged,B cell zone reticular cells CXCL13+MADCAM1+,6169,Unknown,0.6255,0.6255,0.1519
SPLN24,cell_type_merged,B cells,64151,B cells,0.7578,0.1038,0.1068
SPLN24,cell_type_merged,Conventional dendritic cells,10853,Mono/Mac/DC,0.8983,0.0021,0.0223
SPLN24,cell_type_merged,Erythroid,472,Endothelial,0.3496,0.0042,0.2775
SPLN24,cell_type_merged,"Germinal center B cells, proliferating",5556,B cells,0.9156,0.0076,0.0115
SPLN24,cell_type_merged,Low quality,10069,Low_quality,0.5204,0.0349,0.5204
SPLN24,cell_type_merged,Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,5998,Stromal,0.5293,0.1562,0.1981
SPLN24,cell_type_merged,Metamyelocyte/Band Neutrophils DEFA1+,3056,B cells,0.3995,0.0491,0.0635
SPLN24,cell_type_merged,Monocytes,7427,Mono/Mac/DC,0.633,0.009,0.0421
SPLN24,cell_type_merged,NK cells,16383,T/NK cells,0.6874,0.0045,0.0953
SPLN24,cell_type_merged,Neutrophils,10308,Neutrophils,0.6734,0.005,0.0905
SPLN24,cell_type_merged,Plasma cells,20538,Plasma cells,0.408,0.0142,0.1055
SPLN24,cell_type_merged,Promyelocyte,352,T/NK cells,0.1847,0.0028,0.1392
SPLN24,cell_type_merged,Red pulp fibroblasts,37828,Stromal,0.6416,0.0159,0.1225
SPLN24,cell_type_merged,Red pulp macrophages,22654,Mono/Mac/DC,0.6227,0.0006,0.1961
SPLN24,cell_type_merged,Sinusoidal endothelial cells (littoral cells),58370,Endothelial,0.8908,0.0,0.0248
SPLN24,cell_type_merged,Smooth muscle,7950,Low_quality,0.4153,0.0896,0.4153
SPLN24,cell_type_merged,T cell zone reticular cells CCL21+ CCL19+,10185,T/NK cells,0.4902,0.3311,0.0872
SPLN24,cell_type_merged,T cell zone reticular cells CXCL9+,3959,Mono/Mac/DC,0.4559,0.0225,0.0232
SPLN24,cell_type_merged,T cells,40278,T/NK cells,0.7028,0.0057,0.1186
SPLN24,cell_type_merged,Vascular smooth muscle cells,4742,Stromal,0.879,0.0536,0.0392
SPLN24,cell_type_merged,White pulp macrophages,8986,B cells,0.7661,0.0425,0.0292
SPLN24,cell_type_merged,"gdT cells, NK cells, and T cells",25396,T/NK cells,0.6731,0.0009,0.1095
SPLN30,cell_type,Arterial endothelial cells (KDR+ CD34+),4651,Endothelial cells,0.9153,0.0211,0.0
SPLN30,cell_type,B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),717,Follicular B cells,0.523,0.1646,0.0
SPLN30,cell_type,B cell zone reticular cells CXCL13+MADCAM1+,2657,Follicular B cells,0.5811,0.114,0.0
SPLN30,cell_type,B cells,47007,Follicular B cells,0.8717,0.0572,0.0
SPLN30,cell_type,Conventional dendritic cells,854,Red pulp macrophages,0.5246,0.0433,0.0
SPLN30,cell_type,Erythroid,693,Unknown,0.5036,0.5036,0.0
SPLN30,cell_type,"Germinal center B cells, proliferating",845,Plasma cells,0.9254,0.0296,0.0
SPLN30,cell_type,Low quality,48418,Unknown,0.4546,0.4546,0.0
SPLN30,cell_type,Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,3576,Smooth muscle / capsule,0.696,0.1096,0.0
SPLN30,cell_type,Metamyelocyte/Band Neutrophils DEFA1+,3068,Unknown,0.2229,0.2229,0.0
SPLN30,cell_type,Monocytes,4053,Monocytes,0.7089,0.0575,0.0
SPLN30,cell_type,NK cells,11911,Unknown,0.7491,0.7491,0.0
SPLN30,cell_type,Neutrophils,5102,Unknown,0.6429,0.6429,0.0
SPLN30,cell_type,Plasma cells,16693,Plasma cells,0.7164,0.0933,0.0
SPLN30,cell_type,Promyelocyte,776,Neutrophils,0.5309,0.2062,0.0
SPLN30,cell_type,Red pulp fibroblasts,18111,Smooth muscle / capsule,0.6965,0.128,0.0
SPLN30,cell_type,Red pulp macrophages,34920,Red pulp macrophages,0.6604,0.1603,0.0
SPLN30,cell_type,Sinusoidal endothelial cells (littoral cells),43207,Endothelial cells,0.8911,0.063,0.0
SPLN30,cell_type,Smooth muscle,11102,Smooth muscle / capsule,0.4191,0.1252,0.0
SPLN30,cell_type,T cell zone reticular cells CCL21+ CCL19+,6347,Fibroblasts,0.4016,0.0296,0.0
SPLN30,cell_type,T cell zone reticular cells CXCL9+,104,Red pulp macrophages,0.6923,0.0192,0.0
SPLN30,cell_type,T cells,18424,CD4 T cells,0.7342,0.1141,0.0
SPLN30,cell_type,Vascular smooth muscle cells,1749,Smooth muscle / capsule,0.9377,0.0017,0.0
